105865271_396772701974847488 x	I'm at Mulderig's Bar http://t.co/lTvhXARq2T
105865271_396708026264326144 x	3 days in a row? Hell yeeeahhh I just ran 3.12 mi with Nike+. http://t.co/uULYOlJgDh #nikeplus
105865271_396130750850146304 x	#NightoftheLivingDead? Yes please ?
105865271_396076263401848832 x	Drinking beer and watching classic horror movies.. Happy Halloween!! (@ Mulderig's Bar) http://t.co/iglpzg0Ol3
105865271_395951815189352448 x	I'm not an idiot, I know this is gonna be a long season with a record number of losses, but the future? http://t.co/FRRSxFQqNR
105865271_395950573805383680 x	RT @SportsNation: After last night, The Sixers be like... http://t.co/XyGDuND1wL
105865271_395927483046182912 x	Happy Halloween!!! @ Mulderig's Bar http://t.co/Q3uFuE6j0m
105865271_395725926597926912 x	RT @FakeWIPCaller: You suck at tanking, Sixers! #firehinkie
105865271_395722602796167168 x	MCW is BALLING out there!!! Who said we're tanking?? #TogetherWeBuild #LetsGoSixers
105865271_394485441980039168 x	I'm at Lincoln Financial Field - @lffstadium for @Giants vs @Eagles (Philadelphia, PA) w/ 107 others http://t.co/ThWEZhNhop
105865271_394485354730115072 x	Chuck Bednarik, one of the most badass photos ever taken.. #ConcreteCharlie #flyeaglesfly #eagles http://t.co/RXuUaXNvtK
105865271_392809886872268800 x	Moms birthday dinner - flounder stuffed with crab, green bean almondine, and lemon & herb rice? http://t.co/wdCr7GxxSp
105865271_391904148146626560 x	What a beautiful day to take first place (@ Lincoln Financial Field - @lffstadium for @dallascowboys vs @Eagles) http://t.co/ipZRfAgtaY
105865271_391695954233294848 x	Happy Halloween!!! Pumpkins by nicole_maria captblue @k_ann12 ladata and myself http://t.co/P01hiFYuK3
105865271_391611023566073856 x	New iPhone case is here!! http://t.co/yGSyGOZxYC
105865271_391313621974024192 x	Biggest. Crabcake. EVER. @ Riverside Pizzeria http://t.co/CBQw6prHv2
105865271_391253032006320128 x	All the way into Maryland for a crab cake.. I love being home (@ Riverside Pizzeria) http://t.co/E2Yabfvz92
105865271_391261150983491585 x	@AmusingMyBouche no idea, with my roomate from college and his dad, we drove about 45 minutes from his house in Middletown
105865271_391010311018651648 x	I'm at Shellhammer's (Newark, DE) http://t.co/biQd41v8hh
105865271_390929055480287233 x	Delaware for the night? Don't mind if I do, just like old times ?
105865271_389405264111497218 x	New washer set for td1856 .. Happy birthday/congrats on the new house homie http://t.co/yh07seNgtL
105865271_389278930752274432 x	Happy birthday Jules!!! (@ Pinsetter Bar & Bowl) http://t.co/yWgFQuYqAC
105865271_388657025733120001 x	A little Friday morning matinee? Sure, why not? (@ AMC Marlton 8 - @amctheatres for Gravity) http://t.co/WbK1YD934H
105865271_387711786411380736 x	Just a beautiful fall night http://t.co/7rSAgy7vhk
105865271_387705845972475904 x	@herold85 buy a trash can #whitetrashproblems
105865271_386976996422856704 x	I'm at Sea Shell Resort and Beach Club (Beach Haven, NJ) w/ 8 others http://t.co/79ROwIVmRz
105865271_386957641156935682 x	Back at the jersey shore, feels so good @ Manahawkin Bay http://t.co/iAjgloKraF
105865271_386927811153625089 x	I'm at Black Whale Bar & Fishhouse (Beach Haven, NJ) http://t.co/DeccNFgMwT
105865271_386880171443503104 x	Chowderfest!! Beers and chowder, I missed you LBI (@ Beach Haven, LBI) http://t.co/h5itqPW0ye
105865271_384789527069741057 x	Peyton Manning played the eagles, lots of whiskey consumed = 3 mi today I just ran 3.29 mi with Nike+. http://t.co/x59JM0FAa1 #nikeplus
105865271_383707117020282880 x	Extra mile, almost the same pace.. I'll take that I just ran 4.20 mi with Nike+. http://t.co/UBF1ZGZsdn #nikeplus
105865271_383403094102773760 x	?@CrossingBroad: San Francisco Fans Killed a Man http://t.co/7rVEeJlJqV? I'm glad I'm away from that kinda bullshit
105865271_383402594888323073 x	@herold85 those fuckers are crazyyy
105865271_382716950591594496 x	RT @MensHumor: Whiskey is sunlight held together by water.
105865271_382682460305514496 x	Dinner tonight - lemon and herb chicken stuffed with garlic and mozzarella spinach with Parmesan? http://t.co/JUOYOcvcqW
105865271_382559429939695616 x	Carly's new cousin, Mako, BFFs already http://t.co/lW0AR50Se0
105865271_381534973913989120 x	Goal to be under a 9 minute mile within 2 weeks - complete :) I just ran 3.09 mi with Nike+. http://t.co/gq1VnFpq4M #nikeplus
105865271_381655251105112064 x	@vickimartino haha I'm working on it!! Ill be running marathons with you guys in no time
105865271_380905900674154496 x	I am NOT happy, this may be a retooling year but there's no excuse for sloppy ass play #imnotmadimjustdisappointed #bleedgreen
105865271_380762375634554880 x	E-A-G-L-E-S EAGLES!!! Going to my 2nd #Eagles game in 5 days, I love being home #LetsGoBirds #FlyEaglesFly #WelcomeBackAndy  #McNabb5
105865271_380066916976832512 x	So much better without the humidity I just ran 3.24 mi with Nike+. http://t.co/vNRsSAyoin #nikeplus
105865271_377508019351064577 x	That humidity thing is tougher than I remember I just ran 2.49 mi with Nike+. http://t.co/MTzJ2OhLPw #nikeplus
105865271_377610557769404417 x	@herold85 well obviously, the 2.5 miles was me chasin Carly around the pool all day
105865271_377235879984922624 x	RT @MensHumor: How Chip Kelly answers those who doubted his offense. (Holy Shit! Must See) http://t.co/dfDo9d3zg0
105865271_377201561862410240 x	Are you ready for some football?!? #E-A-G-L-E-S-EAGLES #FlyEaglesFly #ShadyMcCoy #MNF http://t.co/STNt5umnaG
105865271_375778922287226880 x	What Brotherly Love truly means http://t.co/h0sdN7GXvJ #FlyEaglesFly
105865271_371459515650437120 x	No. Words. @ The Grand Canyon http://t.co/C6jrSz96l7
105865271_371067529898504192 x	I love San Diego #roadtrip @ La Jolla Cove http://t.co/PPaxCfCLrE
105865271_370839968316678144 x	Sunset in San Diego.. #destination1 #sorryimnotsorry http://t.co/6WAaeyIXRp
105865271_370553430198468609 x	When one journey ends, another begins #OnToTheNextOne #GoodbyeSF #roadtripping http://t.co/IXzyofAg8T
105865271_368545556840185856 x	And then there was one.. Last shift at lucky strike.. It was a good run, I'll miss you guys, past and present especially all the originals
105865271_367718634220552192 x	Holy crap, I only have one more week in San Francisco.. That happened quickly
105865271_366727139992666113 x	Lets get this started.. Going away party Part I tonight at Polo Grounds, who's drinking with me?
105865271_366377028955541505 x	My last Saturday night shift at #LuckyStrike.. Two Saturdays from now I'll be at the Grand Canyon :)
105865271_364984908185214977 x	Watching #SharkWeek http://t.co/gUhsWnRVOd
105865271_363498115602464769 x	Tonight's Dinner - spinach and basil pesto pasta with lemon and garlic spinach, grilled chicken and? http://t.co/0lvNGeMVqp
105865271_363041287638757376 x	Day off means fancy lunch.. Turkey BLT with melted cheddar jack cheese & a spinach salad with? http://t.co/RaiSEspeR8
105865271_362800547998343169 x	Just watchin some soccer @ AT&T Park http://t.co/F5aKF6mjdr
