1077845270_393324819984711680 x	418 Music presents Ultra Saturdays @VanityPhilly http://t.co/kQl8BQaYON
1077845270_391159797288280064 x	@SheinelleFox29 Hey that was me yelling Hello yesterday from the car on 2nd and Market.. Lol
1077845270_389874094306787328 x	@CoryBooker sorry to hear of the loss of your Father.. Best if luck on the campaign... You have my vote!!!
1077845270_388030549308502016 x	RT @LizzieCurious: Thrown It All Away at #25 & climbing! http://t.co/HEJOr9xsL8 Pls RT! x http://t.co/pxM5vjtxeo @UKDOLLYROCKERS @JOHNCARRJ?
1077845270_388030438436257793 x	RT @djginocaporale: We debut at #25 on the @beatport Chart, @JOHNCARRJC & @LizzieCurious #ThrownItAllAway, http://t.co/qLAEjjlGv4 http://t.?
1077845270_387884220338962432 x	RT @JoeZangie: Lookin fwd to what G sends me 2moro!! Top 3! RT"@rockstarphilly: @JoeZangie @djginocaporale @LarryMeenan @418Music #yeah #le?
1077845270_387352779289014272 x	Available Tomorrow Oct 8th another Hott new release from @418Music @LizzieCurious @djginocaporale @djdonnychiro http://t.co/b3e7prgEe2
1077845270_387342460181291008 x	Follow @418Music for upcoming events. @djginocaporale @djdonnychiro @TheJackieMadden @NicoleMKerrigan @janevanderbilt @RealStoneBridge
1077845270_386221979176816640 x	RT @djginocaporale: #FF My music family @TheJackieMadden @djspontane @djdonnychiro @LarryMeenan @scrangiebaby @janevanderbilt @NicoleMKerri?
1077845270_383542748965781504 x	@418Music Photo shoot today.. More Bangers coming!!! @djginocaporale @djdonnychiro
1077845270_382534468684488704 x	RT @RayOfLightHair: @418Music @djginocaporale @LarryMeenan @JAMIE418MUSIC ??- lyrics speak what the heart can't say or make sense of. http:?
1077845270_380108008808022016 x	A Daddy's day is never over... #blessed #dance #MMA #backtoschoolnight
1077845270_379943671703273472 x	Today will be a productive day.. @djginocaporale @JAMIE418MUSIC @djdonnychiro @djspontane @margiemartino @NicoleMKerrigan
1077845270_316164345757323265 x	@JasmineNJ @sammarcobeats @djginocaporale @margiemartino @djspontane @418music
1077845270_378634473732341760 x	Come get your ride cleaned up. $25 hand wash, $98 full details..  1317 S. 3rd St Phila PA.. Come see the man #rideclean
1077845270_377373702218067968 x	@MikeVick great game last night... #Eagles #healthyseason
1077845270_374937212775043072 x	RT @JoeZangie: @418Music Great working w a team that goes for #1!!! #newsingle #edm #bigtime @djginocaporale  @rockstarphilly @djdonnychiro?
1077845270_374937041462493184 x	Philly's newest detail shop. 1317 S. 3rd Street Phila PA.  Stop in and get your ride cleaned up.. $25 hand wash $98 full detail...
1077845270_374699712827621376 x	@SteveMartorano Happy Birthday Cuzz!!
1077845270_370339473424650241 x	@Eisley love your sound...  #newfan
1077845270_370241059479375872 x	#418music Bigger, Better, Boom!!! @djginocaporale @djdonnychiro @djspontane @NicoleMKerrigan @margiemartino @TheJackieMadden @JAMIE418MUSIC
1077845270_368889433975578624 x	What's goin on?? @418Music @JAMIE418MUSIC @NicoleMKerrigan @djginocaporale @djspontane @margiemartino
1077845270_357452117831090176 x	RT @djrashaun: Great performances yesterday @LarryMeenan @djginocaporale @djdonnychiro @djspontane @margiemartino @418Music
1077845270_357094097036660736 x	@MikeFOX29 come support local music label 1st anniversary Play2 @ChickiesnPetes 6-11pm http://t.co/rph4xBNwMu
1077845270_357092672520990721 x	July16 support local Music label anniversary Play2@ChickiesnPetes 6-11pm@katiefehlinger @evontiehl @Nicole_Brewer http://t.co/QDKWoDl49E
1077845270_357091355090096129 x	RT @djrashaun: Looking forward to the performances  tonight @418Music @margiemartino @djspontane @LarryMeenan @djginocaporale @FeliciaPMusic
1077845270_354357846982402049 x	@katiefehlinger @evontiehl @Nicole_Brewer  July16th Play2 @ChickiesnPetes come support local Music Label's 1st anniversary party. @418Music
1077845270_354229901009772545 x	Join us July 16th.. http://t.co/hEtAO0xaD4
1077845270_350616998142689281 x	South Florida in a few hours.... #lifesabeach
1077845270_350201455942180866 x	RT @djdonnychiro: Check out @418Music on @beatport!!! All New Tracks and Remixes!!! @djginocaporale @LarryMeenan @NicoleMKerrigan @margiema?
1077845270_349882225254350848 x	418 Music 1st Anniversary Party July 16th.. @djginocaporale @djdonnychiro @djspontane @NicoleMKerrigan @TheJackieMadden @_KristaRichards
1077845270_347896515773218817 x	@margiemartino The Remixes released on Beatport June 21st... @418Music @djginocaporale @djdonnychiro @NicoleMKerrigan @djspontane
1077845270_346073198405767168 x	Sat night Sirius BPM channel.. @NicoleMKerrigan debuts at 9:35.. @djginocaporale @djspontane @djdonnychiro @JAMIE418MUSIC
1077845270_345393551032606722 x	Great night. Looking forward to Vegas!!! #funinthesun #whathappensinvegasstaysinvegas
1077845270_344236529633341441 x	#instacollage http://t.co/TD0t8omLuD
1077845270_344231836844699648 x	#instacollage http://t.co/1F1qWlLW3H
1077845270_343125135190016000 x	Hey @Amanda_Kapp thanks for the follow....
1077845270_342392299239645184 x	Check out 418 Music's latest release on Beatport.. @NicoleMKerrigan @418Music @djginocaporale @djdonnychiro @margiemartino @djspontane
1077845270_341033794180116480 x	Florida house hunting on the horizon... #funinthesun #surfsup #lifesabeach
1077845270_339090557597007873 x	New Releases coming this Summer. http://t.co/jEOBYVqaGF @djginocaporale @djspontane @NicoleMKerrigan @margiemartino @_KristaRichards
1077845270_338105290123792384 x	Chill weekend #relax #grabaheiney @djspontane @djginocaporale @djdonnychiro @NicoleMKerrigan @margiemartino @JAMIE418MUSIC @debbiemikes1roc
1077845270_332274089978916864 x	Needin 25/8.... #notenoughtimeintheday
1077845270_331361390055018496 x	Lets get this week started... @418Music @NicoleMKerrigan @margiemartino @djginocaporale @djdonnychiro @djspontane @JAMIE418MUSIC
1077845270_327837559705194497 x	@djspontane  Gonna be tearin it up tonight!!! Sirius XM Shade 45 baby Ten till Midnight doin that Philly Thang....
1077845270_327828837612273665 x	RT @DJMarkOne: @djginocaporale @mrmigtight @sammarcobeats @larrymeenan @djdonnychiro @jamie418music @iamjessicasutta @djriddler @thediscofr?
1077845270_327806221564379137 x	FF # @margiemartino  @djdonnychiro @JAMIE418MUSIC @djginocaporale @debbiemikes1roc @NicoleMKerrigan @TheJackieMadden @djspontane
1077845270_327215296253411328 x	Rockin Robin @Ragu107
1077845270_322477519242682368 x	DONT WANNA LOOSE YOU by margie martino  http://t.co/HieWI4uxbb on #SoundCloud
1077845270_320349922945806336 x	@djspontane Ut Oh.... Get ready for some back yard boogie... #savoy
1077845270_319930408273846272 x	"Voices" by Debra Michaels http://t.co/7MgQQJKEm3
1077845270_319576042492788737 x	@debbiemikes1roc @NAMICommunicate @djginocaporale @IAMBobBurke @djdonnychiro @JAMIE418MUSIC @margiemartino @NicoleMKerrigan @djspontane
1077845270_318444222665592834 x	You got's to Coordinate!!! And yes, I'm wearing a mushroom belt.... http://t.co/HDNDRj5erI
1077845270_317679116801417217 x	RT @djginocaporale: #FF @_KristaRichards @janevanderbilt @RealStoneBridge @MrMigtight @SammarcoBeats @LarryMeenan @djdonnychiro @JAMIE41 ...
1077845270_317582646328848385 x	RT @gaudioso21: @AsherahMusic @debbiemikes1roc @vizionentgroup @tazmaniarecords @carlosmojica132 @djedc @IAMBobBurke @djginocaporale @La ...
1077845270_317362616328650754 x	Who's ready for a crazy week?? @djginocaporale @debbiemikes1roc @djdonnychiro @JAMIE418MUSIC @margiemartino @NicoleMKerrigan @djspontane
1077845270_316497201155162113 x	RT @debbiemikes1roc: @whomag @418Music @LarryMeenan  @IAMBobBurke @SammarcoBeats @JasmineNJ @djspontane @djhowiet  @Z889 @JAMIE418MUSIC  ...
1077845270_316164355290955776 x	RT @JasmineNJ: Monday's are the beginnings to new goals and achievements. @LarryMeenan @SammarcoBeats @djginocaporale @margiemartino @dj ...
1077845270_315071590465433601 x	@djginocaporale @djdonnychiro @jamie418music @jasminenj @radiodanznp @z889 @bpm_playlist @siriusxm @djarmando @djpunzo @fusion_radio_
1077845270_311452691702358016 x	Dodging rain drops.. @djginocaporale @JAMIE418MUSIC @djdonnychiro @margiemartino @debbiemikes1roc @NicoleMKerrigan @TheJackieMadden
1077845270_309837581602934784 x	Next week 418 Music and Pure Entertainment invade Miami... http://t.co/OsWY6zUccm
1077845270_305743787387412480 x	Coro and Rockell live... http://t.co/23PZnqufwe
1077845270_305743431702020096 x	Tickets are Still available.. http://t.co/ucZicl6959
1077845270_305447653708288000 x	418 Music photo shoot!! http://t.co/dHS5fhu5kg
1077845270_303493905540853761 x	Available tomorrow on iTunes, beat port, Amazon. 418 Music artist Margie Martino's hot new track "Just Dance". http://t.co/woFVSH3X
1077845270_302755040622428160 x	Tonight is the night!! Recess Lounge 125 Chestnut St. 9pm.... @djginocaporale @margiemartino @djspontane @djdonnychiro @JAMIE418MUSIC
1077845270_302573135864156160 x	Tomorrow night @Recess Lounge, Come join the hottest girl in the game... http://t.co/NlT1XQnT
1077845270_301700792182788098 x	Happy Hump day!! @djginocaporale @djdonnychiro @JAMIE418MUSIC @djspontane @JasmineNJ @angelaladevine @TheJackieMadden @margiemartino
1077845270_301328699616288769 x	Look what I just found on SoundCloud:  http://t.co/6EWb1bpG on #SoundCloud
1077845270_301326619153399809 x	Look what I just found on SoundCloud:  http://t.co/Jvb9gxFT on #SoundCloud
1077845270_301325654962601984 x	Look what I just found on SoundCloud:  http://t.co/wiwqrmnH on #SoundCloud
1077845270_301325257938182146 x	Look what I just found on SoundCloud:  http://t.co/f9K3Mt9T on #SoundCloud
1077845270_301324776989925377 x	Look what I just found on #SoundCloud:  http://t.co/vAg7EDox on #SoundCloud
1077845270_300933724458070016 x	30 days 418!! http://t.co/uWndLRXF
1077845270_300218966142500864 x	31 days 418 Music WMC Miami.. #letsgo @djginocaporale @margiemartino @JAMIE418MUSIC @NicoleMKerrigan @djspontane
1077845270_299490238949101568 x	Feb 16th @Recess , Margie Martino of 418 Music release party... @margiemartino @djginocaporale @JAMIE418MUSIC @djdonnychiro
1077845270_296010532677361664 x	418 Music welcome's 3 new Hott artists!!
1077845270_294951821166915584 x	Z88.9 Hott mix right now by Gino Caporale... #418Music
