1152689875_395359457133473792 x	@KelseyJoniec daddy does
1152689875_389201924152897536 x	PENN STATE!
1152689875_388790821887418368 x	RT @ShaneVictorino: Why??? An innocent child and a senseless act of violence. My thoughts and prayers to you and your family @AdrianPeterso?
1152689875_388314908569649152 x	@KelseyJoniec don't give up the glass is half full not half empty.  Keep your head up love you to the moon and back!
1152689875_386665669326286848 x	Doing my daughter's laundry,  because I'm a nice mom,  found $81.00 in her shorts from Irish weekend.  I'm too nice I gave it to her.
1152689875_382930046551621634 x	@KelseyJoniec good luck today! Show them how fabulous you are.  Love you
1152689875_382531653392158720 x	@KelseyJoniec Love you to the moon and back! Keep your head up when one door closes a better one opens
1152689875_380868193419821056 x	Stop throwing to cooper
1152689875_379978456823758848 x	@KelseyJoniec there's one at home I will find for you
1152689875_377948977821679616 x	@KelseyJoniec  really you are 21 and that blanket has more holes than fabric
1152689875_377238445242212352 x	Let's go Birds!
1152689875_361234834305191936 x	Masquerade live at keenans tonight 6-10 a good time guaranteed!
1152689875_336295675165806592 x	@KelseyJoniec hold your breath
