1155149406_395249584991371264 x	@thaRadBrad congratulations
1155149406_395735161943629824 x	@Bernice_SBTow nice chain #sbt
1155149406_395731742184968192 x	#sbtcountdown 1min!!!!
1155149406_400464095465701376 x	Blistex Season #early #winter  #november12th ???? http://t.co/PKYE96PSOg
1155149406_400378839517659136 x	@Jessewelle @ChipChocolate_ can't wait to see it #chipchocolate #chipchocolate #chipchocolate ??????
1155149406_400378470498594816 x	RT @Jessewelle: Cookie Dance Music Video. Uploading tomorrow 4PM EST on http://t.co/D6CJXVN65R http://t.co/VZ6cEVFgBu http://t.co/QMwXgBMjCH
1155149406_400335747615842304 x	Daily #FreeKicks, Sneaker News & Release Dates on @KicksOnFire App http://t.co/diArdH8lum
1155149406_400334124533428224 x	RT @FunnyPicsDepot: The Lightskin vs Darkskin Beef Continues... http://t.co/fIGARbhzgv
1155149406_400327201792348160 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh http://t.co/saKSLOwf3p
1155149406_400327016638996480 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh http://t.co/l34sTXncLW
1155149406_400314159281496064 x	RT @AyishaDiaz: ? http://t.co/yLzwvs1Y5c
1155149406_400313948815519744 x	RT @FunnyPicsDepot: Teacher : "Ok class take out last nights homework"   Me : http://t.co/d0Evi0d3be
1155149406_400147713972781056 x	RT @actorbrianwhite: ??? :) RT @antoniocintron2: @DylanMcDermott @HostagesCBS @MateusWard @TateDonovan will there be a season two if Ellen ?
1155149406_400144425437118464 x	@DylanMcDermott @HostagesCBS @rhyscoiro @MateusWard @actorbrianwhite @TateDonovan will there be a season two if Ellen doesn't kill the pres
1155149406_400144730644054016 x	@DylanMcDermott @HostagesCBS @rhyscoiro @MateusWard @actorbrianwhite @TateDonovan president
1155149406_400143474110234624 x	RT @actorbrianwhite: Appreciate u! :) RT @lvmuscfrevr: @DylanMcDermott @actorbrianwhite NUFF said ok one word YUMMO http://t.co/FDoP8rMCfi
1155149406_400142960396091392 x	@DylanMcDermott @HostagesCBS @rhyscoiro @MateusWard @actorbrianwhite @TateDonovan I love Hostage and I can't wait to see next week episode
1155149406_400110973790748672 x	RT @actorbrianwhite: We're turning up the heat each episode! :) RT @gory523: Can't wait for next week #hostages @actorbrianwhite @DylanMcDe?
1155149406_400110802734448640 x	@actorbrianwhite the episode was great can't wait to see u on the next episode #hostages
1155149406_400109460473282560 x	@DylanMcDermott it's about Nina #HostagesCBS
1155149406_400108572732039168 x	Nooooooooooo #hostages #cbs
1155149406_400107516321071104 x	RT @kicksonfire: Nike Lebron 11 ?Gamma Blue? http://t.co/qruupG922j
1155149406_400107486981939201 x	I guess Morgan's boyfriend wants to get arrested or die #hostages #CBS
1155149406_400105014053855232 x	@DylanMcDermott this kid is an idiot #HostagesCBS
1155149406_400103428233633792 x	Omg he knows about everything #hostages
