1170634285_386935780452888576 x	Busy hating this team...very busy
1170634285_386935417284886528 x	Wow no flag
1170634285_386934697156411392 x	That was uncatchable this officiating stinks
1170634285_390598126887002113 x	Harold needs to lose the red glasses
1170634285_389470469050863616 x	Describe the Eagles defense in one word I'll start....sickening
1170634285_386937639070617600 x	Thanks Andy for this collection of stiffs
1170634285_397144212325806081 x	RT @FakeWIPCaller: Also, since the end of the game when Emery decked Holtby, all Philly teams are undefeated
1170634285_397143441085562880 x	Chip...don't take your foot off the gas
1170634285_397142640934014976 x	Michael Carter Cooper
1170634285_397142308057260032 x	Woooooooo!!!!!
1170634285_397141036105207808 x	Here we go 3 and out the real Fols is coming out now
1170634285_396820986122997760 x	Brett Brown is officially on the hot seat
1170634285_396680822826471424 x	Looks like Homer could be moving upstairs what does that mean for Chief if Hexy gets the nod not to mention Itchy and Scratchy #dontsayhatty
1170634285_395729293814136832 x	RT @TonyBrunoShow: The Sixers are the only Philly sports team to win their home opener. Phils, Eagles, Flyers all pooped the bed in their a?
1170634285_395728044758794240 x	This friggin Victorino is making watching St Louis lose extra enjoyable
1170634285_394552775754776576 x	Please kindly end this horrible display of incompetence that I have again wasted  a beautiful Sunday afternoon vomiting at #eaglestalk
1170634285_394550714909093888 x	Now that's showing some heart
1170634285_394539471150280704 x	Everybody look at your hands
1170634285_394538943053848576 x	RIP Lou Reed :(
1170634285_394526180436877312 x	This stadium is so quiet it's disgusting no one likes this bunch...don't even want to be here
1170634285_394301053489152000 x	Mr Victorino...0.0...you have no batting average
1170634285_394294260201443328 x	Am I the only one who thinks the zombie commercial is funny
1170634285_394292978476650496 x	Love the God bless America solos in these games still can't figure out why schools won't allow it
1170634285_394289484982157312 x	Anticipation is mounting as we get closer to tomorrow's matchup between the Birds and Gmen as @MVFive does game prep #puthiminthebooth
1170634285_394285604223328256 x	I really can't tolerate how good Molina is
1170634285_394278344235421696 x	@TonyBrunoShow please don't say hatty
1170634285_394280990648320000 x	@TonyBrunoShow I'm not putting up with this tonight!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1170634285_394280255328116736 x	In ma opinyun Peavy is done for the night
1170634285_394277560458416128 x	In ma opinyun the Red Sox need to score some runs
1170634285_394277173324152832 x	In ma opinyun the Cardinals striped socks look keen
1170634285_394274654527164416 x	In ma opinyun the Cardinals should not bunt here
1170634285_392024401849618432 x	REALITY CHECK!!!
1170634285_392018570361978881 x	And now I hate this team
1170634285_392011459427045376 x	I've seen enough of Fols for today not forever but for today
1170634285_392008485619384320 x	Weeklong buildup for this slop shake it up Chip you know what to do
1170634285_392007642539098113 x	RT @JackMcCaffery: This is *still* a winnable game for the #eagles  Why not consider Barkley here?
1170634285_392000321570238465 x	It's great to have @MVFive to provide color along with Troy
1170634285_391994759080079360 x	Fols is holding a ball to too long
1170634285_391991552975069184 x	By the way loving these Tostitos Cantina chips with la Victoria jalapeno salsa #hot
1170634285_391988705499811840 x	When this busts open its going to bust wide open
1170634285_391984897839333376 x	Sacks make me feel better
1170634285_391910351803265024 x	Let's not get all misty over Victorino if he was here he'd just be a different centerfielder on a bad baseball team
