1190585754_396859627012648960 x	@kerrywashington Is cracking me up watching @nbcsnl lmao
1190585754_396826122450513920 x	you invite me to a event better be free for me I don't pay to party last I checked that's a real invite not say I can come its 20 to get in
1190585754_396818014651179009 x	@Sixers with the win over @chicagobulls   #SixersNation
1190585754_396812392782245888 x	At the @Sixers game
1190585754_396446922686218240 x	@Sixers #MichaelCarterWilliams is the @alleniverson we bin missing all these years I see this year going to be a great one #Sixersnation
1190585754_396296401702768640 x	RT @scorpdaboy: PLEASE START UNFOLLOWING A YOUNG NIGGA, IF U DO NOT LIKE REAL SHIT. IM NOT SUBJECT TO HOLDBACK WHEN IM TWEETIN OR IN PERSON?
1190585754_396295250219528192 x	RT @Bossip: Listen to the lady Aubs... #HipHopAwards http://t.co/MbyE5tsccY
1190585754_396295011077087232 x	RT @Bossip: Well... RT @HeezyBear: Draya dressed up as her personality for Halloween. http://t.co/oVpNhVZEY3
1190585754_396294457114382336 x	@Bossip @HeezyBear I guess this is a team no makeup pic lol   #ERICROYAL
1190585754_396294082768547840 x	RT @Bossip: The whole Zamunda delegation! http://t.co/GRQ9ecPjTz #BossipHalloween #ComingToAmerica
1190585754_396293968838668288 x	@Bossip @StewieBabee lol good one
1190585754_396293911091494912 x	RT @Bossip: Michael Strahan and Kelly Ripa as Kimye http://t.co/VI5q6fAYRT #BossipHalloween
1190585754_396293752618102785 x	RT @Bossip: NAILED IT! http://t.co/kA9E9Ab6Bq"
1190585754_396293444756189185 x	@Bossip @VICE the fuckery smh
1190585754_396293174265528321 x	RT @Bossip: Catch Fade: Hoodrat With Gold Grill Attacks, Curses Out, And Pepper-Sprays News Crew ?Bye, Bye, Byyyyeee!? [Video] http://t.co/?
1190585754_396253304247681025 x	RT @MsK1360: Show that I will be in in Dec...Please support..For tickets email me http://t.co/2swrjvGgoy
1190585754_396252952324603904 x	RT @Mayhem215: STARTED FROM DA BOTTOM "CYPHER" : ARSIN, MIKE THOU, REDA, MAYHEM, KB, PA...: http://t.co/cDFXgCJu1H via @youtube
1190585754_396249903904485376 x	RT @Mayhem215: I'm up writing music every night, this isn't a hobby... #wayoflife
1190585754_396064704491053056 x	RT @Smccalljeans: @_IAmEricRoyal Yes I do. You can check them out in Philly @CharliesJeans
1190585754_395954122077126656 x	Hello @Smccalljeans I'm hearing your name all over wanted to know do you make jeans for men ??
1190585754_396064570583695360 x	@Smccalljeans ok cool
1190585754_396052267201093632 x	@JLo body double is a fucking tranny?? Smh wow this life is serious now ...welp mean while back on planet earth lmao
1190585754_395963717667414016 x	Enhance your business or music internet promotion let us at "Truth Media Group" represent you check us out at http://t.co/91wXGXzChB
1190585754_395954846882209792 x	RT @SexlsArt: R-T if you love a #TattedUp Bitch ??? http://t.co/B9Kx2vzNyH
1190585754_395954785217552384 x	RT @SexlsArt: #Lawd ???She Thick ? http://t.co/vHnqRIx9Ib
1190585754_395940576832405504 x	@cthagod @BIGNOAH256 best book out right now
1190585754_395940488722665473 x	RT @cthagod: Best read out. RT @BIGNOAH256: @cthagod indeed http://t.co/Lhjmehn0Jx
1190585754_395940296397037568 x	RT @cthagod: Just seen a grown ass women dressed as North West. Definitely putting a sign on my door that says "No Candy" this year.
1190585754_395939314686652416 x	RT @IAMANITABAKER: Coffee cups up! :) ab http://t.co/TTjHJfpiVz
1190585754_395939258533294080 x	RT @IAMANITABAKER: solitaire... http://t.co/vNeA8QK3nY
1190585754_395936962227351552 x	Could I get a follow back from @KacieFOX29 have a lil crush on her :-) She's a cutie and I will shout you out on my radio show Tuesday
1190585754_395901937607917568 x	@QDEEZYDOTCOM lmao as #kanye and @SheinelleFox29 as #beyonce @MikeFOX29 as #robinthicke lmao @FOX29philly great job y'all #halloween2013
1190585754_395898849073438720 x	@JennFredFOX29 wow lol look at her as @MileyCyrus to great intro @FOX29philly
1190585754_395805269550059520 x	RT @garyowencomedy: The Heat lost tonight. Told you guys Mike Miller was carrying them last yr. #whiteguytweet
1190585754_395801087690551298 x	I tell artist straight up use me up I'm a radio host and do marketing and have industry connections why you artist bullshitting NETWORK! lol
1190585754_395727497532149760 x	RT @SportsCenter: 76ers SHOCK Heat in Philadelphia, 114-110.  Rookie G Michael Carter-Williams with a HUGE debut: 22 Pts, 12 Ast, 9 Stl, 7 ?
1190585754_395727367462592512 x	RT @NickSpin21: Rookie of the year? #CarterWilliams
1190585754_395727060980604929 x	@Sixers w/ the win #CarterWilliams on his rookie debut great game #AllenIverson retires #SixersStrong
1190585754_395691520310800384 x	My boy #AllenIverson retired as one of the greatest who ever did it @Sixers   Watching Heat vs. 76ers #6ersNation
1190585754_395674857452871680 x	What the hell is #FUTURE wearing shit looks suspect @106andpark
1190585754_395622196124463104 x	I don't give a shit bout #shaq supporting #CHRISCHRISTIE ITS STILL FUCK CHRISTIE GET EM OUT OF NJ
1190585754_395567827106541568 x	RT @KarenCivil: Tyler, The Creator Disses http://t.co/zUpQhtNjS1 On Twitter http://t.co/pdCfkjPXfV
1190585754_395553766302162945 x	#Yandy crackin under pressure she knows nothing bout how this system works he gets 20yrs you gonna replace em looks like to me
1190585754_395551120593928192 x	#Yandy on that bullshit if ur man locked up why be bitchin when he ask how you doin she fuckin said send me a card or someing lmao WTF FOH
1190585754_395372511979782144 x	@Theorossi watching #SOA have not missed a season bruh
1190585754_395370685796585472 x	#SOAFX
1190585754_395207048326938625 x	I rather be judged my 12 then to be carried by six don't judge me for my sins I regret not one   ( Even my sins paying off )    #Eric Royal
1190585754_395176448341725184 x	@Bossip I hope she ain't selling out like that
