122484909_398968788395503616 x	RT @SeanBrace975: #FridayNightLights Prep/Lasalle http://t.co/nSR7DoW2AT
122484909_399860181846478848 x	@BoopStats Foles has best QB rating in league against the other starters. TD per game pace would be right there w Peyton. #Eagles
122484909_399634726123995136 x	RT @TheRealDGunnCSN: if im riley cooper i buy foles a new car next week...
122484909_399634710395363328 x	RT @LesBowen: BTW, LeSean McCoy has 17 carries for 105 yards against the second-ranked run defense in the NFL.
122484909_399634691105783808 x	RT @BoopStats: Nick Foles update -- 10 TD passes on his last 39 attempts
122484909_399629008050352128 x	@brianstartare I feel like people are trying to find ways to disparage foles. He's young and learning. Let year play out.
122484909_399628723189989376 x	@brianstartare I agree too. I've never seen a qb analyzed so closely. Let them play. Sheesh. Mcnabb made mistakes too. They all do
122484909_399623032433827840 x	RT @GeoffMosherCSN: IF you're griping about Chip "leaving too much time," c'mon. Pack's on 3rd QB. Eagles trying to score a TD. Not many la?
122484909_397116609242075136 x	RT @CrossingBroad: COD Ghosts has the best commercials
122484909_399618826033446912 x	RT @MattLombardo975: The same Michael Vick who's 5-19 passing in the red zone? How would that work out? @And_Porter @PhillyBoyInTN
122484909_399617124324638720 x	No flow to this game w injuries
122484909_399611629199183872 x	@johnclarknbc10 pat shurmur blew it
122484909_399609194372165632 x	What frustrates me about some football fans is that every bad play is criticized so in depth. All players have bad plays. #relax
122484909_399608058235850752 x	@brianros1 @LesBowen do you know what was down the field ?
122484909_399605508933709824 x	RT @Ike58Reese: Casey is pumped to play in front of big bro today! #BabyThor
122484909_399398987221856256 x	RT @Golf_Shadow: Golf Course Slope Rating - It's Reality check time http://t.co/xuyJHr8zWz
122484909_399280933859516416 x	Mizuno MP 64 Iron Set 3-PW DG S300. Std Loft And Lie. Excellent Condition.: http://t.co/YQMQfJZ193 #golf #mizuno
122484909_399263418848645120 x	RT @BroadStBoss: Claude Giroux is cursed. http://t.co/UE5172TX4S
122484909_399033722739367936 x	RT @Bas215: Fuggin Hilarious. .. a Kids Sign at the #SixersVsCavs Andrew Bynum #MostUnwanted #AndrewBynum #Cavs? http://t.co/KsLA69anjo
122484909_399022586744799232 x	RT @ViolationsGreg: Foles first 9 starts stats vs 5's. http://t.co/QUizfmB1V7
122484909_399021728170795008 x	VIDEO: Incredible timelapse transformation of homeless veteran http://t.co/RJ14CBBTRa
122484909_398968729872379904 x	RT @ThatSamSmith: Press car just in. C7, white, first I've seen in this color. Oh my god. Stormtrooper C7 is best. cc: @RoadandTrack http:/?
