1273254194_400320529682694144 x	@SportsNation please send Ed Reed to Philly!
1273254194_400319310524342272 x	RT @EaglesInsider: Here's a little welcome to the City of Brotherly Love for new #Eagles WR No. 16 @RealBradSmith http://t.co/FNdpI0CrPh
1273254194_399182105550544896 x	RT @LifeProAdvices: Gift idea http://t.co/1jhyOR6OML
1273254194_397135666087469057 x	@jimcramer E A G L E S, Eagles!
1273254194_397120871518994432 x	@WarrenSapp soooo about that Eagles Offense
1273254194_396697086600949760 x	@TheRock @swillbilly1 @joenoel42 Da U! #swag
1273254194_396646336780845056 x	@DeionSanders Choose your attitude! great stuff
1273254194_396642337235169281 x	RT @DeionSanders: Goodmorning and God bless you. Let's Laugh,Love,Live and Forgive. 2day can become whatever u want it 2B. Let it become a ?
1273254194_396641635679092736 x	RT @BrianTracy: Take time each day to sit back, think and reflect on your priorities so that you are using every minute well. #Weekend #Mor?
1273254194_396640936677355520 x	RT @Thegooglefactz: Putting wine in a blender for 20 seconds is a method of aeration that soften the tannins in the wine and can make cheap?
1273254194_395729863837229056 x	RT @SportsCenter: 76ers SHOCK Heat in Philadelphia, 114-110.  Rookie G Michael Carter-Williams with a HUGE debut: 22 Pts, 12 Ast, 9 Stl, 7 ?
1273254194_395724960360308736 x	@MCW1 way to ball out! Future looks bright! #rookieoftheyear
1273254194_395343099532443648 x	RT @FlTNESS: Don't skip a meal! It leads to out-of-control hunger 4 the next meal, resulting in over-eating! Also puts you at risk of ditch?
1273254194_395338586049892352 x	Be happy! http://t.co/uu3pKRluWL
1273254194_394982089155964928 x	RT @T_Harv_Eker: "Successful people are simply those with successful habits." - Brian Tracy
1273254194_393915408052649984 x	RT @rosebowlgame: One week left in the #RoseBowl100 giveaway (tickets, field passes and $1000 travel stipend). RT this and follow us for a ?
1273254194_393417613688471552 x	RT @realDonaldTrump: Good advice from my father, Fred C. Trump: "Know everything you can about what you're doing."
1273254194_392980826239270912 x	RT @JoelOsteen: At the start of the day, let go of the disappointments and setbacks from yesterday. Begin today afresh and anew.
1273254194_392811517164675072 x	RT @realDonaldTrump: Breaking news - The Washington Redskins have just announced that they will be removing the name Washington from their ?
1273254194_392656768666697728 x	RT @AdmireMyInspire: If you're bored with life, if you don't get up every morning with a burning desire to do things - you don't have enoug?
1273254194_392248868538433537 x	RT @DeionSanders: Every word u utter 2day should be uplifting,positive,thoughtful,insightful & Wise. Your words mean a lot more than u thin?
