128467325_368597725589147648 x	@allylouwhox3 and they are...
128467325_355185697499521024 x	@allylouwhox3 text
128467325_392839221264023552 x	Apple crisp and ice cream for dessert! http://t.co/h2I7foelD7
128467325_358024182333841408 x	@allylouwhox3 que?
128467325_396057979428294656 x	RT @JavierRojasj: *** RECALL SWEENEY - VOTE FOR TRUNK!!! #nj2as
128467325_395948234352246784 x	@SenatorReid another yes man for you and the Obama administration. Such a shame.
128467325_395656992158539776 x	Win an $800 Mac Mini for FREE from MacTrast ? the perfect addition to any home or office! http://t.co/W4nLVnR2DH #MTMacMini
128467325_392839938758443008 x	@ta_Duffy yup!! Need reservations though.
128467325_392800963117207552 x	NOMS!!! http://t.co/cW5I7RYyh7
128467325_391311509328257024 x	About to come off in a few minutes. http://t.co/p170dsaV0P
128467325_391295092751106048 x	This is gonna be amazing! http://t.co/7Qc6Yd5aTV
128467325_389087141793640448 x	People that lazy to just park in a handicapped spot with no plates or placard just to save walking a? http://t.co/f0d4kvSbMC
128467325_388474040081727488 x	@AC360 maybe, just maybe that year delay could have helped them roll this out with less issues.
128467325_388114484487020544 x	RT @DuckDynastyAE: You still have time to win some swag! RT for a chance to win #DuckDynasty prizes! http://t.co/wHhRS6C2Ug
128467325_387982665913466880 x	Can't believe this little girl is five months old already! http://t.co/ce6MAfmowj
128467325_387981887605862401 x	House is officially ready for Halloween. http://t.co/jh6jNYeeGm
128467325_387726525560532993 x	Holding paws with his mommy. http://t.co/XiD05qKDpT
128467325_387714921028665344 x	Awesome sunset for an awesome night with my wife. http://t.co/osIGH0DYhn
128467325_387713287322091520 x	@MikeSielski Snider is looking for you I'm sure.
128467325_387626035539640320 x	?@973espn: The #Phillies have hired Larry Bowa as bench coach and Pete Mackanin as third base coach. (Per @JSalisburyCSN)? who's shocked?
128467325_387625207990849536 x	RT @FlyersNation: Wanna win a FREE pair of #Flyers tickets to Berube's coaching debut tonight? Heres how: 1) Follow us & @TiqIQ 2) RT this.?
128467325_385498164171915264 x	@CrossfireCNN @CNN #Crossfire both!
128467325_385221454205566976 x	@andersoncooper yes!! Sorry sometimes little Johnny and Susie will lose. Same Johnny and Susie cant accept not getting the promotion yrs l8r
128467325_385217759938088960 x	Momma and her pup. http://t.co/yeRdvQjZcx
128467325_385095715594469376 x	@FLOTUS you'd have to pick up and tweet yourself? Much beneath you I assume.
128467325_385091272413028352 x	@allylouwhox3 who we gettin?!?
128467325_385091802002640896 x	@allylouwhox3 lol man there wouldn't be many people left. Let the stupid people go. They're fun to watch and poke fun at
128467325_385092139820257280 x	@allylouwhox3 this have to do with milkshakes
128467325_385080396217860096 x	RT @baseman2001: This is y r country is where its today. Its time that we do r part no matter how bleak it looks #nj2as #2a #ccw http://t.c?
128467325_384917320164179968 x	@CecilyTynan hah! Sounds like a program run by our government!
128467325_384826905566134272 x	Hey @RinaldoZac you trying to have everyone at the rink wearing an @IceJerseys with your name on the back with all these RT? I like it!
128467325_384794631382528000 x	@28CGiroux help a fellow ginger out and rt this so @IceJerseys hooks me up with a jersey!
128467325_384765111640293376 x	@NJ2AS just joined online the other night. Proud to help the fight for #2a here in NJ
128467325_384763297436041216 x	RT @lluizzijr: #2a @GovChristie The Right to CCW is a constitutional right enjoyed in most states why are we being denied the right #jersey?
128467325_384745551977545728 x	@allylouwhox3 you're gonna be sooooooooo hooked
128467325_384746814718894080 x	@allylouwhox3 you should be! I think you get a free flyers car flag too opening night.
128467325_384747389002989568 x	@allylouwhox3 check out the tweet I just retweeted
128467325_384748078349451264 x	@allylouwhox3 if he's not feeling up to it I can escort you to the game. Lol
128467325_384748331509223424 x	@allylouwhox3 lol ok
