1323351062_394554844914003968 x	Watch the #Eagles win in a blowout next week because they're not at home..
1323351062_394531165228388352 x	Matt Barkley will lead the #Eagles to a COMEBACK in the second half.
1323351062_394531441914023936 x	@EaglesNews1 Exactly
1323351062_394532022179205120 x	@EaglesNews1 Hopefully he has a good 2nd half. He looked fine. Need to make big plays.
1323351062_393128540109287424 x	The new #Sixers logo is now just all blue. The red made it better but oh well. #TogetherWeBuild
1323351062_393130001677438977 x	@Owls_BlueDevils @Sixers twitter page new avi
1323351062_392776131566264320 x	There's absolutely nothing on tonight. Still don't know why the #Flyers have a week off between games.
1323351062_392776734069649408 x	@EaglesNews1 Well they have a bye every season and so does every other team
1323351062_392777206004338689 x	@EaglesNews1 Oh yeah that's true. They normally have earlier byes.
1323351062_392068598975299584 x	@trunn22 @EaglesNews1 #HorrendousForHundley
1323351062_392072511128870912 x	@EaglesNews1 @trunn22 I want to win also but I want to win in the future as well. Get a good solid QB. Hundley was ranked third in QBs.
1323351062_392041242512486401 x	@EaglesNews1 Manziel?
1323351062_392042098641608704 x	@EaglesNews1 He's still a solid QB but I would take Mariota over him
1323351062_392042599798034432 x	@EaglesNews1 Sadly
1323351062_392044281055035392 x	@EaglesNews1 They definitely need a QB. I haven't seen much of Hundley to want him.
1323351062_391674085102477312 x	@EaglesNews1 when the Eagles win*
1323351062_391663234484547585 x	@ESPNNFL @dallascowboys NOPE.
1323351062_391664798779203584 x	?@cowboyss12: @PHISportsPhans I got a question for u did u guys beat us last year no stop it? Typical Dallas fan: living in the past.
1323351062_391665574289215489 x	@cowboyss12 No but two wins mean nothing at all. If you want to bring up the past #44-6
1323351062_391666228907245568 x	?@cowboyss12: @PHISportsPhans if u wont to bring up the past 52_20 against the broncos yaa uhh u guys suck? You didn't beat them either..
1323351062_391667075078713344 x	?@cowboyss12: @PHISportsPhans we only lost by 3 compare that to 32 who sucks more huh? You still lost because of typical Romo. #interception
1323351062_391667761350729728 x	?@cowboyss12: @PHISportsPhans u guys lost because you guys just suck you whole team sucks? Is that all you say? I can't understand bullshit.
1323351062_391668865912291328 x	@cowboyss12 Oh shit he's cursing now. Dallas is a shit hole and the Cowboys suck. Have a nice day.
1323351062_391670248778502144 x	?@cowboyss12: @PHISportsPhans I am Mrs ok answer this when was the last time the eagles.won at home? You bring up the dumbest points
1323351062_391671636262670336 x	@cowboyss12 @EaglesNews1 he didn't answer it...
1323351062_396450089629384704 x	@RoobCSN What are people saying about him?
1323351062_393897409073254400 x	@PHLsprts_Wilson @NQS88 They have a better chance of winning right now with Vick but if he plays terrible & Matt comes in then Vick's stats
1323351062_393898314183503872 x	@PHLsprts_Wilson @NQS88 should worry about
1323351062_393903530706497536 x	@PHLsprts_Wilson @NQS88 Agreed. If he makes the key plays in the game to help win then he clearly didn't play that bad of a game.
1323351062_388065624280535040 x	Is it not right to like both the Sixers and Flyers in this town?
1323351062_388066463812427776 x	@PHLsprts_Wilson There's arguments between Sixers fans and Flyers fans
