1344633096_398984294808702976 x	@MsRadioSapphire haha never
1344633096_398984621280751616 x	@MsRadioSapphire what time does the show start
1344633096_398321579236802560 x	@MsRadioSapphire work it girl
1344633096_397711126127194112 x	@MikeFOX29 you make me laugh every day when I come home from work. Thanks for the laughs
1344633096_396599461939785728 x	Happy Birthday to my Daughter
1344633096_396479915362496512 x	thought u would like this http://t.co/VQIkpqrZbl #networkdjs #mixlr
1344633096_396479704875929600 x	lol http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_396478760402583552 x	going back to the 80's http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_396451619984134144 x	check in click the blue link http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_396449940110839808 x	I am all the way live click the link and join in http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_396449846879870977 x	I'm broadcasting LIVE right now on Mixlr. "network Djs's Mixlr". Tune in: http://t.co/3NMW1GmzZG #mixlr #live
1344633096_396206064796176384 x	@MileyCyrus  would love it if u follow us
1344633096_396204829783367680 x	Looking for new sponsors for our radio show. We are world wide. Hit us up.
1344633096_395866726363299840 x	name what movie this song came from http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_395864889484652544 x	Halloween Music to start the day..... HAPPY HALLOWEEN http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_395864727920054272 x	I'm broadcasting LIVE right now on Mixlr. "network Djs's Mixlr". Tune in: http://t.co/3NMW1GmzZG #mixlr #live
1344633096_395475691082637312 x	Pink for breast cancer awareness http://t.co/KIOdzaNE5L
1344633096_395475383992467456 x	Trump beach bar over the summer http://t.co/vcURCznpkG
1344633096_395474814057840640 x	In the studio http://t.co/4KBV3pxf8b
1344633096_395168190554464256 x	Holding it down in Philly live at Cavanaugh's River Deck http://t.co/tbBt5uGERL
1344633096_394347813448212481 x	now check in http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_394347795735662592 x	live http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_394318201125081088 x	I'm broadcasting LIVE right now on Mixlr. "network Djs's Mixlr". Tune in: http://t.co/3NMW1GmzZG #mixlr #live
1344633096_394125375061884928 x	of course http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_394110157254578176 x	tune in and check us out http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_394096553407053824 x	good morning tune in live http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_394095145987354624 x	I'm broadcasting LIVE right now on Mixlr. "network Djs's Mixlr". Tune in: http://t.co/3NMW1GmzZG #mixlr #live
1344633096_394088424489373696 x	LMAO http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393977345604063232 x	wait ed http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393976798289354752 x	me to http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393973276135137280 x	hi Nicole http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393962588977233920 x	sex talk with big carm http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393959460043227136 x	hello http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393953639527882752 x	joke make ed b round will be back on in a few http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393953564688936960 x	log in and listen http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393947407169617920 x	check us out live in the mix http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393944321009152000 x	instant request to ed b round http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393937359009767424 x	what do u guys want to hear http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393932601440108544 x	lol make request come on http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393930776913641472 x	glad u love it http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393920247021191168 x	Jenaro from the group pain on next http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393914770472312832 x	hey http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393912367144501248 x	Ed B Round... comedian from Philly Checking in with us in minutes http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393912218041200640 x	Jenaro from the freestyle group Pain checking in at 10 pm est http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393911193167204352 x	hey rick http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393900881332420608 x	we are all the way live log in http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393898294478667776 x	we are live http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393898269707083777 x	yoooooooo http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393896258701885440 x	I'm broadcasting LIVE right now on Mixlr. "The Firday Night Throw Down". Tune in: http://t.co/3NMW1GmzZG #mixlr #live
1344633096_393142204560314369 x	yo http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393141607274647553 x	we are live tune in http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_393140980121362432 x	I'm broadcasting LIVE right now on Mixlr. "network Djs's Mixlr". Tune in: http://t.co/3NMW1GmzZG #mixlr #live
1344633096_392960152887771136 x	@MsRadioSapphire  I hope you can check out my show Friday 9pm -2am est http://t.co/BDQIV6PaIy
1344633096_392958963874287616 x	hip hop Wednesdays log in now http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_392956598345535488 x	I'm broadcasting LIVE right now on Mixlr. "network Djs's Mixlr". Tune in: http://t.co/3NMW1GmzZG #mixlr #live
1344633096_392603372064612352 x	good morning Friends http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_392597726225268736 x	I'm broadcasting LIVE right now on Mixlr. "network Djs's Mixlr". Tune in: http://t.co/3NMW1GmzZG #mixlr #live
1344633096_392494789867757568 x	I hope I can get through tonight..real Name is Carmen
1344633096_392431160175108097 x	lol http://t.co/3NMW1GmzZG #networkdjs #mixlr
1344633096_392430691394543616 x	I am at my other job http://t.co/3NMW1GmzZG #networkdjs #mixlr
