1350822474_395735897074720768 x	Philly jawns lined up to give #MCW some pussy after that #Sixers game
1350822474_395734967382462464 x	#damn this what happen when #Lebron lose #MiamiHeat http://t.co/hoN7hTFlbg
1350822474_396414473780461568 x	I'm listening to "You Make Me Wanna..." by Usher on Pandora http://t.co/GVH9VD8OIN  #pandora
1350822474_396482597209243649 x	#HelloBrooklyn A Win is A Win but the stats aren't so good... #HeatvsNets #BeatTheHeat #BrooklynNets http://t.co/rJFCfGqZN1
1350822474_396466700373475328 x	Outlook | The Official Site of the Brooklyn Nets http://t.co/PoNCsXGxQi
1350822474_396465020542136320 x	@BrooklynNets #HelloBrooklyn looking great tonight #NETSonYES #NETSonESPN #BeatTheHeat
1350822474_396432383916146688 x	People got the nerve to be complaining cause the #foodstamps came up short this month...shit I pay? http://t.co/K8FuQWU9OK
1350822474_396417165605498880 x	I'm listening to "Don't Leave Me" by Blackstreet on Pandora http://t.co/efV7glBVvg  #pandora
1350822474_396415461539057664 x	I'm listening to "Bring It All To Me (Feat. 'N Sync)" by Blaque on Pandora http://t.co/PRBO7WgUeO  #pandora
1350822474_396414253399162880 x	I'm listening to "Water Runs Dry" by Boyz II Men on Pandora http://t.co/Iqbwg4HTYL  #pandora
1350822474_396413788133400576 x	I'm listening to "Diggin' On You" by TLC on Pandora http://t.co/bhxuShoi10  #pandora
1350822474_396413246531305472 x	I'm listening to "Before You Walk Out Of My Life" by Monica on Pandora http://t.co/7zGMWKH52e  #pandora
1350822474_396396464504451072 x	I'mma stop looking the fuck out for people if I don't get shit in return
1350822474_396396279606956032 x	Everybody got they hand out cause its  the 1st but ain't  nobody trying to help me with my needs.
1350822474_396385932389384192 x	State store run for Pops #wineandsprirts
1350822474_396377124665585664 x	Stopping by my sister job...She a Cop and I'm a soldier; guess it's in our blood.....LOL Hell naw our? http://t.co/365StaQBIG
1350822474_396374427434115072 x	Stopping by my sister job for a minute http://t.co/yraTYwgzeg
1350822474_396372082377768960 x	People only fuck with you when it's #advantageous to them
1350822474_396360683853332480 x	Some _____would be nice right now....but I'm stuck at work tho.... #BeenAWhile
1350822474_396303540463104000 x	I need KG and Pierce to BEAT THE HEAT tonight #hellobrooklyn #kg #paulpierce #brooklynnets #netsnation? http://t.co/wIk2hR7CnA
1350822474_396300278385098752 x	Niggas catch cases everyday B.... @ Criminal Justice Center http://t.co/0wrtIXY8Hg
1350822474_396299561989181441 x	It's funny how everytime I go downtown to CJC, I run into niggas that I don't fuck with anymore
1350822474_396296190054379521 x	#downtown today #MoveMaking @ Philadelphia City Hall http://t.co/EAVXvBjPsg
1350822474_396282955850452992 x	Just passed my drug test, not like I was worried or nothing.....lol
1350822474_396263112304640001 x	RT @OfficialTerRio: Oooh killem it's Friday
