1380154610_392860737972236288 x	@ImanEaglesfan Go Birds!
1380154610_394985726116634625 x	@GiGi_215 Seattle D time! #Fantasy
1380154610_395079509529341952 x	@LiliChocWildboy A Star from you makes me mushy inside!
1380154610_399708308732653568 x	@GiGi_215 A perfect Sunday? Huge Eagles win coupled with Boys loss! #Saints
1380154610_400059473685147648 x	#Sixers getting schooled! Damn Spurs!
1380154610_400057546519875584 x	@Chiccywood #Lost ?
1380154610_400059114023567360 x	@Chiccywood Yeah! Scary part is I know what it meant!  Miss that show!
1380154610_400047223633113088 x	#AddBoobsToTvTitles  The Biggest Loser Boobs
1380154610_400045352726040576 x	RT @NSportsTalk: Who will win the NFC East? RT:Eagles Fav:Cowboys Quote this tweet: Redskins @ me: Giants
1380154610_399959645902884864 x	@Phillysports25 @MLB @Braves @mlbbowman Batting 5th at CBP? McCann be a great fit for the Phils.
1380154610_399968224231849985 x	@Phillysports25 @MLB @Braves @mlbbowman Just add a dose of Giancarlo Stanton and Boom! Power back! #HotStove
1380154610_399969489372327936 x	@Phillysports25 @MLB @Braves @mlbbowman That is why I think RAJ has to make a splash! No more job security!
1380154610_399968654806515712 x	RT @ProFootballTalk: Cowboys will be without Sean Lee 3-4 weeks http://t.co/SEuSNqGc8g
1380154610_399967933029695488 x	RT @eaglescentral: Jason Peters, Mychal Kendricks and Earl Wolff all expect to play this Sunday. That's good news.
1380154610_399967561598926848 x	@AphroditeAfter5 You had me at Fuck Balls!
1380154610_399966530571894784 x	@TheFFGirl The U!
1380154610_399965478053232640 x	@TonysCombover ...or is he? Saul on a warpath!
1380154610_399962939358478336 x	God bless all who served and are serving the United States of America. Happy Veterans Day. #Respect http://t.co/OSorBMDsnB
1380154610_399949744057102336 x	@amitj113 How are you making out?
1380154610_399958827619328000 x	@amitj113 She is still doing good. Wildwood?
1380154610_399960669564727296 x	@amitj113 No. I was guessing that was your shore relaxation destination.
1380154610_399962040393302016 x	@amitj113 Very nice. Enjoy the time with your family brother.
1380154610_399959725338796033 x	RT @DRyans59: Thank you to all who have served in protecting our freedom. #Respect http://t.co/e3rPlRZHxL
1380154610_399947068724498433 x	RT @DunkinPhilly: @CoachBurkett Thanks Coach! We can't wait either #GoIcedGameOn
1380154610_399941748124057600 x	Looking forward to #GoIcedGameOn Tweet and Greet at the Linc on Wednesday night! #Eagles and @DunkinPhilly baby! http://t.co/QFOFso3TBk
1380154610_399895120201646081 x	RT @NFL_AM: .@Eagles are the only team in the modern era to be at or above. 500 through Week 10 without a win at home
1380154610_399881522834321408 x	@KarenFox29 @MikeFOX29 @SheinelleFox29 @FOX29philly @WIPMorningShow The Linc Jinx ends this Sunday! #Mojo
1380154610_399880747697594368 x	@colebrookqueen Pretty great Sunday when the Birds win in GB and the Saints kill the Boys! Loved it!
1380154610_399879309219094528 x	@WIPMorningShow The Eagles won another game on the road! Hard to do in the National Football League! #joyful
1380154610_399878297066409984 x	RT @_Philly_Talk: Thank you to the men and women that have and are currently putting their lives on the line to protect us each and every d?
1380154610_399877348960784384 x	RT @DunkinPhilly: Remember..."@Eagles Win! You Win!" Free Med. Coffee coupon on DD App Today in Greater Philly Area! Download -> http://t.c?
1380154610_399705568954560512 x	I know the #Eagles won but...was that refereeing horibble today?  Also great running from @CutonDime25 !
1380154610_399712790480683009 x	@karaburkett Hello? Rules state u cannot tackle by facemask! Still in a good mood! Holla! Go Birds!
1380154610_399707791218450432 x	RT @terilyns68: I'm about to go buy a Saints flag, tshirt and whatever else I can find to show my support for the team!  Go Saints!!!
1380154610_399707578139426816 x	RT @RealSports24_7: #SundayNightFootball   RT for Saints FAV for Cowboys  #DALvsNO #NFL
1380154610_399707436564889600 x	@ChipKellysBalls @AphroditeAfter5 Time to go medieval on his ass!
1380154610_399707045328596993 x	RT @KellyMcGhee528: #foles and #brady r the only QB's in #nfl history with 10 + TD's & zero INTs in a 2 game span in a single season #Eagle?
1380154610_399706773948751872 x	RT @RoobCSN: Last time the Packers lost at Lambeau by 14 or more points: Dec. 3, 2006, 38-10, to the Jets. Pennington over Favre.
1380154610_399706649973497856 x	@Mariablanca @sesamestreet #Snuffalupukis However it's spelled:)
1380154610_399681395108614144 x	@vansciverju Eagles vs. Lions? Wearing Green?
1380154610_399682965682540544 x	@vansciverju Simple, golf clap:-)
1380154610_399560610587090945 x	Beat the Pack! #BleedGreen #BirdGang #Eaglesnation
1380154610_399082171186814976 x	RT @ZuelDana: @ToMSturf no problem & yes can't wait to whoop Seneca Wallace's Ass! #BleedGreen
1380154610_399064440420978688 x	@NHLFlyersHockey The Birds!
