1423505203_367840527531909120 x	@nicolecoucoules ?
1423505203_395981421845970946 x	RT @FauxChief: Yo Downie, I need you to pick me up some shit from Colorado before you leave.  #SmokumPeacePipe
1423505203_395975704786903040 x	What the facccckkkk http://t.co/jxTgvXfPFN
1423505203_395754807178174464 x	RT @fakelavy: YOU STILL CHOKED IN 2010 BOSTON! YOU STILL CHOKED AND I MADE YOU JOKE! NEVER FORGET YOU ASSHOLES!
1423505203_395754152384823296 x	@ShaneVictorino way to avoid the question of which World Series meant more .... We all know you'll always be a Philadelphia phillies
1423505203_395747217727688704 x	Just saw a guy who's been going to Red Sox games for 70 years every game every season .....seriously nothing cooler than that
1423505203_395748108233347072 x	@mufffiin idk why but I just think that's literally like the coolest thing in the world #iwanttobecomethat
1423505203_395747627054419968 x	@ryan_cray like 3 rows from the field too ugh so jealous
1423505203_378271304073613312 x	@fcoxx_91 @Eagles how ?
1423505203_395740558549086209 x	RT @NHLBootyHadMe: #BootyHadMeLike http://t.co/w9QNdOjEg0
1423505203_395739796712488961 x	@mufffiin @GongshowGusty @chris_depierro @ryan_cray hahahahaah that's great I didn't even see that
1423505203_395735427035828224 x	Do u get points 4 u goalie being arrested?Because I think I would lead the fantasy league in that category @ryan_cray @chris_depierro
1423505203_395738625125543938 x	@ryan_cray @chris_depierro ugh so what is he ? Day to day ? Injured reserve ?? So many decisions haha
1423505203_395738848824950784 x	@ryan_cray @chris_depierro semyon varlamov got arrested for kidnapping somebody haha
1423505203_395649886055440384 x	I found tht if u have a goal, tht u might not reach it But if u dont have 1 thn u r nvr disappointed. And I gotta tell u it feels phenomenal
1423505203_394989856902094848 x	Apple chargers 19 bucks 4 the regular 3ft 3 in charger ,best buy has a 10ft charger for 27 needless to say which 1 I bought  #fuckyouapple
1423505203_394947436986507266 x	?@itsBroStinson: Only a fraction of women are crazy. And that fraction is 100/100.?truth
1423505203_394919624024018944 x	@Thromedamnball u r a absolute idiot , and everyday you make more obvious why no1 wanted you on there team and forced you to retire #selfish
1423505203_394687959007756289 x	RT @DanyAllStar15: . @JohnnyFootbalI yeah, scrolled all the way back to November for this one. http://t.co/ViMhmMK5eA
1423505203_394533182491852800 x	@jake_Leonidas the sixers are going win the next Philly championship lol
1423505203_394533934480252929 x	@jake_Leonidas were going be so bad this year we a great shot at the number 1 pick  Andrew wiggins , supposed to be best player since James
1423505203_394483974292389888 x	@Trouty20 you're the man
1423505203_394206268921233408 x	RT @itsBroStinson: Don't send me a ;) face and then wonder why I show up at your house naked.
1423505203_393924251017019392 x	RT @_Happy_Gilmore: NHL Goal Leaders: 1-Alex Ovechkin 2-Patrick Marleau 3-Sidney Crosby 67-Charlie Conway 78-Doug Glatt 94-Dean Portman 987?
1423505203_393787460297453568 x	?@CSNPhilly The Flyers have sent their leading goal scorer, Tye McGinn, 2 the minors in due 2 of Scott Hartnell's return @chris_depierro wtf
1423505203_393788237481000960 x	@chris_depierro #firehomer
1423505203_391779032825868288 x	Seeing Victorino so happy in Boston is like losing the girl of your dreams  seeing her happy with a man #depressed #pleasecomeback2philly :(
1423505203_391780795020763136 x	@nicolecoucoules rather have him in a phillies uniform ?
1423505203_391770279430856704 x	RT @IamEvilTebow: Detroit needs to put Veras on a raft back to whatever island without indoor plumbing he came from.
1423505203_391768144806940672 x	The flying fucking Hawaiian what a player
1423505203_391014568438534144 x	I fucking hate Coburn so much that big piece of fucking shit
1423505203_390483676792111104 x	You chew your nails all class every class  There's no nails left to chew disgusting  #freaksatBCC
1423505203_390299616820084736 x	RT @GrantWahl: COSTA RICA GOAL--and as it stands Mexico is out of the World Cup.
1423505203_390268583080890368 x	Ty McGinn is the man
1423505203_390192713544790016 x	RT @danieltosh: the only way to show our government that we don't miss them is to start dating another government. my vote is for thailand.?
1423505203_389542523469045761 x	Time to catch up on east bound and down @chris_depierro found a link!
1423505203_389516378447044608 x	RT @mstairs12: 5 years ago today is when I started drinking free in Philly. Love homeruns !!!!
1423505203_389456452647411712 x	Eagles defense makes one of the worst offenses in football look pretty good #thestruggle
1423505203_388678218074836993 x	Some days you just have to say fuck class and take a nap  Today is one of those days
1423505203_388446864020094977 x	Thanks for the autograph ! @CutonDime25 http://t.co/mNXO791lv6
1423505203_387954005483454464 x	@LindritShkodra start your paper off calling him a pussy  Automatic A
1423505203_388026305780146176 x	@LindritShkodra he's ok kind of annoying sometimes lol
1423505203_387656673026121728 x	RT @FauxJohnMadden: Julio Jones joins the Atlanta Braves and is out for season.
1423505203_387289442773630976 x	Get rid of carter Richards lupul carle and even lenio then blame lavy for the team not being able to score #firehomer
1423505203_387288322315669504 x	?@PhilaUnion: #UnionFansFan get 1 chance to hit the crossbar for 2 free 2014 Season Tickets? ur chance to showcase ur talent @ryan_cray
1423505203_385929082795741184 x	Love just sitting around watching hockey #besttimeofyear
1423505203_385882218000035840 x	@ryan_adams9 I was cracking up when I saw that last night
1423505203_385811373621792768 x	@PhilaUnion who is your dream team to play for ?
1423505203_385603786242547712 x	Cleveland average attendance was 28th in league this season  30th the last 2 year  Fans don't deserve 2 c them win #dontjustcome4theplAyoffs
