1430276245_379696993821396992 x	@DrOz my uncle http://t.co/6btWlmuIbW
1430276245_396055388119773185 x	@donovanjmcnabb check me D!!! http://t.co/90GnLJVT17
1430276245_395699086063833088 x	@Ibatvmc nobody puts baby in the corner!!
1430276245_395692952955387904 x	@chrismayphilly #WhiteGuyTalk
1430276245_395639692386791424 x	@Ibatvmc start dancing to BBD with w ur shirt off and Eric will be there -
1430276245_395576015314898945 x	@BrianSeltzer Good luck with that @yungsmoove21
1430276245_395557282328502273 x	@CliftonElite @UDPolice let the cops know i'll b the one in cutoff jean shorts, no shirt and a machete tapped to my back... #IcomeCorrect
1430276245_395572358758416384 x	@UDPolice @CliftonElite Possibly, as long as u dont tell Cliffside tavern, i DJ there M-F 530-8am. Those roofers are loyal customers...
1430276245_395558589072297984 x	@VUCoachJWright @Sixers Seriously Jay? Typical MainLine BS
1430276245_395556537122320386 x	@KirkHerbstreit when did u have your balls removed Kirk, toughen up
1430276245_395531035171377152 x	@Ibatvmc Marc, Eric Nies needs to contact u, said he can get u in, but u have to dance shirtless to bell biv devoe
1430276245_395299538610958336 x	@MeleJosephmele @Ibatvmc mark you must b related to this Mele fella, sounds like a ringer for vetri @RealBradWesley
1430276245_395526445034127360 x	@MeleJosephmele @Ibatvmc @RealBradWesley listen Mele, sounds like u want a physical challenge w Marc, n have it end with a slime. #clifton
1430276245_395525768270606336 x	@Ibatvmc let me know if you get stuck, I am still friends w Eric Nies from MTV the Grind, he can get u in. He got @CliftonElite BBD tickets
1430276245_395281663975882752 x	@MeleJosephmele @Ibatvmc @RealBradWesley @PizzeriaVetri to much crust Mark, lets be honest here
1430276245_395300096692457472 x	@CliftonElite @Ibatvmc @RealBradWesley @PizzeriaVetri for real Marc ... That is polish style ...
1430276245_395373075728199680 x	@Ibatvmc i think @RealBradWesley proved his last name is Vetriski
1430276245_395372810904031232 x	@Ibatvmc Marc, I am a comparable celebrity to u, I used to dance on MTV's the Grind.. So I think I know a little about quality #AllCrust
1430276245_395241676936998912 x	@CliftonElite @KeithJones @charliesheen Keith why are you kicking us when we were already down?
1430276245_395184910710743040 x	@davespadaro @LanceK13 Come on Dave !! stop wiping ur ass with just your hand!!
1430276245_395182482305204224 x	@davespadaro @jrhardy84 i guess they didn't need a safety that year Dave! Seriously Dave...Seriously...
1430276245_394961508670914560 x	@CaseyboyWMMR was prolly some dirtball springfield kids
1430276245_394941408597262337 x	@CPWinters @MarcusBarkleyQB @RealGlenMacnow @1milli_for_me easy bro, Matt has Brady like potential, golden arm, decent hair, average skin
1430276245_394927106922016768 x	@TonyBrunoShow @MeleJosephmele @LesBowen @MarcusBarkleyQB @MattBarkley what! i have 5 pics from our modeling days Tony, with Matt...
1430276245_394916823478456320 x	@TonyBrunoShow @MarcusBarkleyQB @MattBarkley Ton it's his Bro, i used to model with him in #SoCal
1430276245_394913508363489280 x	@MarcusBarkleyQB @MVFive DAM, i never seen a pink popped collared shirt bro come at people so hard...Bro u are stomping in your Crocs today
1430276245_394911493180768256 x	@MarcusBarkleyQB yo bro! remember me? i use to model at that same beach, your bro is about to take over!! looked great yesterday
1430276245_394838373078032387 x	@PhilHeron Phil the new website blows, local stories are hard to find dated national stories are littered everywhere. Get back to basics
1430276245_394842886274957312 x	@CliftonElite @RealBradWesley @PhilHeron @DTMattSmith Matt ur assistance would be greatly appreciated, bring @delcotimes back to the people
1430276245_394859980790063104 x	@BigT_Havertown @CliftonElite @PhilHeron @DTMattSmith @delcotimes @ChiefMChitwood true that, Chit, can you make it happen, delco all day
1430276245_394849761540333568 x	@PhilHeron Seriously Phil, get at me with some local #delco news...im sure there are some pajama pants wearing thefts in #clifton
1430276245_394840001604632577 x	@nickhogan4real Dam kid! rocking the open curtains haircut !!!
1430276245_381242108457541632 x	@PhilMarionField @CliftonElite @RealBradWesley Phil were u at! U workin the night shift at Boeing? Lookn forward to ur stats against radnor
1430276245_381230620820926464 x	@PhilMarionField @CliftonElite @RealBradWesley listen Phil, we r hardcore Clifton guys, in 10th grade my weight team was 11-0 scored 37TDs
1430276245_381228879719202816 x	@CliftonElite @PhilMarionField @RealBradWesley dam, Phil Marion any truth 2 that?
1430276245_381224178579673088 x	@PhilMarionField @CliftonElite @RealBradWesley it's gonna b a good week at Boeing, congrats
1430276245_381142189319147520 x	@RealBradWesley @PhilMarionField @TheDelcoDude @CliftonElite u guys better start pulling some new stats around losing in da weakass central
1430276245_381126167652077568 x	@VUCoachJWright @VU_Business i agree they did have a bad #attitude ...typical Mainliners ....
1430276245_381118262945132544 x	@JonnytheUnit @mixwellmccarthy @TheMixService YEA! when can we cop that piece?!?!? gonna jam that at the next party http://t.co/RXN6V1jK0U
1430276245_381113474551513088 x	@Laurenmanzo BLACK! cause once u go black...well you wont go back!! #hahaha
1430276245_381113153867628544 x	@FarFarrAway @CliftonElite @UDPolice whoa whoa whoa, check the stats homegirl, start off with just my pictures, i am so freaking diverse
1430276245_381089632252727298 x	@Tim_McManus F him and his happy face, im pretty sure he had spare ribs in his pocket, so the happy face could go in either direction
1430276245_381088419578798080 x	@MainLineToday you guys ever think about adding an Op-Ed piece on a bad-ass clifton kid who knows karate? #getTough #MainLineIsWeak
1430276245_381086116138319873 x	@ItsTheSituation with your help, im gonna stay off the snorting, #beReal #prollyGonnaDoitAnyway
1430276245_381082694467080192 x	@RealRonnieMagro #getatme when u are pushing real weight, your #GTL shit is for #vagina faces
1430276245_380812550516244480 x	@Delco_Pride Cliffside tavern !!! Been here since 8am #clifton
1430276245_380763436474306561 x	@EndHouseReport i feel you homeboy, i need to get into one of your house music parties, i imagine mad fist pumping ... #QuestionableClifton
