1442663743_391175704781402112 x	@Jamieallllover @JeffGordonWeb That's AWESOME!
1442663743_379760818214035456 x	@HollySondersGC @GolfChannel This is Awesome!
1442663743_399565646473998336 x	"@AFC_Brianna: Military Appreciation game! #SEAvsATL #falconscheer #nflcheerleaders #nfl #riseup http://t.co/COZvQu9gx6"#awesome
1442663743_398126538207817728 x	@kwilliams_xo stay away from mice and men!
1442663743_397683413609893888 x	RT @Paula_brune: "@bid4golf: ?@Paula_brune: No laying up? RT words to live by! #nicepardavid"// #12
1442663743_396443033669222400 x	RT @MensHumor: Beer is a food group.
1442663743_395133960508166145 x	@Jtillathekilla2 good morning..have a great flight!
1442663743_394616993137324032 x	RT @PGA_JohnDaly: Wow how bout that National Anthem from Rascal Flats just awesome #letsgocardinals
1442663743_393410698296188928 x	RT @LoudMouthGolf: #LoudmouthNation is excited to have @PGA_JohnDaly back! http://t.co/uMLEZRqCnN http://t.co/BkLfLBO5mq
1442663743_391175788391051264 x	RT @MensHumor: Dear liver, it's Friday. Sorry, little buddy.
1442663743_391147697610440704 x	RT @MensHumor: Insomnia sharpens your math skills. You spend all night calculating how much sleep you'll get if you "fall asleep right now".
1442663743_390171073230430208 x	RT @LoudMouthGolf: Our (slightly) naughty holiday pants are now available - HO!,HO!,HO! http://t.co/3q2ss1RXys http://t.co/kuWzy3G27A
1442663743_390152379825655808 x	RT @HunterMahan: If players are so upset at Puig celebrating a triple or clutch hits then get him out. I'm tired of hearing about baseball'?
1442663743_390151999742025728 x	RT @Paula_brune: "@TotalGolfMove_: Wearing a glove while putting is about as socially acceptable as wearing crocs."// coin toss
1442663743_390130705722007552 x	Perfect day for 36! But #stuckatwork
1442663743_390123940804591616 x	@Paula_brune Thank you..Mam :)
1442663743_387338059819122688 x	@Sammie_Rhodes @jestuh Almost as awkward as saying "Good to see you" at a viewing/funeral! Ah Geesh..
1442663743_387334224858337281 x	RT @RollingStone: Rush's Geddy Lee explains the bad haircuts and crazy stage secrets behind some of the band's most famous videos: http://t?
