1458736447_396049666263252993 x	Bang bros my shit
1458736447_396049610839715840 x	@drebucks ???
1458736447_396048316481699840 x	2?4?-7?
1458736447_396728991820038144 x	@drebucks yeah it do but it don't hit
1458736447_396728657299144704 x	?@drebucks: "@Chipped_Nigga: Who got some good loud"dabunner?I didn't get high off that shit lastnite
1458736447_396727990677426176 x	Who got some good loud
1458736447_396694197740531712 x	?@Exotic_Budd: Pizza and scandal ???call my phone
1458736447_396690756662226944 x	Keep the drama out ya life
1458736447_396690480454725632 x	Fuck 12
1458736447_396690396631535617 x	Black shades
1458736447_396689594118582272 x	Juice
1458736447_396689565253382144 x	Lier
1458736447_396669957360320512 x	?@LifeofTyana: Going out really not fun to me anymore?it's the people that don't make it fun no more
1458736447_396670416754069504 x	?@LifeofTyana: @Chipped_Nigga i always have fun with my girls but partying just not for me nomore?shit weak now back in the day shit was ?
1458736447_396669310321840128 x	?@LifeofTyana: Going out really not fun to me anymore?I say the samething every weekend
1458736447_396669791467220993 x	?@LifeofTyana: @Chipped_Nigga i haven't been out in a while and i went last night it's just not my thing anymore?factz
1458736447_396669506325839872 x	Truckloads
1458736447_396669416299298816 x	What u need nigga
1458736447_396669146240679936 x	Gotta keep some heat
1458736447_396669071863054337 x	Word on the street
1458736447_396668912202682368 x	Jugg
1458736447_396454417266135040 x	RT @_GoHAM_: Pretty girls always Shy? Ugly Girls Always Hype????
1458736447_396450739998175232 x	The timberwolves bussing the thunder ass
1458736447_396444762636816384 x	The magic catching wreck
1458736447_396319095970607105 x	?? http://t.co/bfiH1CFzPx
1458736447_396306924465307648 x	Gigantic hand costume=Ultimate #SmackCam! (I told Matt Krath to meet me here. Little did he know...He doesn... https://t.co/dPTgvvr07U
1458736447_396306081636683776 x	McDonald's @ 2am ??????? https://t.co/cMutUYs1lN
1458736447_396305995883753472 x	PoundCake Remix #Jayz #Drake #swissRolls #MonopolyMoney  https://t.co/ylyYJOBYzP
