14619762_395610761155706881 x	Imma save the world... brb http://t.co/lmtLvalw6v
14619762_394945344405897216 x	Esta gente tiene GPS integrado... Ohio State Marching Band Stuns With Movie-Themed Choreography [VIDEO] http://t.co/gYiDHsYXYl via @mashable
14619762_394229622843670528 x	Always a pleasure! ?@Miss_Internet: Saturday lunch with @DigitalHiram http://t.co/pFw5WB0erC?
14619762_393823466371051520 x	priceless #quintopoder Former NSA spy chief gets a little of his own medicine thanks to random act of journalism http://t.co/ehx4Np9yki
14619762_393059991403233280 x	?Est? Cuba preparada para eliminar la doble moneda? http://t.co/rybL0Zlelq via @cafefuertecom
14619762_392760984546197504 x	Apparently I should move to Massachusetts | America?s Mood Map:An Interactive Guide to the United States of Attitude http://t.co/pTpQvY4AD1
14619762_392744434057490432 x	the "meta" apple comercial.  Arianna, your turn. http://t.co/nddLVmjqBa
14619762_392373254364475393 x	Joint broadcast ABC+Univision for @thisisfusion launch: Despierta Am?rica y Good Morning America se unen por un d?a http://t.co/bWAC68ojGW
14619762_392315563000602625 x	Global Ad Spend: 1H Global Ad Spend Increases 2.8%, Led by Latin America and Asia Pacific http://t.co/1k6wYkuKrh
14619762_391938739981004800 x	Como no, a ver si nos ponemos de acuerdo para hablar pronto ?@rosele: @carlosdevega @DigitalHiram :) quedo a la espera?
14619762_391741617692217344 x	Felicidades a @lanacioncom por ser el primer sitio de habla no inglesa nominado al premio a la excelencia en Online Journalism Awards #ONA13
14619762_391649929124671488 x	RT @fcoel: @DigitalHiram Data Journalism, No Excuses! The presentation http://t.co/hfDG04QgUy <- Full of goodies #noexcusesdata #ONA13 Than?
14619762_391622837188177921 x	El video de #torresyreyes no se ve en eeuu y pedimos el iPad de @carlosdevega ?@farano: Con @digitalhiram buscando a @kareliavt por la tele"
14619762_391595299291951104 x	Argentina's La Nacion Data project: how to do data journalism in conditions where data are really hard to come by | with @fcoel
14619762_391593213225893888 x	From Argentina: La Nacion Data project -  outstanding efforts in data journalism. Now at Ballroom C #ONA13  with @fcoel
14619762_391324939837775872 x	RT @farano: @digitalhiram trying watchup for Glass #ONA13 http://t.co/U7apK08ctN
14619762_391317655673896960 x	Thanks! ?@elpasoanne: Great session with @webjournalist @charohenriquez and @digitalhiram; best Q and A so far at #ONA13 #latinoboom?
14619762_391317441592438784 x	Thnx ?@sngager: @charohenriquez @webjournalist @DigitalHiram Great information and insight. Thanks to the panelists. #ONA13 #latinoboom?
14619762_391317142932819968 x	@jretis sure thing. Type back!
14619762_391254875193221120 x	RT @charohenriquez: Speaking with @webjournalist and @DigitalHiram today at @onaconf. Our panel is Understanding the #latinoboom http://t.c?
14619762_391228674701541376 x	Thanks, Amy! #techtrends: Droned by @webbmedia: Hiram is awesome, by the way. He?s @DigitalHiram on Twitter. #ONA2013.?
14619762_391025942593691648 x	Advanced screening of The #FifthState #ONA13 http://t.co/Wt4eO1bFsS
14619762_390971603447578624 x	Welcoming my mentee @Helga_Salinas to #ONA13 #payingitforward http://t.co/kYHHj0TRBU
14619762_391023318448734208 x	Early Halloween? ?@sozaeta: @DigitalHiram and sporting #ClarkKent's hair in the process!?
14619762_390570856247988224 x	Here we are! ?@tfrontado: Trip to #ONA2013 starts well. Ran into @DigitalHiram at the gate (just like last year) :-)?
14619762_389024022970650625 x	descendientes de esclavos y de aquella chusma incivil de variad?sima cala?a q? en el nombre de Espa?a cedi? Col?n a Indias con adem?n gentil
14619762_389029656516898816 x	@ramirofv por cierto, reverencia, maestro, por fichar a Guill?n a pesar de que en Twitter no me cupo el cr?dito
14619762_389030890900578304 x	@ramirofv jaja igual sabias quien era y el contexto!
14619762_389029321975037952 x	@ramirofv creo que porque en el Sur hay otros dolientes. En el Caribe por lo general no va mucho lo de que tus abuelos mataron a los m?os
14619762_389028213126868992 x	RT @ramirofv: @DigitalHiram ?Por qu? ser? que en el caribe tipos como Guillen se acuerdan de los esclavos pero en Am?rica del sur no se los?
14619762_388367242863185920 x	looking fwd to @webbmedia's session in #ONA13 feeling it will be one of the coolest we've seen, ever. Also cool:our "50 Shades of Brown" pnl
14619762_388379015230148608 x	@filemobile @webbmedia                                                #10techtrends
14619762_388002387216306176 x	RT @webjournalist: .@charohenriquez @DigitalHiram & I have an #ONA13 session on Latinos. New title: 50 Shades of Brown: Toda su base es per?
14619762_388002276134359040 x	Thnx! @webjournalist wanted a risque photoshoot but that was too much :) ?@greglinch:  @charohenriquez Well done, @DigitalHiram. Well done.?
14619762_387962596982153216 x	Miley and Jimmy #killingit | Miley Cyrus And The Roots Do ?We Can?t Stop? A Capella http://t.co/ynaWYsdLf1
14619762_387351118562344960 x	TV making Twitter viable? maybe because we talk about it much more than anything else. It could have been gardening.. http://t.co/uaaZGRdlHd
14619762_387339914615861248 x	long add,couldn't believe my eyes or skip it: http://t.co/pRdpyKkvPJ--funny as, well.. as sh**t. Not SNL, seems real. http://t.co/yDbpDn9UeQ
14619762_387339249600577536 x	long add, couldn't believe my eyes or skip it: http://t.co/pRdpyKkvPJ--funny as, well.. funny as sh**it. Not SNL, seems for real. Look it up
14619762_386893824523792385 x	Si. Gram?tica, no deber?a ser f?sica nuclear.?@OrtografiaReal:?Haber?, en impersonal, no tiene plural.?Hubo muertos?, no ?hubieron muertos??
14619762_386890212531773440 x	Hope is all accurate | ?@LatinaLista: Space-Loving Twitter Users Cover for NASA During Shutdown? http://t.co/qwmK2T7Bhn?
14619762_386715551634313216 x	That's it, I'm adopting some phrases that cropped up on #AddaWordRuinaMovie
14619762_386714804360331264 x	Whoa Fern killed it in #AddaWordRuinaMovie ! ?@ButtercupD: Meet the Mother Fockers "
14619762_386712232999915521 x	RT @jimbradysp: Clear and Present Carlos Danger #AddaWordRuinaMovie
14619762_386522235374030848 x	@Helga_Salinas Hi, pls check your gmail
14619762_385944036743184384 x	The sentimental Soviet?Cuban community http://t.co/8t3vhIJ8io | fascinating view of @dpalpizar, one thread that connects our generation
14619762_385890575599169536 x	forget about twerking, oh Miley, Miley... (well some pics could as well be of Bieber LOL, NSFW anyway) http://t.co/G7WoQp7G2z
14619762_306908918448287744 x	I'm at @hoxtonmiami (Miami, FL) http://t.co/WAOrTxyPfm
14619762_385123491168931840 x	@ElianneGo 3059152344
14619762_385122883909222400 x	RT @webbmedia: My BFF @DigitalHiram is giving away an ONA registration and weekend mentoring. More here: https://t.co/SFU67lRw3J Please RT!
14619762_385082204822327296 x	RT @MaddJournalist: .@digitalhiram: blessed to have an @NAHJ-er with #digitalstucco donating their time and efforts to mentor young journal?
14619762_384714335748378624 x	@terischultz @nmsu thanks! #payingitforward
14619762_384497422837092352 x	Latino Journalism student/recent grad? NAHJ? Want to attend ONA13? I'm donating a conf. registration|http://t.co/tcoRr1NhXa #payingitforward
14619762_382909316308561920 x	Hmmm where is my magic wand? easier said than done... | New California Law Lets Teens Press 'Eraser Button' Online http://t.co/gpLWuAHCF3
14619762_382906468389117952 x	?@HeLoEnterprises: @enriquezh The line between content and advertising is being blurred. #hispz14? | and it doesn't have to be a bad thing
14619762_382905803986173952 x	?@AliKhoshnevis: Enjoying the talk from @enriquezh at #hizpz14 " | thanks!
14619762_382905657042948096 x	?@AndreaOcampo: @enriquezh Great presentation. #Hispz14 " | thanks!
14619762_382905158428295168 x	Gracias! ?@VmeTV: Escuchando a @enriquezh en @hispanicize event en #Miami hablando sobre el cambio en los medios http://t.co/wA3xcxM6xs?
14619762_382595548219326465 x	I guess you use what you have available... | Apple iPhone 5S owners are now using NIPPLES to unlock their phones http://t.co/cPJTtZZUsT
14619762_382305653349310464 x	BlackBerry Acquired for $4.7 Billion http://t.co/j68FGQbO0b via @mashable
14619762_381894496151035904 x	increasing opportunities, shutting down potential back doors|"On Internet, Brazil is beating US at its own game"@AJAM http://t.co/1OLMPpiZU5
14619762_378227019756367872 x	Good science! @webbmedia: Like chemistry? (Yep.) Like scotch? (Yep. Yep.) Read: http://t.co/iL0fwg0Hid cc @enriquezh @drwoolf @tiffanyshack?
14619762_376753655862792193 x	I'm at Ledra Marriott Hotel (?????, ??????) [pic]: http://t.co/8Z0EdJYyv8
14619762_376630012637888512 x	In transit (@ BA Galleries Club Lounge South - @british_airways) http://t.co/gd2RUBoq7F
14619762_376153941970804736 x	I'm at Le Provencal (Coral Gables, FL) http://t.co/561lFh3YtF
14619762_375853350610157569 x	crypto is a cat-and-mouse game but somebody's playing dirty: The NSA?s Secret Campaign to Undermine Internet Security http://t.co/uKF6Ivag7D
14619762_375745611363934208 x	Mira lo que arrastr? el gato!  bueno, el rat?n en este caso @ramirofv's new @RebelMouse site! :  http://t.co/k1gkpixx5B
14619762_375481182936248320 x	At last, Y-bang.  Yahoo's New Logo! | Yahoo! http://t.co/RENQzoVwp7
14619762_374754600147906560 x	Working the #digitalstucco, aren't we? - Man Buys Promoted Tweet to Complain About British Airways http://t.co/Dmp5W7B8ve via @mashable
