1472287398_384864004021035008 x	http://t.co/tUe9plfnA3
1472287398_395734356552974337 x	My "spooky" pumpkin photo.  Happy Halloween! http://t.co/jiY4h7XqgF
1472287398_393792579075989505 x	My Friday night football camera set up. http://t.co/ub6tRzxgmd
1472287398_387335404435030017 x	@sergeysus Very cool website
1472287398_385584068785500160 x	First dance http://t.co/xmnd6USMdL
1472287398_384863953655824384 x	Another weekend of football http://t.co/EoGgiCiSbq
1472287398_383026956884664320 x	Heather and Ryan http://t.co/Q4C8EdkE1O
1472287398_383026895068999680 x	Heather and Ryan http://t.co/S2PURRGxJj
1472287398_383026685769031680 x	Heather and Ryan's wedding shoot http://t.co/4BX0hoRdzc
1472287398_382983303420063744 x	saw this today, thought it was a little odd http://t.co/OulXW2K1Of
1472287398_382691636653719552 x	Clara & Stevens wedding shoot http://t.co/nDtbSZGuEc
1472287398_382576948658311168 x	@AnthonyCumia  Fast Times.
1472287398_375434176545054720 x	@TheGrantLife @cmaetaylor   halloween
1472287398_375380880828555265 x	The Doors Build me a woman: http://t.co/zfQHSkZXLg via @youtube
1472287398_374296656193130496 x	Shared from iStockphoto http://t.co/tmduOpsiyP
1472287398_374296576111284224 x	Shared from iStockphoto http://t.co/reL8oEsLQx
1472287398_374296465452982272 x	Shared from iStockphoto http://t.co/bzh3LLOg3G
1472287398_374296139626844160 x	Shared from iStockphoto http://t.co/mLVF9gOOKW
1472287398_374294180329054208 x	Shared from iStockphoto http://t.co/XmFgfHCl9D
1472287398_372345983952117761 x	Crappy parents of criminal kids should go to jail | Chicago's Real Law Blog http://t.co/r1Jn8NCVlQ
1472287398_372114842934452224 x	The Brian Jonestown Massacre Straight Up And Down: http://t.co/cC666T6M48 via @youtube
1472287398_371615503418028033 x	Photo ?Disney? by Mike Langish (@LangishMike) #500px http://t.co/zjWxbKCWjB
1472287398_370285022441263105 x	Night photography  Is That A Meteor In Your Photo%2C Or Is That Piece Of Space Junk Just Happy To See You%3F http://t.co/Q44Y2nt4ps
1472287398_369993398226145280 x	Photo ?Sunrise? by Mike Langish (@LangishMike) #500px http://t.co/6kGWUFa6WV
1472287398_369985595340107776 x	Summer!  http://t.co/C4Qw8gObcF
1472287398_369924912003022849 x	3 teens charged after Australian player slain http://t.co/VuNoycF2kx via @YahooNews
1472287398_369088965875228673 x	Ethier broken bat http://t.co/42mEJAWkEH
1472287398_369088222803935233 x	Best mascot ever! And it's not the cop. http://t.co/Jru0fFVVL8
1472287398_369087277802061824 x	Dodger Bobblehead http://t.co/z0aB9HxPy7
1472287398_368720781817020416 x	@PhotographicLBThank you Liz
1472287398_368543597785649153 x	Thinking about getting it.....  Canon EOS-1D X Digital SLR Camera (Body Only)5253B002 B&H Photo http://t.co/zrdk8CI79s via @bhphotovideo
1472287398_367819812497391617 x	Night Photography and Long exposure noise reduction http://t.co/vFpkLwBg7r
1472287398_366653735503540224 x	RT @LexarMemory: RT this post if you've used a #Lexar product today!
1472287398_366368991675031552 x	very cool @SunitaPhoto @sergeysus @Earth_Pics
1472287398_366368279964577792 x	Wildwood Lightning http://t.co/ybEgAlOgdx
