1475401304_395537711521890304 x	@Espngreeny remember....Kobe has 5 rings and has nothing to prove relative to his legacy.
1475401304_395364030845816832 x	#ManyRiversPBS authentic televison. Know your history.....proud to be a member of the church founded by #AbsalomJones
1475401304_394452410623856640 x	#Eagles have lost 9 straight at home, Giants have lost 8 straight on the road....this is a push....my Birds take this one with a late FG.
1475401304_394294158837694464 x	Ohio State is puttin on a clinic.....
1475401304_391899152416010240 x	Playoff atmosphere at the #Linc today! Gotta get it done @Eagles. #beatdallas
1475401304_390555653208821760 x	#PoundCake is one of the illest tracks on the @Drake album......production is tight.
1475401304_390546301924163584 x	Walking Dead is real!!!!! Lol  http://t.co/PGrbWHTs0m"
1475401304_388702751951454208 x	@DebLWarner look out world!!!
1475401304_387802316126306305 x	#Winning   92% of Smartphone Owners Use a Google App http://t.co/Gl3oivMiLG"
1475401304_387394266122969088 x	@Ike58Reese It's a Temple U night!
1475401304_386956360690442240 x	"We always compete at every position".....Chip just flamed the controversy fire. #EaglesTalk
1475401304_386906085522935808 x	Swiss cheese secondary coverage......Birds need to tighten up....#Eagles
1475401304_386891428968034304 x	#JonzeJr had him on the angle.....kid got some #ballhawk skills. Learning the basics before we get the? http://t.co/2qzVZfHwjh
1475401304_386863387474677760 x	Tried to sneak into the #mancave and catch the pregame....but someone found me! @ Jones Manor http://t.co/XVvQCwaGGd
1475401304_386828835653943296 x	#Eagles must go undefeated in October......need to get this season back on track! #FlyEaglesFly
1475401304_386818179001237504 x	#TheDoctor #Poster #AingeKnewBetter #SixersCeltics http://t.co/QCrt9f4sDl
1475401304_386691025106124800 x	One step closer to #vegan   "@HuffingtonPost: What's actually in chicken nuggets http://t.co/RM5z0duPz0"
1475401304_386660212721332225 x	@Vanimal_the2nd Six indeed!
1475401304_386655679223967744 x	@Vanimal_the2nd fuel for the motivated
1475401304_386578957325570048 x	Caught up in the #Duomo #Firenze http://t.co/Je2acsYav0
1475401304_386578371452604417 x	Kids run the bases...Dev made the cover! #phillies #citizensbankpark #TeamJonze http://t.co/Pps1LnUrhH
1475401304_386570630638084096 x	Nasty grab....#sick   "@CollegeGameDay: Kenny Bell, this is not fair --> http://t.co/URHpqUDd2t"
1475401304_386569960153427968 x	Makes sense to me....."@BarackObama: "Pass a budget. End this government shutdown. Pay our bills. Prevent an economic shutdown."
1475401304_386548941040676864 x	@superboom well done! #PIRHOMANIACS
1475401304_386548336314314752 x	RT @superboom: ?@VibeMagazine: Interview: Director Benny Boom (@superboom) discusses the evolution of rap videos http://t.co/QYWSaIvAmD? @h?
1475401304_386509604886446080 x	@TomBanas128 right on!
1475401304_386502260496535552 x	#gametime #breastcancerawareness #lowerperklonghorns #stiffarm is still a work in progress @ Jones Manor http://t.co/FctPQtwRp4
1475401304_386497024839139328 x	RT @HuffingtonPost: Lauryn Hill released "Consumerism" on the eve of her release from prison http://t.co/VkPFF63Lv7
1475401304_386465582448922625 x	Kids having way too much fun on my lounge chair! #teamJonze #partyOf5 #phillies gear http://t.co/XoU7FqaNXG
1475401304_386464056691142656 x	"@6abc: 2 shot waiting for Air Jordan sneakers in Wilmington http://t.co/LF7yv3ECJY" unbelievable......we must do better.
1475401304_386459909191397376 x	Remnants of the fight party.....@JohnnieWalkerUS @HennessyUS @BarbancourtUSA @Ciroc http://t.co/PpzYFpdQBH
1475401304_386456603576520704 x	RT @washingtonexec: Kelly Jones, VP of Human Capital Solutions at @thesiorg on People Strategies and Human Capital Processes http://t.co/AH?
1475401304_386454527513460736 x	Shout out to Robin and @TrunkClub for the wardrobe ensemble....#anniversarydinner @delfriscos http://t.co/v38CMTiz9X
1475401304_379679504551014400 x	@washingtonexec @thesiorg thanks for the opportunity to profile our great company!
1475401304_361297149083910144 x	@straightshine .....heavy is the head that wears the crown.
1475401304_360188894265884672 x	@garciagyrl ms. garcia!!! What up. You still working for Black Enterprise???
1475401304_360184778621861889 x	@nativenotes all time classic.....still on heavy rotation.
1475401304_343107934533849088 x	@MikeMiss975 here's the deal....someone's sense of urgency is directly correlated to what's in their bank account
1475401304_343099016403374080 x	@garciagyrl what it is?!?!? Had to shut down the twitter for a minute.....but I'm back in.
1475401304_340916333141176321 x	http://t.co/bqvf4weuk3
1475401304_340911929876942848 x	@briantong I've been checkin the prizefight between iphone5 and galaxys4....I think I'm gonna trade outta the 5 and go HTC.
1475401304_340907673782456321 x	Had to check out for a minute.....but I'm back at it twitters.....
