14787713_173810399983054848 x	Who is your favorite to win The Daytona 500? Watch live coverage coming up at Noon on FOX 29.
14787713_389861616587526145 x	Hunter found in California forest ate squirrels. http://t.co/6Bj6UGlAc5
14787713_391753856251465728 x	JUST IN: Drake concert that was cancelled tonight at Wells Fargo Center rescheduled for December 18th.
14787713_371312627109990400 x	Rev. Al Sharpton...keynote speaker. #livethedream http://t.co/hHu4HDwKU2
14787713_369989429475045376 x	RT @DKinchenFOX29 Suspect is dead. No injuries to police.
14787713_374350589129281536 x	PROTECTED
14787713_282157632595316736 x	NRA Officials: The only thing that stops a bad guy with a gun is a good guy with a gun. #SandyHook
14787713_396265536155160576 x	Mom Starts School For Kids With Autism: In New Jersey, one in every 29 boys has autism. When one mom with two ... http://t.co/9FYtp7WYBa
14787713_395903433485475841 x	RT @jodi_harris This has to be the cutest costume ever. 14m/o avery came to @FOX29philly Halloween party http://t.co/uJUfqQB7KU
14787713_383399991676387329 x	Ku Klux Klan granted a permit to hold an event at Gettysburg National Military Park. What's your reaction to that?
14787713_398279064345001984 x	MT @KBarrettFox29 Tonight, my journey w/ miscarriage. I hope if you are going thru this, you know you are not alone http://t.co/iFhVp4hKFx
14787713_388482062392365057 x	MT @KBarrettFox29 A business owner in Plymouth Meeting is tied up and robbed- and it's all on video. Details in10 mins on @FOX29philly at 10
14787713_387167462824755202 x	2nd Week Of Gov't Shutdown, No End In Sight: The government shutdown entered its second week with no end in sight. http://t.co/AFlFmRJ7fY
14787713_381895013853978624 x	President Obama tells Navy Yard memorial `we can't accept this,' says nation must address gun violence. http://t.co/hjfbQ5jjrH
14787713_331090003620941825 x	PennDOT: I-95 Exit 17 both directions REOPENED at Broad Street.
14787713_399228108575739904 x	138 people confirmed dead - but estimated death toll 1,000. http://t.co/nb3gelE0V2
14787713_395599110801068032 x	Watch live stream of Allen Iverson news conference at 1:30pm. http://t.co/immHSnVaXy
14787713_391313394218704896 x	Police say shooting on 2300 block of Mulberry Lane in Lafayette Hill involved teens playing with guns. 15 year old got graze wound to head.
14787713_308974047197274112 x	RAW VIDEO: A woman allegedly operating her second stolen police cruiser strikes a pedestrian in Philadelphia. http://t.co/RSIble15uT
14787713_392677087540035584 x	#BREAKING: Horrible Accident in Philadelphia this morning. Female Struck by a School Bus in the Mayfair. http://t.co/QOZytjNDaB
14787713_389837769100767232 x	RT @KeeleyFox29 Macy's joins Walmart, Target, Sears Kmart, Gap and others who've been open on Thanksgiving.
14787713_376184464444907520 x	WATCH LIVE VIDEO @ 11:27 P.M.: NASA launching LADEE robotic mission to the moon from Virginia's eastern shore. http://t.co/3lr6yGzIk4
