151288744_393109067671285760 x	@Cassassieee @Gemelanumerouno ??? both
151288744_395037386964729856 x	I'm getting sick ??????
151288744_394898556693528576 x	@Gemelanumerouno @KarisGret where are you guys
151288744_394898893781364736 x	@KarisGret @Gemelanumerouno ohh
151288744_394657973911683072 x	RT @Livyyy_16: If only I could tweet what exactly is on my mind
151288744_394636914474897408 x	A little late but I cut all my hair off http://t.co/mb7yDVmuHB
151288744_394634914706239488 x	Glenn can't die. I will not accept it.
151288744_394136430660030464 x	Why is it so cold for homecoming? #footballseason
151288744_393204204506198016 x	RT @Pauleena_: Incest alert ?
151288744_393204129331679232 x	RT @ElaynaaaP: UHM WHAT JUST HAPPENED
151288744_393204104593694720 x	RT @morgan_santoro: WHAT THE FUCK she is hooking up with her fucking son ??
151288744_393103046747897856 x	@Gemelanumerouno and I know that @Cassassieee clothes are really comfy ?
151288744_393113097017520128 x	@Cassassieee @Gemelanumerouno I'd like to see you try and take both of us.
151288744_393112620339040256 x	RT @Gemelanumerouno: @Cassassieee @Tay_Wolfff too late
151288744_393101325317447680 x	@Gemelanumerouno and I are currently dying over the daily struggles @Cassassieee has.
151288744_393055737670537216 x	Why has it been that recently I have been becoming so nauseated.
151288744_393055314930851840 x	@Zteve_jr123 if only you knew...
151288744_393054903696105472 x	Stop..just stop.
151288744_392692239576866816 x	I am so cold ?
151288744_392685543240523776 x	@meesshxo good luck!!
151288744_392684915030245376 x	@meesshxo I still have another class, work, and another class ???
151288744_392683101530628096 x	@meesshxo I still have no ability to pay attention to him.
151288744_392680132575784960 x	This professor has a dirty mouth today ??
151288744_392487969862721536 x	@BGallagher22 I shall never lie
151288744_392485632297414656 x	@BGallagher22 cause I DON'T like you!!!
151288744_391606596318822400 x	I love that feeling I get when I actually realize I have more ability than I originally thought.
151288744_391252994328895488 x	Best thing about going to the doctors, they have free wifi ?
151288744_391051573864198144 x	FINISHED!
151288744_391027484231483393 x	I'm not sure I understand what I just wrote.
151288744_391024399132160000 x	I will finish this paper, I will.
151288744_391024175026294785 x	I just saw a Christmas commercial ????
151288744_390887144941961217 x	I should have skipped.
151288744_390874069346029569 x	I would be wonderful if my English professor canceled class today. #wishfulthinking
151288744_390872112313159680 x	RT @Tamor_11: You cant spread yourself thin to make everyone happy start by putting a smile on your face 1st ........
151288744_390871950870183936 x	RT @ThatsLaughing: Don't promise when you're happy,  don't reply when you're angry,  and don't decide when you're sad.
151288744_390861273807990784 x	There's like five people in this class, there should be an automatic cancelation.
151288744_390853774895755264 x	?@eonline: Ryan Murphy: Glee Ending After Next Season, Series Finale Will "Honor" Cory Monteith http://t.co/LenHsNXWwi? @alinebattles ??????
151288744_390667777180459008 x	RT @morgan_santoro: She kissed a dead body..
151288744_390157953862750208 x	This professor is hardcore yelling at this girl for missing her conference for her rough draft.
151288744_390139659550199808 x	RT @HeatherxCollazo: no one understands my hatred for Tuesdays ?
151288744_390136519543230465 x	This boy has the nicest smile ??
151288744_390128302377422849 x	http://t.co/Q9JYibVTCN @Logan__Wolf
151288744_390125987981434880 x	I physically cannot sit in this class today.
151288744_390122880392253440 x	?@eonline Supernatural Boss Talks "Bonkers" Ratings, Sam and Dean's Relationship & a "Hunted" Castiel http://t.co/3y5mHKWG7E? @alinebattles
151288744_390118820914139136 x	?@eonline: Caroline Manzo Reveals Why She Quit Real Housewives of New Jersey http://t.co/rOWO34w6Nr? @Cassassieee
151288744_389885302489509888 x	RT @KarisGret: So happy I get the night off from philosophy. ? @MaryMarcinczyk @BGallagher22 @Cassassieee @Tay_Wolfff
151288744_389875089518632961 x	Finally got to watch the season finale of @TrueBloodHBO and all I can say is @joemanganiello ???
151288744_389755134945005568 x	My head is going to explode ?
151288744_389581806775062528 x	@Gemelanumerouno you're such a creep ?
151288744_389507933501136896 x	RT @KarisGret: Wish that I could stay forever this young.? @cassassieee @marymarcinczyk @tay_wolfff @bgallagher22? http://t.co/q2DNNZIRTM
151288744_389500525919887361 x	RT @KarisGret: Awesome weekend with my girls ?
151288744_389431070732869633 x	One day I will get all my homework done during the week so I don't have to do it on a Sunday. #determined
151288744_389171866566684673 x	RT @KarisGret: Taco night in the Gretkowski household ?
151288744_389149669202624512 x	RT @Alyssa_Brooks: The Jonas Brothers aren't touring cause they're in the year 3000
151288744_389110798351884288 x	RT @KarisGret: @Tay_Wolfff yeah... About that ?
151288744_389107635259473922 x	What the hell did @KarisGret bring us to? ???
151288744_389110386278273024 x	@KarisGret I guess that's better than being from the land of the ratchets  ?
151288744_389085992596287488 x	RT @KarisGret: Twp homecoming game ???@MaryMarcinczyk @Tay_Wolfff @Cassassieee @Gemelanumerouno @BGallagher22
151288744_389060699311579136 x	RT @TrevDon: Try to spend time with people who bring out the BEST in you not the stressed in you?
151288744_388884947098165248 x	When my cousin snapchats me drunk ??
151288744_388847494660390912 x	RT @KarisGret: Bro bro and my girls ??? @tay_wolfff @derek_gret @cassassieee @bgallagher22 @marymarcinczyk? http://t.co/ECL1o7oYf4
151288744_388825695822299136 x	This night has been great already #myfriendsarethebest
151288744_388524173955719168 x	RT @alinebattles: That episode of Glee tore me apart, limb by limb.
151288744_388523704625680384 x	RT @KarisGret: Such a good night ?
151288744_388480080055664640 x	They should have made this a noncommercial episode.
151288744_388475551222337536 x	RT @tayyllloor: The saddest part of this episode is knowing that these emotions are real.
151288744_388468174137872384 x	@Gemelanumerouno you know it ???
151288744_388468092210540545 x	RT @Gemelanumerouno: @Tay_Wolfff got dem tissues READY!!! ???
151288744_388466742487683073 x	Oookkkaaaayyyyy...
151288744_388459322323525632 x	@Logan__Wolf he's a cutie!!
151288744_388412682392850432 x	Thanks @Gemelanumerouno ?? http://t.co/zY7BGZwrZP
151288744_388414600401940480 x	@KarisGret thanks Rissy ??
151288744_388386115558064128 x	RT @KarisGret: Loving my braid ? @Tay_Wolfff http://t.co/Iw2HI0YI4s
151288744_388373576552038400 x	I can't wait for first snowfall on campus ????
151288744_388372986090516480 x	The rain looks like snow. ????
151288744_388350565585260544 x	I just sent a text message to @KarisGret that I know she isn't gonna understand.
151288744_388133974541078528 x	RT @morgan_santoro: Wtf is happening on this show
151288744_388123657194967040 x	I'm not a fan of scary stuff, why did I agree to watch American Horror Story. #idontknow
151288744_388123431864385536 x	RT @Rachel_Faduken: Yeah...idk about this AHS.
151288744_388118602291085312 x	@Logan__Wolf aww thanks Logie ??
151288744_388107805859000320 x	@Logan__Wolf this is the stuff that kills http://t.co/vbO7vUOkIV
151288744_388107217150685184 x	@Logan__Wolf one of my classes. It's literally killing me.
151288744_388106285205696512 x	Slowly dying over stat ???
151288744_388054729286483968 x	RT @KarisGret: Gawd my appetite is ruined. To much PDA. ??
