15583948_376800004792258560 x	#quadbox #nflredzone http://t.co/DRtKsOY3uO
15583948_289373302672220161 x	RT @wbpictures: Hey girl. http://t.co/Lu79NO6m @RyanGosling #GangsterSquad #Friday RT if you're in.
15583948_396455257687220224 x	RT @peoplemag: If you did a shot every time Claire Danes cries during Homeland?well, you'd be dead by the credits, probably.
15583948_396268479503798272 x	Stepping over Lue & ranting about practice will always hold a special place in my heart... #iverson #csnmemories http://t.co/ZUw4JDbBrZ
15583948_396257533381582848 x	Apparently Nov 1 I'm all in for #sma season @withlovemai @caralynnshultz @estherchenpr @loribernstein @robynsennet http://t.co/jqYbCHPpy9
15583948_395707095045382144 x	@niksterr This. Is. Brilliant. ?@Niksterr: Thanks for the Halloween outfit inspiration @lanfordbeard http://t.co/zNq43R9bv2?
15583948_394905320692015105 x	Suddenly it's cool to tell people you're in the marching band... http://t.co/ZzyJOCwOrg via @PeopleMag
15583948_392697166952550400 x	Reason number 857 why I love working with @EW, their snarky reaction to Kimye.   http://t.co/nkhPSdskZ9
15583948_390825056315510784 x	This boy sounds amazing.... Orphan Davion Only, 15, goes to church and asks someone to adopt him http://t.co/lMKc1fwCdz via @DailyMailUS
15583948_388702010691686400 x	Who knew Walter White and I had so much in common... #phightins http://t.co/aXPET5NhTu
15583948_385927557155389440 x	RT @caralynnshultz: Amazing (and very spoilery!!) gifs of the first and last appearances of every Breaking Bad character. http://t.co/Owgfs?
15583948_384483165848748032 x	Don't remember the last time I watched primetime TV live, sporting events excluded. #GoodbyeBreakingBad
15583948_384477492612190208 x	RT @jimcramer: I miss Andy Reid. There, i said it. Go #Chiefs
15583948_384476966457704448 x	RT @EW: 'Breaking Bad': Jesse's best bitches... bitch -- VIDEO  http://t.co/ySsoCML1ca
15583948_384045873308520451 x	Claire Danes's Best Cries in 60 Seconds! http://t.co/JXFYWbiyaN
15583948_382347762685468672 x	Manhattan was never this loud @caralynnshultz ?@NYScanner: Queens: floater in water NYPD & FDNY on scene for body recovery.? #lic #eastriver
15583948_381958135155421184 x	RT @peoplemag: While Don Cheadle is talking, everyone else is Tweeting that Cranson and Paul were robbed. #Emmys
15583948_381800934764208128 x	Who doesn't love @andilavs ??@andilavs: Thank you so much! @AmyElizabeth529: @andilavs basically the best role model http://t.co/oP0yaEVmge?
15583948_379798245095899136 x	Hey @Peoplemag @greatideas 6 Apps You Don't Want to Miss ;) http://t.co/8Ej3VbOx9N via @mashable
15583948_379755072668065792 x	And single handedly sink my fantasy wk ?@greatideas: Packers QB @AaronRodgers12 can throw a football AND cook?! http://t.co/E83qaAjryT?
15583948_379256191081541632 x	Ditka take off those glasses you're not @russwest44
15583948_379079951146045440 x	RT @ChaseMit: America's national mascot should just be a drunk white girl typing on a shattered iPhone.
15583948_377830453207924736 x	Amen, Kay. "Social is not an objective. It's the best way to reach your objective" - @KayMadati - FB head of Entertainment and Media
15583948_377594005691064320 x	I second that @StyleWatchMag @andilavs http://t.co/jwzV5P79K4
15583948_377256728137846784 x	RT @dryan32: The Eagles have gone from super stale to possibly the most exciting team in the league, in short order...#FearTheVisor
15583948_377256054372839424 x	Introducing PEOPLE's Celeb Food App and Our Great Ideas Channel http://t.co/twDX4fb3Lb
15583948_375239468992561152 x	Now THAT's a freemium model.... Candy Crush Makes $850,000 Per Day!  http://t.co/CrM1Zu1OLw via @eonline
