1563166736_399648475442196480 x	@Dee_3K since CPT days, his teams usually win on his bday, LEGO!!!
1563166736_399648229886676992 x	RT @Dee_3K: And it's gonna be my dad's bday! Can y'all do it for Ted!?
1563166736_399426120702902273 x	RT @chrisnguyen1992: Just like Stanford and the Andrew Luck Director of Offense, UCLA has created a new role on staff: the Myles Jack Maste?
1563166736_399219054483087360 x	Dan the Man!!  I cannot be more proud of my brother!  Definitely worked hard to earn this one.  And....the season... http://t.co/hp6zQ8Glm8
1563166736_399217048783712256 x	God is good!!!!!!!!!!  Congratulations, Dan!!  We are so proud of you!! http://t.co/afQrgORSPa
1563166736_399211197842481152 x	@Dee_3K @HallieJ72 My bro, 1st qb in his school's history to top 2,000 passing. I taught him well, lol.  http://t.co/VSAsANQ8xw
1563166736_398460815985999873 x	@KingYeez L.A. City Sports http://t.co/a4259JAF9Z
1563166736_396652820575035392 x	RT @Eagles: #Eagles are in the air and headed for #PHIvsOAK. RT for your chance to take flight with a $250 @USAirways giftcard. #FlyWithUS
1563166736_396426424002678786 x	@HallieJ72 follow @LAX_Official
1563166736_395574849319354368 x	@KingYeez http://t.co/eAQKgofoUZ
1563166736_395572817149714432 x	@Quel_TheHomieee U aint suppose to be at Jacks
1563166736_395574548810063875 x	@Quel_TheHomieee @KingYeez I see plenty updowns in y'alls future. get y'alls heads back in class.
1563166736_395573128685838336 x	@Quel_TheHomieee smh
1563166736_393974939985788929 x	@KingYeez @Quel_TheHomieee 200 yds of bear crawls and 4 hun of side rolls!
1563166736_393966787093483521 x	@KingYeez @Quel_TheHomieee keep y'all head in the game
1563166736_393967767965032450 x	@Quel_TheHomieee @KingYeez hundred up downs Monday
1563166736_392146896892227584 x	RT @HallieJ72: Didn't get the win today but had a great time goofing off with my brothers, @da_will_to_win and? http://t.co/raYwvjHr35
1563166736_392022813990608896 x	Matt Barkley- foe realz?! I have been reduce to rooting for this dude?! A Trojan?!  Fuk dis shyt!!
1563166736_391970452320423937 x	Don't like eating before dad's games but i can't pass up the spread they got here
1563166736_391962746012827648 x	Popz n his boys in pregame
1563166736_391960728015745024 x	RT @Dee_3K: Love my dad. Greatest man I know #EaglesNation http://t.co/3OvauHfw6B
1563166736_391939389049556992 x	RT @Dee_3K: "ESPN is now reporting that the Cowboys games will be shown on the history channel due to the fans always bringing up the past"?
1563166736_391353670149111808 x	Ain't in Cali no more. Its cold as shit
1563166736_391182894078885888 x	@Quel_TheHomieee @KingYeez how did u get the cop in the pic
1563166736_391268318658584576 x	@Quel_TheHomieee @KingYeez lol. how come your favorite coach (coach bobby) not in the pic
1563166736_391328761381400576 x	@KingYeez @Quel_TheHomieee Haha. Y'all better ball out tonight
1563166736_387467527787249664 x	RT @HallieJ72: I........HATE........the Dodgers!!  Correction, their fair weather and super fickle fans.  They RUN ME LOW!!!!!!
1563166736_387011252016254977 x	RT @Dee_3K: My dad came home with a smile on his face. That's all that matters today
1563166736_387011110194274304 x	RT @FunnyPicsDepot: Hey Dallas Fans what's for dinner? http://t.co/cdDJoBI4HA
1563166736_384074289151897600 x	RT @Eagles: The @Eagles are in the air for #PHIvsDEN. RT for your chance to take flight with a $250 @USAirways voucher. #FlyWithUS
1563166736_377609489492361216 x	RT @guccil0l7: falcons gonna win da super bowl. if they dont, i'll send send erryone who retweets dis tweet 20$ at the end of da season ON ?
1563166736_374529971055648768 x	RT @MikeVick: Lovin the new @EamaddenNFL ! RT to win the VIP kit ASAP! #RunFree http://t.co/PBQFkV9JPB
1563166736_372533823310807040 x	RT @Eagles: Spread those wings. #EaglesCamp13 http://t.co/0Rn9pyxcTt
1563166736_370772730368376832 x	@HallieJ72 Somebody gon b sore in da morn
1563166736_363487290623922176 x	@Da_Will_To_Win STAY YO BUTT AT HOME
1563166736_358650981875064832 x	@Da_Will_To_Win Lol. Thats what we said about u and your bro's friends
1563166736_357009505273380865 x	@HallieJ72 y'all go to bed. Pronto
1563166736_357019259588722690 x	@HallieJ72 Don't wake my parents up with your snigglin and gigglin
