1573145928_381936809556860928 x	RT @KhandymanSports: RG oh and III
1573145928_396320649352069120 x	@JWise39 because it really took him admitting that to know he plans on entering this years draft...
1573145928_395925332584181760 x	Happy Anniversary to the best speech ever given! http://t.co/94NAIRC5qX #Phillies #2008phillies #2008WorldSeries
1573145928_395893962059558913 x	I'll never forget the craziest party I ever attended, that is the celebration that hit Broad St 5 years ago today #2008phillies #parade
1573145928_395727956070264832 x	https://t.co/EcJnUDoTcr #Sixers #Pelicans #lol #haha #embarrassing
1573145928_395724988742774784 x	lets be real, what really matters is that we get free big macs tomorrow... #Sixers
1573145928_395724530326315008 x	RT @TheTeddyBailey: STORM THE COURT
1573145928_395724322712473601 x	MCW is da man! #Sixers
1573145928_395724051886264320 x	well, the #sixers aren't going winless...
1573145928_395693832697683968 x	#Sixers are going to the Finals, case closed
1573145928_395682345702801409 x	5 years ago today I waited in Modells for 2 hours to get my #Phillies world Series gear, it may have been long, but it was SO worth it
1573145928_395520768400175104 x	RT @LewSimonson: it's hump day
1573145928_395309643678769153 x	http://t.co/umintokq4F Can't believe one of the greatest days ever was already 5 years ago #Phillies #2008phillies #momentsyoullneverforget
1573145928_395296619320467456 x	http://t.co/a1wrGB733D Is this the #Sixers talking?
1573145928_394562053991837696 x	Thank you lions for that amazing comeback over the Cowgirls, the #Eagles may be bad, but the NFC East will remain close! #DETvsDAL
1573145928_394501479748599808 x	http://t.co/zxm078Vjbe #Eagles #NYGvsPHI
1573145928_394451742035038208 x	RT @MikeVick: Let's turn this season around!
1573145928_394216072947044352 x	@FightinForPHI did it really jail become official today? Lol
1573145928_393903685623103488 x	RT @PHISportsPhans: @PHLsprts_Wilson @NQS88 Agreed. If he makes the key plays in the game to help win then he clearly didn't play that bad ?
1573145928_393896894298357760 x	@NQS88 @PHISportsPhans in that case I wanna see a win
1573145928_393897868849065984 x	@PHISportsPhans @NQS88 but obviously in some circumstances like this, I suppose it's unavoidable
1573145928_393903339312017408 x	@PHISportsPhans @NQS88 like stop complaining, he played well enough to win he game, so be happy
1573145928_393903679704952832 x	@PHISportsPhans @NQS88 exactly
1573145928_393903262006788096 x	@PHISportsPhans @NQS88 I just hate the people who are skeptical of his play after an okay game but yet he still lead them to a win
1573145928_393903156876562432 x	@PHISportsPhans @NQS88 yeah, i guess I feel pretty much like you do
1573145928_393897742734721024 x	@PHISportsPhans @NQS88 idk I guess what in trying to say is that I try not to get caught up with personal performs while watching the game
1573145928_393897552959258624 x	@PHISportsPhans @NQS88 well this is true...
1573145928_393897027685584896 x	@NQS88 @PHISportsPhans well then in that Barkley case I would care cuz they'd lose
1573145928_393896838245675008 x	@NQS88 @PHISportsPhans in the long scheme of things of course I would care about Vick, but as far as I'm concerned while watching the game
1573145928_393896574365220864 x	@NQS88 @PHISportsPhans I guess my optimistic answer would be "enough to beat the giants" #Eagles #eaglestalk #FlyEaglesFly #NYGvsPHI
1573145928_393896253031211008 x	@NQS88 @PHISportsPhans don't really care about stats, winning the game is all I care about @RedskinGlen a Giants loss would also work for me
1573145928_393849322607214593 x	RT @ESPNNFL: The Eagles have lost a franchise-record 9 straight home games. Their last home win was against the Giants in Week 4 last seaso?
1573145928_393849313715290112 x	@ESPNNFL why not end it with the same team? #Eagles #EaglesTalk #FlyEaglesFly #PhivsNYG
1573145928_393793807135031296 x	RT @MKH973: @PHLsprts_Wilson @JonandSeanShow but you've seen it work. that's all Chip needed to bide time. not forever. but "til he gets hi?
1573145928_393793662527995904 x	RT @MKH973: @PHLsprts_Wilson @JonandSeanShow fans LOVE to chase ghosts. why do you think Vick's so popular? those 30 mins maybe worth 2 yrs.
1573145928_393788165821325312 x	@MKH973 @JonandSeanShow its amazing how true this could  turn out to be, staying optimistic though #Eagles #Eaglestalk #Flyeaglesfly
1573145928_393786200500490240 x	RT @PHLEaglesNation: QB Michael Vick is listed as probable to play Sunday vs NY #Giants after practicing today
1573145928_392812105449357312 x	RT @_Philly_Talk: ?@SportsCenter: Texas high school football coach accused of bullying after 91-0 win. ? http://t.co/H0DkK9dKmE? You have g?
1573145928_392450502870700033 x	http://t.co/a5Uf1qxXvh #NFL
1573145928_391910113055113216 x	RT @PHLEaglesNation: #BeatTheCowgirls
1573145928_391658513014857728 x	RT @PHLEaglesNation: Dallas Cowboys fans are like that 40-year old guy who shows up to high school parties still wearing his state champion?
1573145928_391334367076696064 x	http://t.co/RSg7A7GJyJ #NFL
1573145928_391309985642459136 x	RT @BroadStBull: #Flyers have one more October win than #Phillies, whose season ended in Sept.
1573145928_391030616613195776 x	@JeffSkversky it took the #flyers goalie to come up with that in-depth analysis?
1573145928_390548945271029760 x	RT @therealmikekb: Vegas sets the Sixers over/under win total at 17 for the season. They're the only team projected to win less than 20: ht?
1573145928_390183219406315520 x	No decision for Chip Kelly, Foles to start cuz Vick is still gonna be hurt another week #DALvsPHI #Eagles #EaglesTalk #FlyEaglesFly
1573145928_390182618672930816 x	RT @Jeff_McLane: Apparently, Vick sidestepped question about losing his job bc of injury, but at his locker said, "Oh, it's happened before?
1573145928_389915198645342208 x	@jaysonst and where a hitter hits does matter for those who are saying it doesn't, changes the amount of AB's he gets, where he come up, etc
1573145928_389914901831254016 x	@jaysonst I don't get managers who do this, I know this probably isn't a huge one but why change things you did all season in October?
1573145928_389886828104658944 x	http://t.co/lqrYXn2x1U #MLB #MLBTalk #MLBTrades
1573145928_389885712604348416 x	http://t.co/BrAvPu2gCa #Eagles #Eaglestalk #PhivsTB #Flyeaglesfly
1573145928_389868261430792192 x	RT @BroadStBeat: Glad to see you're all still here after my soccer tweet.
1573145928_389579013758668800 x	RT @Eagles: Thank you Tampadelphia. #FlyEaglesFly http://t.co/mRsj8q7DqC
1573145928_389579006905180161 x	@Eagles great to see the fan support!
