1587576751_392781919232204800 x	@Tylerr_Kimble pussy
1587576751_392805465614454784 x	RT @SpongebobMemory: http://t.co/RKTXqylfQ4
1587576751_392782023427104768 x	Joke right? http://t.co/2EaIuQNevi
1587576751_396100725509746688 x	RT @dellly_bean: keep thinking tomorrows saturday ...
1587576751_396095593577451520 x	I just saw the funniest thing ever???
1587576751_396095308117336064 x	RT @miabelle99: I kept thinking today was friday and I was so ready to sleep in tomorrow but noo
1587576751_396017912018108416 x	#tbt M dogs class #seancannon http://t.co/7pGVduFnGp
1587576751_395739643196735488 x	Gonna kill myself if I have the same dream again ??
1587576751_395735457863979008 x	Go crazy nigga go crazy http://t.co/5fmWnDJUA8
1587576751_395732420051607553 x	Anyone else watching the Red Sox
1587576751_393941523857145857 x	@Beth_Egan6 @eStElLe_BaRnEs @oliviagarrisonn ya maybe or she just hates me?
1587576751_395730964221272064 x	RT @LebrunJemzPls: Bosh: Lebrun am opin, pas me teh bal  Me: fuk u fagit go bak 2 teh land b4 tiem.  Bosh: Lebrun pls...  RT if u cr'id
1587576751_395727220704280576 x	Alright red soxs #GetErDone
1587576751_395724066331852801 x	Damn
1587576751_395722937271345152 x	#bosh.0
1587576751_395722290404786176 x	RT @JustinDiscepola: Come on so close they gotta finish it
1587576751_395721696336166913 x	RT @mcorbs21: Only if he could nail both foul shots..watch ray allen hit a 3
1587576751_395721400709046272 x	@JustinDiscepola did you pick him up in fantasy
1587576751_395721572620976128 x	@JustinDiscepola he looks like drake as a 7th grader
1587576751_395720872918794241 x	Spence haws ???
1587576751_395715854760824832 x	wtf happened to this http://t.co/JnvI8kt1nq
1587576751_395714668595265536 x	Ray Ray pop a tre tre ?? he's fucking wet
1587576751_395697388620611584 x	Was this rashard Lewis always so small and shot  3's? Wasn't he a power forward
1587576751_395696865523798016 x	RT @Joe_Carter6: DO NOT STOP RETWEETING THIS!!!? http://t.co/PikiokmlCU
1587576751_395696460014317569 x	The sixers suck there blowing it #BigNig http://t.co/HpdLP9LYUd
1587576751_395696294922293248 x	RT @Hitler_Edits: http://t.co/yyXATPpDUp
1587576751_395696090668105728 x	Nice fucking shot cock head give him the foul
1587576751_395695330223980545 x	Hey Norris cole fuck you
1587576751_395694914329378816 x	I fucking love these commercials ik what fucking car I'm gonna buy fuck ya #BirdmanDylanAnderson #FuckLebronThatPussy #JustShitOnBen
1587576751_395693993771945984 x	RT @notAndrewiggins: Miami Heat down to Philadelphia 76ers 23-2. Looks like I'll have to take my talents down to south beach.
1587576751_395692998807547904 x	Here comes #birdman
1587576751_395692905274548224 x	@JustinDiscepola what if fucking even turners voice changes after the game and he sounds normal
1587576751_395692474838315008 x	RT @Sixers: LeBron James hits the layup to stop a 19-0 #Sixers run. Philly leads 19-2 w/ 6:56 left in Q1. #TogetherWeBuild
1587576751_395692377589178368 x	Fuck you lebron
1587576751_395691923757101056 x	RT @JustinDiscepola: I dont believe my eyes
1587576751_395691768215519232 x	Dude wtf
1587576751_395690816024625152 x	@MiamiHEAT yo wtf are you guys doing
1587576751_395688349387988992 x	RT @Hitler_Edits: http://t.co/13sjMuNnfb
1587576751_395628946097979392 x	@tkeenan99 what times your game
1587576751_395634588447698946 x	@VTorpey @tkeenan99 thanks nigga
1587576751_395633329518940160 x	Fuck me I always Do that by accident
1587576751_395629026121101312 x	RT @SneakHeat: here's another look at the Miami Heat Ray Allen PE 11's (XI) that he wore for last night's game! http://t.co/bEOCFJnWgK
1587576751_395622090792910848 x	Who wants to fuck shit up tonight with me and this guy http://t.co/mMIhx2PDZb
1587576751_395609276523102208 x	RT @StevStiffler: I typed "Bitch" into my GPS and guess what?  I'm in your driveway.  Vroom vroom mother fucker.
1587576751_395335758296662017 x	Let's go bball time #NBA
1587576751_395262298463678464 x	@ryan_mouraview he said you were his favorite besides me and sean?
1587576751_395262154603257856 x	@ryan_mouraview like ummm we don't know but Ryan really misses you and he's like that's nice she was a cutie
1587576751_395261986512310272 x	@ryan_mouraview we were like all too m dog and he's like say where is the rest of the crew like Maia,Megan,Jill and that slut Ryan and were
1587576751_395259038331850752 x	@ryan_mouraview http://t.co/xQHPDP6lR6
1587576751_395259453555343361 x	@ryan_mouraview I have so many more haha
1587576751_395260465892581376 x	@ryan_mouraview he was asking for you
1587576751_395260412545216512 x	@ryan_mouraview he's always so happy to see us so your coming next time
1587576751_395006830004674560 x	@ryan_mouraview alright me you and Sean
1587576751_395006537573605377 x	@ryan_mouraview I think he's room 210 but I don't remember
1587576751_395006104809525248 x	@ryan_mouraview m dog is gonna be mad cheeesin
1587576751_395005937444200448 x	@ryan_mouraview haha me and Sean are getting pictures with him tomorrow ?
1587576751_395002279646228480 x	@ryan_mouraview M dog smokes pot
1587576751_395001153601437696 x	@oliviagarrisonn ?
1587576751_394987701189238784 x	Let's play Evil Apples for iPhone! http://t.co/M03Ecm3buo Tap the link on your iPhone to join me! @evilapplesapp
1587576751_394963071007203328 x	RT @oliviagarrisonn: I loooooove being called cute ??
1587576751_394945475310551040 x	RT @oliviagarrisonn: What guy wants to be my bestfriend
1587576751_394941893790167040 x	The new uncle drew is so funny
1587576751_394929141952557056 x	What kelsie said in homeroom today ?
1587576751_394919157940359169 x	?@Fact: Ice is a considered a mineral.?@Birdmanandersan
1587576751_393925187324104704 x	Omg I think Estelle blocked me ? what did I do
1587576751_393940468046000128 x	@Beth_Egan6 @eStElLe_BaRnEs @oliviagarrisonn I'm dead up
1587576751_394902032974639104 x	@eStElLe_BaRnEs wait oh sorry Estelle Nevermind I thought you blocked me but i dont know what happened
1587576751_394902359937384448 x	@eStElLe_BaRnEs ha ya ?
1587576751_394908926548148224 x	@eStElLe_BaRnEs oh ight
1587576751_394635960283332608 x	@JTocci36 nah there gonna return with the meds
1587576751_394636359937556480 x	@JTocci36 told you they would fuck up the black guy
1587576751_394651764550828032 x	@JTocci36 no don't you go sayin that
1587576751_394594601954476032 x	RT @zmiller003: The weekend should be longer
1587576751_394566135888101376 x	I fucking love it http://t.co/YnTHlcGPAn
1587576751_394564728376532992 x	@DBarilotti no he's not he's just black
1587576751_394561068347170816 x	Omg fuck that's so awk I didn't mean to do that
1587576751_394517598161084417 x	#EaglesTalk let's go Vick $$$
1587576751_394492295573434368 x	RT @anjoliesantanaa: burning your tounges the worst
1587576751_394491296259514368 x	@Beth_Egan6 I do ?
1587576751_394491061080694784 x	RT @chilltweetss: rt if you get it ? http://t.co/WSb7AZE21i
1587576751_394427588409843712 x	RT @PornEdits: Patrick http://t.co/4HmwiQOh1X
1587576751_394419400519852032 x	DAMN! tmarts popular http://t.co/wPsfcmaVNp
1587576751_394313032358457344 x	There are so many hot girls
1587576751_393835332720156673 x	@NittanySurfer your my best friend
1587576751_393830951396327424 x	RT @NittanySurfer: Had a good week with the kids at HHS.  Have a good weekend guys. Even you @TMART177
1587576751_393830916629729280 x	@NittanySurfer gee thanks stock
