160648235_391248120119840768 x	@SlimGudz216 see you soon !
160648235_396576524453052416 x	Have @ilovetmills on replay ! #shegota. His voice is perfection !
160648235_396576088304144386 x	Trusting someone takes time, but falling in love seems so easy... Why?!
160648235_396575843042205696 x	What the fuck is sleep? Cause we havent met ! ?
160648235_396575479542849537 x	@DuBz216 I need to see you live , ive seen K , slim, steve-o lol, but not you :/ hopefully im moving to CLE so maybe il see u soon !
160648235_396575216186716160 x	@SlimGudz216 Do me a favor & come down a show in NJ again, i miss you guys :/
160648235_396570417487683584 x	Hoping @machinegunkelly does a meet n greet at the tillys opening up near me ! It would be a miracle, been checking tillys everyday..
160648235_396542599181664256 x	I keep seeing people hate on @Huntermoore  , people are WAY to close minded ... Bitches
160648235_396140118865870848 x	@LTFU_Traya88 tell me about it , i tried to take this girl to mexico and she decided to go to the bronx with this dude haha
160648235_396540341450702848 x	@LTFU_Traya88 sad moment , youll get that nice girl !
160648235_396540296731049984 x	RT @LTFU_Traya88: @Lacedup_est1995 bitches are dumb....tried takin one to a nice place but is choosin her ex that prolly aint doin shit wit?
160648235_396538273080016896 x	@Caskey407 Have "letter to my father " & "dolla bills" on replay , caskey has real talent , that alot of people are missing out on !
160648235_396139824618684416 x	RT @LTFU_Traya88: Wats with bitches these days?! You try to show them something nice but they choose the same bullshit they've already left?
160648235_395421332545892352 x	@ilovetmills I would love to..
160648235_395381785728544768 x	why don't u like scary movies? #SKEELIVE  @machinegunkelly
160648235_395377424269324288 x	Wish i coukd thank @machinegunkelly  for being so honest in every interview & performance ! #SKEELIVE
160648235_395375216307617792 x	#SKEELIVE  is def the best station on TV. and having mgk on it , makes it better. lace up ! @machinegunkelly
160648235_395374913952829440 x	@machinegunkelly  is on #SKEELIVE  , def made me night ! LACE UP ! EST4LIFE.
160648235_395370819452280833 x	Were you shocked how successful the lace up album was ? and still is ? @machinegunkelly #skeelive
160648235_394913859871723520 x	@KelseyHilson @Huntermoore  ???
160648235_393459768243003392 x	EST / EVERYTHING.<3
160648235_393458189439893504 x	@machinegunkelly Yes please !(: best news ive heard all day
160648235_393458096523456512 x	RT @machinegunkelly: I say I turn this muthafuckin camera back on and get KellyVisions goin
160648235_393222277955076096 x	@Huntermoore Where are the naked girls at? ?
160648235_393221925172174848 x	?? Work doesnt do shit for me , except give me money..
160648235_393221167324344320 x	? why must your job be to drive me fucking nuts ?! ?
160648235_393219076451209216 x	RT @BrownEyedRager: I miss the stormy weather I'm not okay 3000 miles away
160648235_393215357491892224 x	Alot of followers out of nowhere lmao weird http://t.co/V9zId6XgEf
160648235_393212340134739968 x	@EmblemThree You guys are an amazing group, saw you guys sunday & it was a amaZing show. Cant wait for someone to open up for you !
160648235_393212099264258048 x	@DrewChadwickE3 I saw you sunday in Newark, NJ. You guys put on a amaZing show, def cant wait to see you again. #3000miles
160648235_393211721403609088 x	RT @BrownEyedRager: so @Lacedup_est1995 decided we was gonna share @DrewChadwickE3 : )
160648235_393174679755964416 x	@Huntermoore  FOOD or vodka lol.
160648235_393142400031682560 x	@machinegunkelly Well, from now on you should do TBT on wednesdays and make it a tradition haha
160648235_393142026453389312 x	RT @machinegunkelly: My dumbass thought it was Thursday. Smh, but ecrayjr mixtape just dropped so I'm posting throwbacks of? http://t.co/pG?
160648235_393124709841522688 x	@machinegunkelly You should def upload pictures of you with earings :)
160648235_393124520212840448 x	@machinegunkelly ? you would look good with earings. Love .
160648235_393085060779630593 x	Have  @DuBz216 on blast all day , everyday (; lace up
160648235_392881971082588160 x	I be on twitter like ...?...?...?...?.. It always changes my mood, every 5 fucking seconds.
160648235_392881279638986752 x	I love how you guys can be soo judgemental, like bitch YOU AINT SHIT, ur in the same spot as us , so chilll ???
160648235_392841764580888577 x	@OMFGITSOSCAR INLOVE with your vine for remix of "wrecking ball". Def my fav vine :) plus ur handsome af !
160648235_392736946101174272 x	@MooshOCD So mad , you guys are comming to NJ & i cant go..
160648235_392736596896010240 x	RT @MooshOCD: A Perfect Gift Would Be $10,000 Gift Card To Guitar Center, Then You Would Be My Homie Forever Lol.
160648235_392544074844372992 x	Why tf am i so lazy ?! ??
160648235_392542447408275456 x	I hate when that happens, i need to start paying more attention to my surrondings ??
160648235_392539869031198720 x	@FAT_BRIAN_LTFU  I def burned you with my ciggerette at the AC show when kells did EST4LIFE, my bad lol.
160648235_392542148383756288 x	@FAT_BRIAN_LTFU oh damn, wrong person then lol. My baaad. It was dark && i was out of it haa. Sorry.
160648235_392541199577665536 x	I think its time to put @Caskey407  on blast & try to sleep. #thetransientclassics #vague
160648235_392540399442878464 x	Beyond tired . But everytime i try n sleep i feel like ima be killed with a guy with a mask , thank you HALLOWEEN II ?
160648235_392538464081952769 x	Been up all night listening to @machinegunkelly , can we please go back to friday in AC? Or no? Lace up !
160648235_392533203707510785 x	@Huntermoore  Do you ever come to NJ ?
160648235_392533023696388096 x	RT @Huntermoore: RETWEET if you want someone to bring you pizza
160648235_392531513080049664 x	@Huntermoore ?
160648235_392531409740775424 x	RT @Huntermoore: anyone want me to mail you some pogs!? http://t.co/sZ7TWIixcy
160648235_392488292853501952 x	@rook419 It was good to see you friday at the AC show , your such a good drummer ! Hope you enjoyed AC !
160648235_392347875885457408 x	RT @DuBz216: You know what, I am gone ustream today. Stick around for the time. RT
160648235_392179197458022400 x	@tourtbelaced did he almost die or something ?
160648235_392332392142487552 x	@tourtbelaced if daryl dies, id stop watching it also. Legit favorite character, but in reality i think theyre all gunna die at some point
160648235_391958665873588224 x	RT @WindyCityRager: Me: Do you listen to Dub-O?  Cashier Bitch: "You mean the black guy with the big beard?"  That's Slim, stupid.
160648235_391591127855681537 x	@SlimGudz216 Had such a good time last night, you guys did a great job && you looked extremley happy, lace up.
160648235_391590796115607552 x	@SlimGudz216
160648235_391465859979698176 x	@machinegunkelly that show was insane ! NJ goes hard. Lace up.
160648235_391465776068452352 x	RT @machinegunkelly: Tonight was so fucking sick!! I'm drunk as fuck falling asleep in a suite with loud ass music playing. Fuck yeah Atlan?
160648235_391465131722670081 x	@SteveO it was great to see you tonight in AC. You tore up that stage & the crowd ! Didnt mind falling down cus of u lol.
160648235_391449854754689024 x	@SlimGudz216 @sam_smer im dead hahaa
160648235_391436111735947264 x	@machinegunkelly  Thanks for such a good show, already having withdrawls. See you on black flag tour ! Lace up
160648235_391434409918074880 x	@Bcurt1364 lmao neither did i ! You have a phone?
160648235_391434731281461248 x	@Bcurt1364 message me on here ur #
160648235_391434343086059521 x	RT @Bcurt1364: @Lacedup_est1995 absolutely no idea ???
160648235_391434181424971776 x	@Just_DjAce idk whats up with my eyes or face lol but it was good to see u tonight ! http://t.co/oIHEDhKk0E
160648235_391433761369640960 x	@SlimGudz216  it was good to chill with u for a min after the show, great ass show tonight ! http://t.co/O2lhzTUS1c
160648235_391228149155254272 x	@rook419 see you there tonight !!
160648235_391218065289252864 x	Getting ready for AC (:
160648235_391086265632059392 x	GoodNight ?????
