166394589_372925561947308032 x	@Mr_Vanity620 #fb Cuzzo
166394589_395966137663377408 x	Nobody lil snupe ?
166394589_395895725550489600 x	When I wake up first thing on my mind get this cake up
166394589_395737433951981568 x	RT @MikeVick: Congrats to my big bro Allen Iverson on his retirement. #BornLegend #757Family #Va'sOwn #HOF #Philly
166394589_395725095437877248 x	Y'all think mcw gonna do this all year or nawl
166394589_395724587406983168 x	RT @manmanself_215: Carter Williams  a fucking problem
166394589_395724288663519233 x	RT @smickyyy: WE JUST BEAT THE HEAT WHAT IS LIFE !!
166394589_395721568988712960 x	Sixers gonna beat the heat or naw
166394589_395722179859722240 x	@LoveDajah @____amberC 108 112 right now 19 seconds
166394589_395723271477678081 x	@LoveDajah @____amberC yu must b a sixers fan lol they bums still
166394589_395723593814134784 x	@LoveDajah we cracked y'all last night ????
166394589_395723403166248960 x	@Fuckyo_FeelnzHo right this game don't mean shit tho bro cuz Miami gonna win it all
166394589_395721982555480065 x	?@Fuckyo_FeelnzHo: "@Johnjohn0018: Sixers gonna beat the heat or naw" Yea thanx to Michael Carter Williams?hell yeah bro
166394589_395722273560461312 x	@Fuckyo_FeelnzHo yeah I'm glad dey traded holiday
166394589_395721795418206208 x	@i_knowwhan this sixers game good bro boston bouta get cracked
166394589_395567731158052864 x	RT @Trevonn_Taylor: I listen to meek everyday before I get this money #motivation
166394589_395553486689292288 x	RT @DC_Saunders5: SALUTE to all powerful strong women that been holding they own from the jump
166394589_395546386013638656 x	RT @Mr_Vanity620: Thankful to see another day #Blessed!
166394589_395210968138928128 x	RT @Bomb_ROC: LeBron gone fck around and get a triple double tonight
166394589_395017348257964032 x	RT @CollegeBoy_JB: I'm always on my grind I won't make it where I need to be with females on my mind..
166394589_395012660259196928 x	@RobertBrown_11 was Gud lil bro
166394589_395017252732669952 x	@RobertBrown_11 coolin juss working an shit yu ready for da season bro
166394589_395011741983449088 x	RT @Bonesy_Hill: Couple of ma cousins locked up so I'm screaming fuck the Law
166394589_395011571141054464 x	Dem perks b having a nigga grooving
166394589_394998068925698048 x	R.i.p lil snupe youngin was on the road to make millions
166394589_394990482532888576 x	RT @__RickyRozay: All niggas aint the same & all girls aint the same !
166394589_394811265425879040 x	If I could live life over agian  I will do it right this time
166394589_394643279809363969 x	RT @Lil_Majeed: I'm so tired of being tired, so I ride, gettin high, hoping all my enemies disappear, ...& all my closest friends keep it r?
166394589_394270288781008896 x	@__RickyRozay wya bro
166394589_394071765611479040 x	RT @MikeVick: Good morning world
166394589_393796745408552960 x	#crmc @FatsCR @BarzyKingg going b opening up power house today #Salute
166394589_393395903979331586 x	@ASAP__Breezy lol we know des manne
166394589_392506284362452992 x	@TheRealTBOZ still got it ???
166394589_392338802758672384 x	RT @DC_Saunders5: It's hard to eat when you got ya eyes on somebody else plate. Focus & Grind, stay Focus & Dine .....
166394589_391982667337859072 x	RT @CountDat_Money: We need vick back #EaglesNation
166394589_391782660395524096 x	RT @Ni66Ah_StayFly: Salem Thts My Hood Throw It In Ya Face Nd Get Tht Shyt Understood
166394589_391240612668014592 x	@Fuck_Twitty were da moonshine bro
166394589_391260868001820672 x	@Fuck_Twitty hmp
166394589_389549367243575296 x	Demarco Murry  2 nice
166394589_389482314444861440 x	RT @vitobrown856: Game #Eagles WiN!
166394589_389136766311362561 x	@MikeVick yu playing 2marro brah ?
