16744854_388670843963731968 x	@Bosslife1 Thanks Sis!!
16744854_388669325533384705 x	Slow and steady...
16744854_399590136385503232 x	Test = Testimony
16744854_399544922392387584 x	Good morning and God bless to all.
16744854_399694667488317440 x	A dreamer he was The little boy in me A dreamer he was His spirit set free A dreamer he was Once upon a time A dreamer he was Goodnight
16744854_399584262468296704 x	If you think popularity, money, material items, etc. are everything think again. Reevaluate your priorities. Realize what's truly important.
16744854_399581905256861696 x	When I have many possessions I feel have nothing. When I have nothing I realize I have everything. Ironic right?
16744854_399544845116522497 x	In my struggles I praise him. In my success I praise him. It's not about religion, or church services. It's about the love in your heart...
16744854_399544348422852609 x	God is love. Love is God. If you share love with world, with those around you then you are doing God's work. Pass along the spirit of love.
16744854_399540321853267969 x	If you have someone special in your life let them know. Tell them you love them. Tell them you need them. Tomorrow isn't promised to anyone.
16744854_399274063350079488 x	Faith doesn't come with a parachute. Sometimes you just have to take a leap and hope for a soft landing.
16744854_399170412786884608 x	God willing, I will be able to do everything my heart desires. Bless you all.
16744854_399169150506913792 x	I never aspired to become a rich and famous artist. I never desired fame. All I've done, and all I ever wanted to do was inspires others...
16744854_399168866544132097 x	Become closer to God. Spread his gospel. Become a living example of a redeemed soul. I want to show others how great he is through action...
16744854_399168435403247616 x	I hope to marry the woman I love one day, start a family and teach those children nothing is impossible. Be a great husband and father...
16744854_399167884879867905 x	I'm no saint. I'n not prefect. I just aspire to be a good man. An honest man. The kind of person who can inspire others in positive ways...
16744854_399167415113641984 x	I've decided to use my power, influence and talents to the best of my abilities for causes which will help enrich the lives of others...
16744854_399165377277476864 x	@Cocoshantel21 God bless you Shantel. May the lord bless you with all the things you desire in this world and beyond.
16744854_399160441215008768 x	The mind will always discourage the heart. The heart will always confuse the mind. The soul provides clarity and encouragement to both.
16744854_398926580929400833 x	You can't lose something that was never yours.
16744854_398893668129443840 x	Love heals all wounds. Stops all wars. Redeems all condemned. Conquers all fears. Recognize it. Embrace it. Share it.
16744854_398880605800128512 x	Be who you are, not who others want you to be.
16744854_398860957843083264 x	@VH1VanessaDior God is great: http://t.co/myDQ3TMZ9h God is love: http://t.co/EFIBupd2RP God is faith: http://t.co/vUblvofWew #Blessed
16744854_398826823468843009 x	Great energy. Positive thoughts. Pass it along. You never know who may need it.
16744854_398826670833926144 x	Believe in you!! Others will do the same.
16744854_398826526273073152 x	Accept your flaws and imperfections. It's okay. They make you human.
16744854_398826278301609984 x	Lift yourself up and don't allow others to bring you down.
16744854_398826071111380993 x	Love. Live. Laugh. Learn....
16744854_398824627511627776 x	Why be the next anyone when you can be the first you?
16744854_398824540538535936 x	Why fit in when you can stand out?
16744854_398632171117621248 x	Goodnight. God Bless.
16744854_398632015093723136 x	Love. It comes in many forms. The best type? Unconditional. You don't have to like or agree with everything, but you always will love them.
16744854_398627616195768320 x	There is no fear in love; but perfect love casts out fear, because fear involves torment. But he who fears has not been made perfect in love
16744854_398622167178280960 x	"Loving you... Is it the right thing to do?  How can I ever change things that I feel?  If I could baby I'd give you my world..."
16744854_398619459423698945 x	"Her mind is Tiffany twisted... She got the Mercedes Benz... She got a lot of pretty, pretty boys... That she calls friends..."
16744854_398618384599769088 x	"But what a fool believes... He sees No wise man has the power to reason away... What it seems ... To be Is always better than nothing..."
16744854_398546983905800193 x	God > Health > Family > Career > Everything Else <----- This is important, in order. My priorities were screwed up before. Not anymore.
16744854_398546577658093568 x	And on this path I discovered what's truly important. It's not rap. Definitely not money or fame. Not sex, not material items, not business.
16744854_398546143061102592 x	This past year has been the hardest for me as a human and man. I had to truly humble and separate myself from all negative energy...
16744854_398545652356878336 x	All my life I've been surrounded by negative energy. Pain followed me like a shadow. To some degree, I almost would expect and invite it...
16744854_398545083634438144 x	I haven't been too "personal" with you all for awhile now. Various reasons. I feel the need to speak about a few things on my mind though...
16744854_398544072287068160 x	Whatever it is it will be. I just do my best, do what's right to me and keep it moving. Let the chips fall where they may. I'm at peace.
16744854_398542133872697344 x	Thank God for small blessings. They prepare me for the huge ones.
16744854_398497441659359232 x	Let's ALL focus less on the hate and more on the love. The world has enough hatred in it, we don't need to add anymore. #wishfulthinking
16744854_398490818916265984 x	I appreciate all the love I recieve. I'm not as active on social media as I used to be but please know I pay attention. Much love. God Bless
16744854_398490498169831424 x	RT @projectgigit: Stoked our #NYC presence is growing with #GeniusChild @DonnyGoines on board #getbooked #getpaid http://t.co/A4wjhsoWAy
16744854_398490474572701696 x	RT @BombOnEm: Video: Donny Goines - Whattup Bro (In Studio Perfomance) http://t.co/Xl3Xfnd8Ry
16744854_398490448777732096 x	RT @shogunofyellow: I used to be so into hip-hop that I have an old note on my computer that says "Make Donny Goines, Skillz, Emilio Rojas,?
16744854_398490428271767552 x	RT @MusicBlissQnA: 25 hours of writing and rewriting later our interview with Donny Goines is now live. It is one of the realest and... htt?
16744854_398490396655108096 x	RT @BombOnEm: Events: Donny Goines "Success Served Cold" Album Listening and Meet & Greet http://t.co/ov394n0FIH
16744854_398490373271867392 x	RT @iamnotarapper58: #IAmNotARapper RT: Donny Goines - Circle of 8 http://t.co/cPEfkJYTQx
16744854_398490288207196160 x	RT @RyanHealey_: I liked a @YouTube video http://t.co/3xXs6n7Kxr Catch Lungs f. Danny Brown & Donny Goines- "Gotta Kill This"
16744854_398490254094905344 x	RT @StreetVisionNYC: St Joe Louis Ft. Donny Goines ? Light Show (Stream) http://t.co/7N8nlHIx1V
16744854_398490205008965632 x	RT @itmsitmsfan: Donny Goines Minute After Midnight (Mi... ?1,650 iTunes http://t.co/P95HGuMEfn  http://t.co/ddKFtUnvNw 23
16744854_398490173035798528 x	RT @Mronehundred: DONNY GOINES INTERVIEW http://t.co/5nSEW8RcdH #Mr100MuzicCorner #Music #Blogs
16744854_398455559927525376 x	In many ways I've changed. Life has new meaning to me. I'm not sure where I go from here but I'm excited to experience the journey ahead. DG
16744854_398109079853232128 x	Who I was is not important. Who I am is all that matters.
16744854_397926090921877505 x	A women's true worth isn't determined by her measurements. It's determined by the size of her heart.
16744854_396750340512444417 x	Psalm 37:23 "The steps of a good man are ordered by the LORD: and he delighteth in his way."
16744854_396722644839460864 x	God grant me patience... Amen.
16744854_396722224033329152 x	I'm a man first, everything else second.
16744854_396721049334595584 x	It's one thing when someone can't pay you. I understand that. It happens to all of us. It's a different thing to cheat someone though.
16744854_396720783885475840 x	I absorb (I.e don't ask for or pursue money owed or earned) financial losses all the time. Cost of dong business. Don't try to cheat me tho.
16744854_396719594615742464 x	@gothamgym I tried to polite but please don't take my kindness for weakness. I expect the matter to be handled promptly. Thank you. Donny.
16744854_396692060859670529 x	With God all things are possible. Add love and nothing is impossible.
16744854_396691727647375360 x	Don't count me out just yet though... I'm known worldwide for an amazing work ethic and when I'm motivated... ;-)
16744854_396690118670426112 x	Money, fame, success... They mean NOTHING without family, love, purpose... I've learned this in hindsight. Hopefully you're smarter than me.
16744854_396688620490199040 x	RT @MusicBlissQnA: Check out our candid and real interview with @DonnyGoines as we discuss #life #music #tragedy #loss #success ... http://?
16744854_396656079846666240 x	Good Morning, God Bless.
16744854_396632573977190400 x	Every King needs a Queen and every Queen needs a King. Alone, we are strong but together we are our strongest.
16744854_396000551487275008 x	Faith is always tested. You can either rely on it or not. It's your choice. The outcome of those choices are the results.
16744854_395960417723232256 x	Check out this new interview: http://t.co/cu5Ms7GNCT Very candid, honest and real. Great job @MusicBlissQnA
16744854_395922238131564544 x	If you live in the past you're dead in the present and a memory in the future.
