169103061_396997580233523200 x	@ghfan33 @seankanan 9:45am
169103061_400061800768483329 x	@joeyalex1821 ouch!!
169103061_400004705675665408 x	@SoapBossDino @coastalent1 @PaulaLiana its almost 4pm. #GHFantasy Weekend news...
169103061_399963511419584512 x	"@coastalent1: @kinshriner & Lynn Herring will be @UNCLEVINNIESCC on Mar. 9 from 11-2pm $ 65 a ticket. Call 732-899-3900 @SoapBossDino
169103061_399962385223778304 x	"@danigirlNJ: ?@damnitstrue: Me + My Best Friends have code names for people we hate.?@UNCLEVINNIESCC LOL!!!"
169103061_399938294290448384 x	"@irish0205  @Kac225 @DeniseRuberto really is that where the cool kids can hang out?:-) no that's where I freeze people who bust my chops :)
169103061_399934283168485376 x	"@irish0205: @Kac225 @UNCLEVINNIESCC @DeniseRuberto hooray!" Installing a deep freeze chamber in my office
169103061_399928178900094976 x	"@TuscanHouseNJ: @jackieMartling tkts going quick for Nov 15. Don't be left out. @TuscanHouseNJ @UNCLEVINNIESCC #8pshow#tuscanbistrobar.com"
169103061_399917053869453312 x	RT @SoapBossDino: Today at 4pm our next addition to #GHFantasy weekend Apr 5 & 6. @coastalent1 @PaulaLiana @UNCLEVINNIESCC. Follow @SoapBos?
169103061_399880826747232256 x	"@Vinny_Varvaro: @UNCLEVINNIESCC @kurtsiegelin is a 90 yr old girl friend considered a chippy??" More like a terodactyl. #SorryForSpelling
169103061_399879939098288128 x	@kurtsiegelin @vinny_varvaro #OhDon that 107 year old vet got himself a 90 year old gummy bear
169103061_399879178842943488 x	@jerseygirl1966 well there might be some fun in the office
169103061_399873600590606336 x	@kurtsiegelin #OhDon where is a deer's favorite place to visit? Buck-ingham Palace. @vinny_varvaro #ThisGRatedHumorIsTough
169103061_399869301613543424 x	@kurtsiegelin @Vinny_Varvaro so a stick with or without flame is considering a torch. So the Human Torch is not really a torch #GospelByDino
169103061_399871375021572096 x	@kurtsiegelin @Vinny_Varvaro if a torch is a stick, oh forget it. I miss #OhDon
169103061_399868671721345024 x	@LisaKerney @AlexDenisTV #militarywife #VeteransDay 2 hot friends. Never saw more beautiful pregnant women.
169103061_399865597258776577 x	"@DeniseRuberto: @UNCLEVINNIESCC LOL Then don't hide in your office ;)" some of you women can get wild. Office might be good taming room
169103061_399865070659710976 x	@jillianbmele actually 6 things to know, how to enjoy dinner w Jillian?  X0. Have a great day
169103061_399864036608585728 x	"@DeniseRuberto: @UNCLEVINNIESCC LOL Good plan ;)" I will take their leftover salivators!!! Lol
169103061_399863827971313665 x	@kurtsiegelin #OhDon that woman was "Stunning"
169103061_399863280518180864 x	"@DeniseRuberto: @UNCLEVINNIESCC ;) 1 week from today Ready for the craziness? Lol" I'm hiding in my office as all of u salivate
169103061_399862720930910208 x	"@DeniseRuberto: Can't believe I was up so early on my last day I could sleep late" that's because u have Port Chuck on your mind
169103061_399862328855777280 x	@kurtsiegelin A family of Ducks? Who is writing for James? Lol
169103061_399860554908463104 x	@christnemaddela Good morning beautiful, its getting cold for a pina colada ice cream date so how about Sangria? #SmittenByChristina
169103061_399859446995636224 x	"@MaddieBurnsie: @danigirlNJ @jerseygolden @UNCLEVINNIESCC xoxo I'm too invested n focused on donnie at the moment (lol)" Chrissy up early?
169103061_399853235655020544 x	@carissalawson $ 2500
169103061_399829068587098112 x	@marysolcastro good morning Marysol. You look "Stunning" today without the Stun gun
169103061_399629686054977536 x	"@sundalynn: @UNCLEVINNIESCC @LaughFactory_LV you tell me! Lets do it again!" Whenver you are ready
169103061_389842498111426560 x	12 tixs left for @portchuckband Nov 19 @1SteveBurton @reevesforreal @BrandonBarash @BfordAnderson. Farewell Tour last time @UNCLEVINNIESCC
169103061_389883427127713792 x	@StacyBonino @BfordAnderson @PortChuckBand @1SteveBurton @reevesforreal @BrandonBarash Don't wait for them you might miss out
169103061_399628299732652032 x	@StacyBonino call 732-899-3900 quickly
169103061_399587096223948800 x	Hey UncleVinnies ComedyClub fans, please check out our podcast fan page... http://t.co/bxrO1exEDr
169103061_399585120086003712 x	Hey UncleVinnies ComedyClub fans, check out our podcast fan page  http://t.co/bNOrNIaIun,... http://t.co/fZdc0G6FdW
169103061_399573767812161536 x	- Dr Dirty John Valby November 15th at Uncle Vinnie's Comedy Club 518 Arnold Ave. Point Pleasant Beach, NJ. -... http://t.co/M4vO5Je076
169103061_399558842733719553 x	"@danigirlNJ: @UNCLEVINNIESCC wish I had those to jiggle lol!" Better than our other shirt "We Droop"
169103061_399558656296890368 x	RT @danigirlNJ: @UNCLEVINNIESCC wish I had those to jiggle lol!
169103061_399554223223746560 x	Now available at @UNCLEVINNIESCC call 732-899-3900 to order them! #TheShirtGuysNotThe .... http://t.co/uhtKn1UFIU
169103061_399555881815113729 x	@brdwaydancer what size?
169103061_399557220305612800 x	@brdwaydancer when I go in tomorrow I will check what colors I have
169103061_399555802265968640 x	@EmilySmithCBS2 Emily let me get some leather cleaner and buff your sneakers #ChivalryForEmily. X0. Have a great day
169103061_399433354337980416 x	RT @Vinny_Varvaro: #NFL Picks Week 10 #PointSpreads #VegasOdds #Predictions http://t.co/YaSHjXFgR9
169103061_399361610084409344 x	RT @ghhshirley: Sunday 11/24 @NancyLeeGrahn Event @UNCLEVINNIESCC 11~ 2pm https://t.co/NBhUg7ERAK ? ?or Call 732-899-3900" #GH
