1693471676_394958805085483008 x	RT @Bossip: 10 Things I Can?t Stand About ?Educated? Black People http://t.co/Pl4nclmiAu
1693471676_395779292413837312 x	@juacaliGenge @Nairobiexposed y'all talking as if y'all were there.
1693471676_395779015501688832 x	@juacaliGenge @Nairobiexposed medusa was on me like am 'luminati
1693471676_395778450319237120 x	RT @HuffPostSports: David Ortiz named World Series MVP  http://t.co/zbqmEgPWVV
1693471676_395778366814838784 x	RT @DimeMag: Steph Curry Admits He Gets ID?ed For The Club And R-Rated Movies: http://t.co/u6eSai0Yzx
1693471676_395777647118413824 x	RT @HoustonRockets: .@DwightHoward made a splash in his Rockets debut. Story, highlights & interviews: http://t.co/SZVnSur31r http://t.co/p?
1693471676_395777523583561728 x	RT @ESPNNBA: Miles Plumlee's 1st career start leads to 18 pts, 15 reb, 3 blocks and a Suns win. Like everyone expected, right? http://t.co/?
1693471676_395777134356332544 x	RT @Orlando_Magic: End of the third: Wolves 87, Magic 80. @arronafflalo scored 17, while @jameernelson & @nicholaf44 each added 13: http://?
1693471676_395776964239568896 x	RT @BleacherReport: The Boston Red Sox are 2013 #WorldSeries Champions! http://t.co/IHTB3fZw34
1693471676_395776881783750656 x	RT @CBSEveningNews: Report warns helmets don't protect young athletes from concussion, @DrLaPook reports: http://t.co/z8aZZ388MK
1693471676_395776741979205632 x	RT @JoshDhani: It'll all make sense if Kevin Durant never wins a ring http://t.co/iDxvnLqlTJ
1693471676_395776630029041665 x	RT @NBAcom: The Cavs' Andrew Bynum is medically cleared and could see action tonight vs. the Nets (7 p.m., @NBATV) http://t.co/W1yf9slemc
1693471676_395776208459563008 x	RT @TheNotoriousLEX: If you're like me & are tired of explaining how the NBA has changed, bookmark & send this @jadande article. #nailedit ?
1693471676_395776146174124032 x	RT @BETRealHusbands: .@NickCannon makes @KevinHart4real an offer he can't refuse: http://t.co/lUkUnepgka http://t.co/IE3GFH9Iyj
1693471676_395697256864555009 x	They gonna love me or hate me for my #ambition but idc that's their own opinion.#GotNoMoneyGetSome http://t.co/JtUYDy75eR
1693471676_395696423431196673 x	"@ultrami: @AkinyiimanG @SassyClassy529 Make a difference in Kenya!"Working on it.real pple,real problems.
