1708758722_381812853876875264 x	@JuiceitRaw thanks for the follow
1708758722_390109635958415361 x	Tom Hanks Has Type 2 Diabetes http://t.co/MCiPvpo3a2
1708758722_393786121140047872 x	4 of 5 Colleges Students Text While Driving: Study http://t.co/Vv8MlrfGIf
1708758722_386984035798364160 x	Sleep And Stress Health Tips http://t.co/XaVZJoQclW via @ScoopHouston
1708758722_381812918901174273 x	@SrCareCompass thanks for the follow
1708758722_399606348670705664 x	RT @BrittanyDTV: Guess I really LOVE H Town bc my camera guy almost got hit by several cars. Hugs&Kisses?Brittany D #houston #follow http:/?
1708758722_399602296956256256 x	@BrittanyDTV thanks for the follow!
1708758722_399593404251648001 x	@HTC_Casey thanks for the follow! #gotexans #CaseKeenum
1708758722_383635368223854592 x	@happykatie I heard these were awesome.
1708758722_399587801487798272 x	@MensHlthNetwork @freeonme1 @RepGuthrie @StrokeDan @BabbLiveWell thanks for the mention.
1708758722_399587710123257856 x	@LaCatrin thanks for the follow'
1708758722_399587665365831680 x	@LaCatrin
1708758722_399587601474023424 x	RT @HOUBizJournal: Like what you read? Get the full HBJ experience on tablet: http://t.co/bY1rkpM1aK
1708758722_399581569272123392 x	RT @VisitHouston: Need ideas for holiday gifts? These Houston spots have you covered http://t.co/ArUQhVqorX #giftguide #giftideas
1708758722_399581366687248384 x	RT @BillBishopKHOU: #Aggies & #johnnymanziel win. Kyle Field will never be the same. The hallowed turf is removed tonight.  Stadium renovat?
1708758722_399579205416935424 x	RT @CyFairMagazine: @TowneLakeTX is hiring a part-time welcome center representative! Check our Cypress, Texas jobs page http://t.co/3EArp9?
1708758722_399579091243761664 x	RT @KHOULily: Veterans Day is tomorrow. This is a powerful video you won't regret watching:   http://t.co/kb8H1e0JCE
1708758722_399578932590030848 x	RT @LOCAL2WEATHER: A blast of arctic air will be stretching across the county. Highs on Wednesday will be in the 50s! #houwx http://t.co/QZ?
1708758722_399578663168901120 x	RT @HTC_Amelia: This cutie is only 30 followers away from 2000! Let's get this future nurse there @TexansCheer fans!@HTC_Courtney http://t.?
1708758722_399578623662751744 x	RT @HTC_Charlotte: When I can't sleep, I bake! Successfully made some Yummy Pumpkin Bread for Football Sunday!  ??? http://t.co/Lgi0opKm9l
1708758722_399578308456624128 x	RT @HTC_Amelia: @HTC_Brianna @TexansCheer oh girl! Letting you loose at the nutcracker market=dangerous! #proshopperstatus
1708758722_398858595040649216 x	RT @MensHlthNetwork: Happy Friday! Time for our weekly #FF shoutouts! @freeonme1 @RepGuthrie @jvcfamilymed @StrokeDan @BabbLiveWell
1708758722_398857424100016128 x	RT @ColesCrossingTX: @jvcfamilymed Don't forget Coles Crossing is having neighborhood wide garage sale tomorrow! #Cypress #colescrossing #g?
1708758722_398560702958694400 x	Health Tip: Caring for an Animal Bite - MedicineNet http://t.co/dEjpBnAZak
1708758722_398560395621060608 x	Health Tip: Keep a First Aid Kit in the Car - MedicineNet http://t.co/XWXfwcYwhi
1708758722_398433592834924544 x	@chitakhou great #throughbackthursday pic. The whitest teeth ever.
1708758722_393837282643296257 x	River Oaks gala brings out doctors galore: It's a distinctive night http://t.co/AYC57sxKue via @culturemap
1708758722_398433298529005568 x	RT @chitakhou: WOWZA... A chilly start to the day for sure! Grab your jacket with lows in the mid 40s! Highs in the 60s with STRONG WINDS. ?
1708758722_398132508551692288 x	RT @999_Healthy: Quit Procrastinating And Get Motivated!  http://t.co/IUY61EG2qu
1708758722_398132184071942144 x	RT @impactnews_cyf: Final decision on how to proceed with #astrodome now up to Harris County Commissioners Court. #hounews #impactnews http?
1708758722_398132143844388864 x	RT @ExamineFood: Veggie hash recipe: Take advantage of bountiful Autumn squash http://t.co/g9NIukaeJo
1708758722_398131798892220417 x	RT @danielbKPRC: The Houston Texans have named defensive coordinator Wade Phillips as the team's interim head coach. #hounews #kprc  http:/?
1708758722_398131737160474624 x	RT @MensHlthNetwork: #Mens #Health @gaby407 @Music_FM @KymistryMng @AnimalsAsia @ArtforLifeOrg @printcheap @ghostdevil @thomaslodge2 @expos?
1708758722_398128588245172224 x	RT @watkinsfox26: Kathleen Sebelius, questioned by @JohnCornyn admits no background check needed for ACA navigators. Convicted felons cld g?
1708758722_398128188435337216 x	@AmHealthBeauty thank you for the follow!
1708758722_398128062694297600 x	?@EricaHReid: We can #help #savelives at #school #Epipen http://t.co/FvoWyRK3YP?
1708758722_398127746863214592 x	RT @physicianspref: The low-down on vitamin D http://t.co/GfrgkHLIEC
1708758722_397837737174134786 x	RT @WomensHealthMag: The time you?re most likely to wreck your diet: http://t.co/FiP9Ri1Zvv Plus, how to fight it!
1708758722_397837616382365696 x	@DRyan81 just voted.. Best of luck!
1708758722_397418851614220288 x	RT @RADIOROULA: I'm so excited!! It's almost HERE!!!!!!???????????????? Too bad there no emoji for "head exploding from excitement!" http:/?
1708758722_397409922356224000 x	RT @MyFoxHouston: Stay Dry RT @TheDad2Be: @KHOU @MyFoxHouston  There are very light sprinkles here in Atascocita.
1708758722_397409725785968641 x	@CherryAdj thanks for the follow.
1708758722_397409640746450944 x	@TavernaDallas thanks for the follow.
1708758722_397409538594193408 x	@sarahfholbrook thanks for the follow!
1708758722_397381301574975489 x	RT @chrisand1985: Opening day of @myfitfoods on Bay Area Blvd @ 45. Come see us! @harryreo  @MarioMendias http://t.co/fNFg2L9OSv
1708758722_397377581516746752 x	Health Tip: Dealing With a Child's Cough - MedicineNet http://t.co/UjWRROCivJ
1708758722_397377343477391360 x	Over-Involved Mothers Tied to Women's Poor Eating http://t.co/t41TKftrkk
1708758722_397377032293601281 x	Affordable Care Act: How Employers Change Coverage http://t.co/FDclN7r1Dj
1708758722_397376880598192128 x	Key Safety Questions for FDA-Expedited Drugs http://t.co/WPaE3aemqh
1708758722_397375913026809856 x	@LiveWell_UC thanks for the follow.
1708758722_397375866629414913 x	@GrandVillaLargo thanks for the follow.
1708758722_397375698072915968 x	@HTC_Denisse thanks for the follow! #GoTexans
1708758722_397375446523723777 x	@rollisfontenot thanks for the follow.
1708758722_397375294786392064 x	@TheMETChurch thanks for the follow. Looks like you new Cypress location is coming along.
1708758722_380876408584544256 x	RT @cmapeventshou: Upcoming event:  Heart and Sole 5K Benefit http://t.co/6jQ38edGDH
1708758722_397375146769387520 x	@MorganMoeDean Thanks for the follow. Tough lose for the Texans but like the move toward Case. #wearetexans
1708758722_397374790555553793 x	@ILuvBrittB Thanks for the follow. Can't wait to read more of your tweets.
1708758722_397374646657368064 x	@tommybutcher Thanks for the follow.
1708758722_397374570895659009 x	@MethodistHosp Thanks for the follow. Looking forward to more of your tweets.
1708758722_397366302571900928 x	RT @MethodistHosp: Beets can help control blood sugar & reduce bad cholesterol. Learn what other qualities make them a #superfood ^JL http:?
1708758722_397366176478543873 x	RT @HOUBizJournal: Texans coach Kubiak reportedly to undergo more tests following collapse: http://t.co/b9vtnqAYp8
1708758722_397366034320986112 x	RT @FOX26Caitilin: Cool AM in Houston& areas North...This afternoon will be mild, mostly cloudy with patchy sprinkles or showers around htt?
1708758722_397365979434328064 x	RT @cyfairchamber: Event: Networking/Business Development Committee - 12/3/2013 http://t.co/HZkBKIY0u1
1708758722_395996363881607168 x	RT @CypressSkincare: ?? yum! ?@ncktreats: Go Texans!! #Texans #HoustonTexans #Htown #football #gameday #NFL @JJWatt @HoustonTexans http://t?
1708758722_395996067155562497 x	RT @CypressSkincare: @TowneLakeTX We're hosting the first #CypressForTheHolidays Gift Market (And we're SERIOUSLY close by!) Come see us! h?
1708758722_395996028576333824 x	@CypressSkincare Thanks for the follow.
1708758722_395980149361238016 x	Happy Halloween for all of here at JVC Family Medicine. We hope you and your family have a safe an fun Halloween! http://t.co/p7lAdhPhrV
1708758722_395546913438986240 x	Health Tip: Exercising Despite Allergies and Asthma. Come and have your allergies tested at JVC Family Medicine. http://t.co/tmXiJKozKa
1708758722_395546612073644033 x	Health Tip: Exercising With Allergies and Asthma http://t.co/jTgAMJcQJM
1708758722_395546341419384832 x	Health Tip: Getting Rid of Refrigerator Odors http://t.co/JREBOUM7XB
1708758722_395546197680615424 x	Good News for Caregivers: You May Live Longer http://t.co/t8T6VfZuA1
1708758722_395545851398860800 x	RT @VisitHouston: Halloween in Houston is for everyone. Check out events for goblins of all ages,http://t.co/ZOsloO387k
1708758722_395545238695346176 x	http://t.co/0UCLvVAhYc
1708758722_395253335948673024 x	@chitakhou How do you really feel about national cat day? I can tell by the look on your face you are a dog person.
1708758722_395205212937678848 x	Are your allergies giving you trouble this time of year?  Today's Houston Pollen Count: Tree Pollen - Medium Weed... http://t.co/pRfu9bLwDk
1708758722_394902946640441344 x	@HTC_Denisse Go Texans! Looking forward to following your tweets.
1708758722_394902825336963072 x	@Texas_Hunger Thanks for the follow
1708758722_394902766880948224 x	@ChessaRapp thanks for the follow.
1708758722_394902692906029056 x	@AngelsAttic_CAM thanks for the follow.
1708758722_393837656565485568 x	Jim Nantz annoys Phil Simms with his Case Keenum love: An inside look http://t.co/t2CE1fqhaU via @culturemap
1708758722_393837410015928320 x	Children at Risk honors community leaders at annual luncheon http://t.co/QgiObE3YQW via @culturemap
1708758722_393388522779856896 x	RT @cyfairchamber: Get  Involved in Planning for the Growth of  the Cy-Fair Area  http://t.co/OuRAONjj4Y http://t.co/MqTLGFGM0f
1708758722_393388312058011652 x	RT @AARP: Brushing up on your Twitter skills? New guide from @nytimes: http://t.co/H22rAIs27m & more extensive resources here: http://t.co/?
1708758722_393387731260166144 x	RT @VRFreeney: Thanks4following? @eheadle @stephanieodea @Texas_Hunger @malik_kamal200 @jvcfamilymed @ShopAtAvis @iamscribe82
1708758722_393013205057798144 x	We just launched a contest on http://t.co/IUX1juYMEY. Let us know what you think. http://t.co/NcrMSVrwTj via @logobids
1708758722_392817440419106816 x	RT @TexasWomen: TY for #txconfwomen tweets! @afogarty2005 @melrobbins @deliaephron @VRFreeney @FireHer @CarmenValls @jvcfamilymed @hollygor?
1708758722_392729864437895169 x	Quickly and Accurately Evaluate Your Mental State  Testing for mental and physical health issues like:  *... http://t.co/ZCRvlJVZ1t
1708758722_392464545802772480 x	RT @Nick_Mathews: Case Keenum deserves another start for the #Texans, writes @randyharvey. http://t.co/BX2kfFDTPD
1708758722_392464480992391168 x	RT @TexasWomen: Almost 300 people registered for the Nov. 17 #txconfwomen in the last week alone! Did you? http://t.co/h5JWlS7ouB
1708758722_392125987992764417 x	RT @KHOUweather: Mother nature is turning up the thermostat a little more tonight. 40 degree numbers are replaced by 50?s.#KHOU http://t.co?
1708758722_390910350201085952 x	Can Obesity Help Older People With Type 2 Diabetes http://t.co/r20Gp9fQ4Y
1708758722_390909336299372544 x	How Much Alcohol In Your Drink? Stronger Beverages http://t.co/rONJkChgEw
1708758722_390905293535993856 x	Understanding Allergies and Asthma Allergies. Asthma. These closely related illnesses affect millions of... http://t.co/lO5hqR3HTG
1708758722_390585273764954112 x	RT @HoustonTexans: #Texans rookies spent Tues. morning w/ 50 kids @ the Hometown Huddle @nfl initiative. Photos: http://t.co/7deqwJzHwm htt?
1708758722_390193490040090624 x	http://t.co/gxRCTq89VZ http://t.co/gxRCTq89VZ
1708758722_390192748596572161 x	Cy-Hope sets 13th annual Judy Dierker Holiday Market for Sept. 18 http://t.co/6E0Isn3aBZ
1708758722_390192606463795202 x	Cy-Hope sets 13th annual Judy Dierker Holiday Market for Sept. 18 - Houston Chronicle http://t.co/Bl1M1XjyVJ via @HoustonChron
1708758722_390123338334367746 x	Thanks for the follow @jlhs0573 @kim_davis3 @concoctologist @AProfota @EGMNRay @FordFox26 @Parentng @Jonan_geogeo @joshingstern @kledet0708
1708758722_390116107064856576 x	These 13 houseplants could keep your air healthy: http://t.co/PoywQbF5Mo
1708758722_390115943533535232 x	Best and worst Halloween candy for your teeth http://t.co/QEL6eRWgTN
1708758722_390114132457832448 x	RT @SandyAlz: A Baby-doll and Chocolate Soothe Angry Alzheimer's Patient - Will it work for your loved one - -- Alzheimers... http://t.co/L?
1708758722_390113648737546240 x	Flu and You Warning signs for children: * Fast breathing or trouble breathing * Blush skin color * Not... http://t.co/khY8RguaH7
1708758722_390110137379065856 x	RT @cyfairchamber: Partnering with the Community for Business Success http://t.co/wBnH6jhe6n http://t.co/0So1sHbVzy
1708758722_390110082660175872 x	RT @FordFox26: Go away rain!  I don't have my raincoat with me @MyFoxHouston #fox26forlife http://t.co/uEbeoEoIW6
1708758722_390109016544018432 x	Parenthood May Reduce Diabetes-Related Death Risk, Study Suggests - MedicineNet http://t.co/3xluBFzzRu
1708758722_388651652724445184 x	Concussion Symptoms in Teen, Young Adult Athletes http://t.co/1o7tbP7pY5
1708758722_388651555731161090 x	Doctors Want to Provide Best Care Possible http://t.co/diKr6qsOwo
1708758722_388650616731348992 x	Treat Unhealthy Habits Before Damage is Done http://t.co/OQWBBf8s6Y
1708758722_388650479774756865 x	Working Through Lunch May Feel OK... http://t.co/4FimyrPbcm
1708758722_388650327576035329 x	@center_health thanks for the follow
1708758722_388650200970973184 x	@GlenshireHomes thanks for the follow
1708758722_388650105751879681 x	@concoctologist thanks for the follow
1708758722_388649055288446976 x	@ColesCrossingTX thanks for the follow
1708758722_388649002465378305 x	@kledet0708 Thanks for the follow
1708758722_388648903760805888 x	@gentlesax Thanks for the follow
1708758722_388648840917557249 x	@LisaKiftTherapy Thanks for the follow
1708758722_388365763930619904 x	@FordFox26 thanks for the follow!
1708758722_388022902840254466 x	It's flu season time. Schedule your vaccination shot today.
1708758722_387651185999478784 x	RT @Htowncheapeats: RT @fusiontaco: @SouthernStarBC Beer Dinner - Oct. 16th 6p-9p [$38] - Reception 6p-7p $3 Bombshell Blondes+Free Snacks ?
1708758722_387255828975087616 x	RT @khouron: The awesomeness that is Houston in October #nirvana http://t.co/LKzZeujXCx
1708758722_387254802234634241 x	5 Ways Your Employer Might Change Your Coverage http://t.co/efCxqKlI3Y
1708758722_387254186946985984 x	Healthy Eating Pictures Slideshow: Fat-Fighting Foods on http://t.co/BLM8BFTOz0 http://t.co/XTWTO0k5DX
1708758722_387254049004716032 x	http://t.co/JzVPcTxDfA
1708758722_387253947741638656 x	Health Tip: Practice Good Seat Belt Habits http://t.co/uZMtOvlXMx
1708758722_387253557583302658 x	Uninsured Workers Get Health Coverage http://t.co/dOWauV7D10
1708758722_387248967370547200 x	Want to find out about who multivitamins and supplements can help you feel better. Watch this video http://t.co/MyCQ681rt6
1708758722_387245778177363968 x	Dr. Jason DeMattia talks about the benefits of multivitamins  and supplements. They have been designed by... http://t.co/lQuWxf2yZ1
1708758722_387050135856771072 x	RT @DeepSlant: And here comes Yates...
1708758722_387044993602289664 x	RT @KPRCLocal2: Kim Krueger took beautiful pic of Sunday sunset. Should be a clear sunrise in hi 40s & 50s. Frank's Fcst after game. http:/?
1708758722_387044768519159808 x	RT @KHOUweather: Houston Forecast: Fall weather continues Monday: The fall-like weather brought on by this weekend's c... http://t.co/ftFRU?
1708758722_387044067239944193 x	RT @AARP: Need helping coordinating care for your loved one? Many Strong can help with that! Create an account now http://t.co/RGeAe4SRAX #?
1708758722_387043448336814080 x	RT @CyFairMagazine: Not sure what to do with the kiddos tonight? We got ideas: http://t.co/9kQGhvYOcc
1708758722_387043269982420993 x	RT @FordFox26: Beautiful #Autumn day along Cypress Creek NW Harris Co.  #loveit @MyFoxHouston #fox26forlife http://t.co/miRKGUuyt2
1708758722_386984189230579713 x	Sleep And Stress Health Tips http://t.co/0ECPvaHtwM
1708758722_386982141399023617 x	Texans bypass website glitches to get health care - KSLA News 12 Shreveport, Louisiana News Weather & Sports http://t.co/e0Wa4YNl2a
1708758722_386981738528116736 x	Texans Warned About Whooping Cough - Health News - ABC News Radio http://t.co/IiLB6LozbZ
1708758722_386981656076120064 x	Texans Warned About Whooping Cough http://t.co/eXVDFJJVzp
1708758722_386925445981016065 x	The cold front finally made it to Houston and cooler temps are here! Enjoy the day outside with your family.
1708758722_386169228178751488 x	Are you sneezing more this week? Ragweed pollen count continues to rise dramatically. Last weeks rain helped.... http://t.co/CahidOECKa
1708758722_385013739268734976 x	RT @FOX26Michelle: Happy Tuesday...Thanks for the follow! @cpfisterer81 @Cerdafier @XakSullivan @jvcfamilymed @IsaacsES_HISD @ExecMomsSocie?
1708758722_384730467099885568 x	@BrownValarie Thanks for the follow. Keep me posted on what's going on in Cy Fair @CyFairMagazine
1708758722_384729981047148544 x	@LibertyBritt Thanks for the follow. Looking forward to your tweets.
1708758722_384419916146671616 x	J.J. Watt should swing by tomorrow and let us take a look at that bloody nose. #Texans
1708758722_383639865306660864 x	Are sneezing more this week? Ragweed pollen count continues to rise dramatically. Last weeks rain helped. #KHOU... http://t.co/IPbJUsfYvZ
1708758722_383639339651317760 x	Late Retirement May Prevent Dementia http://t.co/4GOCVv6sl6
