1716167822_395536901291393024 x	Damn we got stomped....good to c drose bak in any case
1716167822_395320068977881088 x	#chicagobulls#nbachamps!!!!!new season baby
1716167822_395317950833385473 x	Openin night baby
1716167822_394585324317192192 x	Da skins lookin pretty good against da peyton broncos wonder how long dey can keep it up
1716167822_394584868958384129 x	It was horrible i tellya da gmen only beat us by a touchdown wit our 3rd stringer...im not as down as i should b afta a loss
1716167822_394545555134640128 x	Just joined #musicforgood on @ReverbNation - now 1/2 of our song sales are donated to @OxfamAmerica http://t.co/W0HadZpfwQ
1716167822_394480745718480896 x	Ready to take out da gmen
1716167822_394479784925093890 x	Gmornin football!!!!!
1716167822_394102867919126528 x	Ay im jus sayin da rockets r lookin pretty good in preseason n dont laugh but da pistons may sneakup on folks dis season
1716167822_394101657178734592 x	Hello n gmornin playas n playettes
1716167822_393860154027823104 x	Chicago bulls alldaway dis year buddy...d rose is back ok#anuvabullschip
1716167822_391997139313643520 x	Just joined #musicforgood on @ReverbNation - now 1/2 of our song sales are donated to @OxfamAmerica http://t.co/W0HadZpfwQ
1716167822_390124488420900864 x	Startin a new journey in my life im nervous and excited!!!!wish me luck
1716167822_389753466446692352 x	@stephenasmith happy bday to da boss of espn my main man stephen a smith
1716167822_389590668332777472 x	Looks like my sunday wish aint comin thru...thanx redskins!!!!
1716167822_389564513915531266 x	Again ima eagle alldaway but i gotta go 4da skins ova da cowgirls..dont like eitha team by virtue ofda nfc east but wed b numba1 if dey lose
1716167822_389536960181989376 x	N hello da saints played perfect defense ondat last play but tom damnit brady made da ultra perfect throw dat was pretty amazing
1716167822_389536550511738880 x	Wow pats v saints was fantastic...down 2da last sec n tom brady saves da day...i was goin for da saints but da game was wow
1716167822_389495160670662656 x	Yessir dem eagles took care if bidness 2day but we seriously needa tighten up on defense
1716167822_389481446789771264 x	Ravens v packers has ben good alldaway thru great game!!!!
1716167822_389467951872487424 x	We fightin hard today les go eagles
1716167822_389438524077793280 x	RT @Eagles: LeSean doing LeSean. #FlyEaglesFly
1716167822_389438370721452032 x	RT @KevinHart4real: I just want to take a timeout from what I'm doing today to say "THANK YOU GOD" you truly are amazing. I'm thankful for ?
1716167822_389438267063410688 x	RT @espn: Dear Football,  Sundays wouldn't be complete without you.    Sincerely,   NFL Fans
1716167822_389438194904625152 x	RT @HipHopGoldenAge: Rap is something you do, Hip Hop is something you live #KRSOne http://t.co/vmcuEe7Cx4
1716167822_389428628443762688 x	Ima eagles fan alldaway ok!!!but im def pullin 4da vikings to win...#adrianpetersonisawarrior
1716167822_389428139622805504 x	What!!!!!adrian peterson is still gunna play!!!???i know for a fact i wouldnt b able to...i already respected him now its thru da roof!!!
1716167822_389403976237477889 x	RT @UncleRUSH: Take the wheel. Take control of your life.
1716167822_389403153604419586 x	RT @UncleRUSH: Keep pushing forward no matter what sort of obstacles you face
1716167822_389403107311906816 x	RT @36westbrook: Football Sunday
1716167822_389402014947364864 x	RT @WarrenSapp: Happy birthday Jesus in cleats @JerryRice
1716167822_389398594601512962 x	RT @Rachel__Nichols: This gets worse. RT @EyeOnNFL Man accused of beating Adrian Peterson's son had previously beaten 3-year-old http://t.c?
1716167822_389398322479255553 x	@HuffingtonPost i think mileys like madonna n ppl probly wont agree wit most things she does shes a free sexual spirit n most just arent
1716167822_389396092623659010 x	Joseph patterson deserves to be let go n jus letda streetz handle him!he dont deserve a bed n 3meals a day im sorry but prisons to good 4him
1716167822_389395361258684416 x	Be careful who u let take care of ur kids man
1716167822_389394675624198144 x	Id like to give a love shout out to adrian peterson whos dealin wit sumthin no parent should hafta deal wit
1716167822_389350177200287744 x	Just joined #musicforgood on @ReverbNation - now 1/2 of our song sales are donated to @OxfamAmerica http://t.co/W0HadZpfwQ
1716167822_387027667188736000 x	San fran is goin hard...but im very proud to be an eagle baby...good job fellas
1716167822_386936633058029568 x	Just joined #musicforgood on @ReverbNation - now 1/2 of our song sales are donated to @OxfamAmerica http://t.co/W0HadZpfwQ
1716167822_385882125179691008 x	@stephenasmith stephen a....ur da man playboy....u represent us well my man...n by us im talkin bout us inda hood..da less fortunate.thanx!
1716167822_385879214848618496 x	#pti#aroundthehorn#firsttake#sportcenter#sportsnation n #numbersneverlie n oh yea #dadada dadada
1716167822_385878500873220096 x	#da da da da da da
1716167822_384276406286290944 x	Just joined #musicforgood on @ReverbNation - now 1/2 of our song sales are donated to @OxfamAmerica http://t.co/W0HadZpfwQ
1716167822_382202685312622592 x	Check out "Soul" by Noble Ruffin for Awkward Productions - http://t.co/dJ32QHdgYe
1716167822_382199902576467970 x	Check out "K.D.B feat Jus Wise" by Noble Ruffin for Awkward Productions - http://t.co/qyzekGgGgf
1716167822_382199536011063297 x	id like to invite u all n2 a more classic world of awkward p...mr versatile is a vintage album with a very soulful base hope u all enjoy
1716167822_382198587926380545 x	Check out "The Specialist feat Sleep Po" by Noble Ruffin for Awkward Productions - http://t.co/tJBr0auNDv
1716167822_382194112515936256 x	Posted a new song: "I Am...Poem" http://t.co/VEoTbKmtDl #music
1716167822_382193639775956992 x	Posted a new song: "The Specialist feat Sleep Po" http://t.co/jgvyBnPsHN #music
1716167822_382193163449794562 x	Posted a new song: "Mr V Skit4" http://t.co/2MCWEegukm #music
1716167822_382192754488406016 x	Posted a new song: "Tribute feat Sonofagun" http://t.co/jLLvlug5PA #music
1716167822_382192145458667520 x	Posted a new song: "K.D.B feat Jus Wise" http://t.co/HdOV273Z4I #music
1716167822_382191723763359744 x	Posted a new song: "Mr V Skit3" http://t.co/wRcwPAH1mZ #music
1716167822_382191361618767872 x	Posted a new song: "Speechless" http://t.co/S6pWgbuIEC #music
1716167822_382190711342256128 x	Posted a new song: "Soul" http://t.co/Br19f3wBGT #music
1716167822_382190131366473728 x	Posted a new song: "Fallen Fruit feat Broken Sword" http://t.co/4zezGf0MHe #music
1716167822_382189669057712128 x	Posted a new song: "City Emotions" http://t.co/jTbOAXxYTA #music
1716167822_382189301724758016 x	Posted a new song: "OKAY feat Sonofagun,Arch Bishop" http://t.co/KmKG2eZdkn #music
1716167822_382188923310460929 x	Posted a new song: "Mr V Skit2" http://t.co/3v8tLdCorl #music
1716167822_382188546334810112 x	Posted a new song: "On My Knees" http://t.co/CtIkMfTI16 #music
1716167822_382188184009863168 x	Posted a new song: "Plantation" http://t.co/9k5S07ah5z #music
1716167822_382187806887387136 x	Posted a new song: "Spoken Word feat Arch Bishop,Broken Sword" http://t.co/rhnh3TW6CH #music
1716167822_382187282758762496 x	Posted a new song: "Just Wont Stop feat Jus Wise" http://t.co/yhnGGcNxF8 #music
1716167822_382186882286637056 x	Posted a new song: "Mr V Skit1" http://t.co/tnTEEQchoZ #music
1716167822_382186526735491072 x	Posted a new song: "Good N Evil... Broken Sword" http://t.co/33Z4JLAEsW #music
1716167822_382185990137208833 x	Posted a new song: "Pave Da Way" http://t.co/XhBVllTLPC #music
1716167822_382185557012381696 x	Posted a new song: "Cant Stop My Flo" http://t.co/GAxqI5qTJZ #music
1716167822_382185094561009665 x	Posted a new song: "Mr Versatile Ntro" http://t.co/CHKiASoAfY #music
1716167822_382184655182516224 x	Posted a new photo: "" http://t.co/QB0gpvRbn0
1716167822_381739425845112832 x	Just joined #musicforgood on @ReverbNation - now 1/2 of our song sales are donated to @OxfamAmerica http://t.co/W0HadZpfwQ
1716167822_381525279090671616 x	RT @hiphopcasino: #Salute @nobleruffin @DJGTV @CoryBux @thisgiirrl_xoxo N check out dope visuals=> http://t.co/TmLsoxfek2 (via http://t.co/?
1716167822_380470300049420288 x	Checkout da new app for awkward p great music for hartford ct doin it for da love baby...can u dig it
1716167822_380469452892307456 x	http://t.co/UVU5am2SZa
1716167822_380464969524846593 x	Check out ""IN LOVE" AVAILABLE ON ITUNES" by MARVALESS - http://t.co/Zf9114IeDl
1716167822_380467223976226816 x	@JStarBeats good look son but i make all my own beats playa chek it out on http://t.co/Bn0mO6Mu12 lemme no watchu think..
1716167822_380463740602159104 x	Check out "Exquisite " by Picture Perfect Clique - http://t.co/OUIVflz54H
1716167822_380461833867370498 x	Check out "Long Live The K" by G.L. Fresh K - http://t.co/mfiYz9ej8L
1716167822_380458966817333248 x	Check out "INK POISONING" by ETERNAL OF WEST COAST KILLA BEEZ - http://t.co/GhQ9tZKjh7
1716167822_380428228151631872 x	Posted a new song: "Undun Instromental" http://t.co/x8Rm7Qkhz4 #music
1716167822_380427361931390976 x	Posted a new song: "Da Motts Instromental" http://t.co/g13pJyRTRP #music
1716167822_380426428832968704 x	Posted a new song: "Baby boy instomental" http://t.co/wd7FlvvDWn #music
1716167822_380421016108806144 x	Check out "By Need feat Arch Bishop" by Noble Ruffin for Awkward Productions - http://t.co/CIMdbMmeuJ
1716167822_380420464935329792 x	Check out "Warning feat Broken Sword,Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/wL0GYaanDd
1716167822_380419982460321792 x	Check out "King Of Soul" by Noble Ruffin for Awkward Productions - http://t.co/Sm8SQ8qSow
1716167822_380419573008179200 x	Check out "Bidness As Usual feat Jus" by Noble Ruffin for Awkward Productions - http://t.co/4mqFFgbdKl
1716167822_380419197466980352 x	Check out "At Peace" by Noble Ruffin for Awkward Productions - http://t.co/1ev8SMMM2u
1716167822_380418803873501184 x	Check out "Day To Day feat Mayback" by Noble Ruffin for Awkward Productions - http://t.co/eG8fseuprW
1716167822_380418520120426496 x	Check out "Its Me feat Delf" by Noble Ruffin for Awkward Productions - http://t.co/qv0ZWcgTqO
1716167822_380418138380066816 x	Check out "Hip Hop Biz feat Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/QNUH0sugwA
1716167822_380417663849095168 x	Check out "Be Alone Instromental" by Noble Ruffin for Awkward Productions - http://t.co/IO0wseQAfo
1716167822_380383018780983296 x	Id like to wish a very happy and special birthday to my beautiful niece deja...bka Aaliyah...miss u baby hope u hava fun safe day...i love u
1716167822_380380918407389184 x	@Superstar_Kay21 good look son but i make all my beats n im very picky bout wat i hop on
1716167822_380379069994393600 x	Check out "Streetz Is Where I Live" by Noble Ruffin for Awkward Productions - http://t.co/ZJGWDkCZBu
1716167822_380378110236954625 x	Check out "U Can Get It feat Arch Bishop" by Noble Ruffin for Awkward Productions - http://t.co/86cjIMWb0i
1716167822_380376416790929408 x	Check out "Move Instromental" by Noble Ruffin for Awkward Productions - http://t.co/LNCQXCVc91
1716167822_380375200329510912 x	Check out "Line 4 Line feat Sleep Po" by Noble Ruffin for Awkward Productions - http://t.co/dJixMxlSej
1716167822_380374339927166976 x	@PlatinumDJG watup playa
1716167822_380373989719158784 x	Check out "Studio feat Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/JGZFYlBRLm
1716167822_380372539005886464 x	Check out "U like My Style" by Noble Ruffin for Awkward Productions - http://t.co/E1ugyAPEun
1716167822_380369530645528577 x	Check out "Pages feat Face" by Noble Ruffin for Awkward Productions - http://t.co/f29ldibjQh
1716167822_380368383264296960 x	Check out "Hey Girl Girl feat Ceemore Bellz" by Noble Ruffin for Awkward Productions - http://t.co/WUpnX7pwTW
1716167822_380365226312351745 x	Check out "Party Rock feat Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/BCJ49FTGUc
1716167822_380362814793080832 x	Check out "Feedback feat Sleep Po,Delf,Broken Sword" by Noble Ruffin for Awkward Productions - http://t.co/7vUlplCJ7Q
1716167822_380361260975403008 x	Check out "Cant Stop feat Arch Bishop" by Noble Ruffin for Awkward Productions - http://t.co/GgSvCz5ley
1716167822_380360482617430016 x	Check out "My girl skit" by Noble Ruffin for Awkward Productions - http://t.co/Uc1d7ge3Ex
1716167822_380359839316074497 x	Check out "Mo Flava feat Arch Bishop" by Noble Ruffin for Awkward Productions - http://t.co/mbwvv4NsmB
1716167822_380359085930987521 x	Check out "Lil Ladies feat Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/2DLSbogcJR
1716167822_380358581188440064 x	Check out "Cant Miss feat Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/MHhLvsOTLW
1716167822_380358053595324416 x	Check out "No Sunshine feat Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/vvw1EYP7E6
1716167822_380357616087465986 x	Check out "Correction feat Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/AzxYo5ngsA
1716167822_380357224339492864 x	Check out "Next Move feat Noble Ruffin,Sleep Po" by Noble Ruffin for Awkward Productions - http://t.co/5am3qcwW6P
1716167822_380356905861787648 x	Check out "Shadow Dancer feat Broken Sword,Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/3IyQJG6EQm
1716167822_380356578559275008 x	Check out "O.J. feat Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/LQjjzZu4Bg
1716167822_380356232709562368 x	Check out "Havyaway feat Broken Sword" by Noble Ruffin for Awkward Productions - http://t.co/xdtKlAzAar
1716167822_380117576619020288 x	Check out "Hungry" by FUNCKSHAUN - http://t.co/mRXJHEGpuk
1716167822_380116301470908417 x	Check out "Foot Steps" by FUNCKSHAUN - http://t.co/BF3jPhCtml
1716167822_380115720652079105 x	Check out "Was It Worth It" by FUNCKSHAUN - http://t.co/OV0SB5jOzQ
1716167822_380114981628301312 x	Check out "Stomp It Out" by FUNCKSHAUN - http://t.co/cci3MCAH5X
1716167822_380114368890806274 x	Check out "Beautiful Girl" by FUNCKSHAUN - http://t.co/vmmkRUUzl0
1716167822_380113848469962753 x	Check out "Something For The Radio" by FUNCKSHAUN - http://t.co/bHXJSo9HRN
1716167822_380113423863779328 x	Check out "Armageddon" by FUNCKSHAUN - http://t.co/DOhactUxrr
1716167822_379997383087894528 x	RT @Twinkie35: @photoartsheri @Samuel09449840 @UKNOWHOITIZ_NYC @nobleruffin @B_RayOfficial @NAPocMusic What's up!!!!! Just followed all of ?
1716167822_379658432590004224 x	Check out "No Gimiks" by FUNCKSHAUN - http://t.co/t1XBveOIX7
1716167822_379657535944282112 x	Check out "Take Over" by FUNCKSHAUN - http://t.co/hUd8pvbrxm
1716167822_379656830240051200 x	Check out "Hip Hop 4 Ever" by FUNCKSHAUN - http://t.co/DQiMsRgZXz
1716167822_379656345500139520 x	Check out "Light The Flame" by FUNCKSHAUN - http://t.co/mpMrFmLn5I
1716167822_379655795287134208 x	Check out "Listren Up" by FUNCKSHAUN - http://t.co/vrIsQ1oTbf
1716167822_379655460132896768 x	Check out "Just Because" by FUNCKSHAUN - http://t.co/mgaGWZKhmX
1716167822_379655172625948672 x	Check out "Going Crazy" by FUNCKSHAUN - http://t.co/CCxmjZgaDy
1716167822_379654908095389697 x	Check out "And Ya Don't Stop" by FUNCKSHAUN - http://t.co/EmSQly6A3q
1716167822_379654516762628096 x	Check out "Danger" by FUNCKSHAUN - http://t.co/YM2RZee7vs
1716167822_379651295637807104 x	We're number 15 on the ReverbNation Hip Hop charts for Hartford, CT. http://t.co/I0PvTl7jgG
1716167822_379651198967504896 x	We're number 3149 on the ReverbNation Hip Hop charts for US. http://t.co/I0PvTl7jgG
1716167822_379651121188331520 x	We're number 4423 on the ReverbNation Hip Hop charts. http://t.co/I0PvTl7jgG
1716167822_379651046567456768 x	We're number 26692 on the ReverbNation charts. http://t.co/I0PvTl7jgG
1716167822_379314717577064448 x	Just joined #musicforgood on @ReverbNation - now 1/2 of our song sales are donated to @OxfamAmerica http://t.co/W0HadZpfwQ
1716167822_378977297480835072 x	@TeamRocMarci gud look ondat also homie i got mo goodness for ya ears man chek me out on reverbnation my man guaranteed fresh playa
1716167822_378984461297532928 x	@TeamRocMarci i can dig it playa u on reverb
1716167822_378984047739174912 x	RT @MarkJackson13: ?@JamarDJakes: "Never let people who won't pay the cost to do what you did, critique the outcome! Keep it moving!!!"?PRE?
1716167822_378983803483873281 x	RT @nate_robinson: I was @mr_2eight1 for a day check me out ... It's my bday too #holdat http://t.co/PXJpdAWfXq
1716167822_378975828844888064 x	Check out "Havyaway feat Broken Sword" by Noble Ruffin for Awkward Productions - http://t.co/xdtKlAzAar
1716167822_378974887852797952 x	Check out "Its So Hard" by Noble Ruffin for Awkward Productions - http://t.co/RaSDtQfEdF
1716167822_378973869182160896 x	Check out "Streetz Dont Love Me feat Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/4LeGMFpM2N
1716167822_378972837223997440 x	Check out "Wasteland feat Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/oyxmpffhWG
1716167822_378972117854724096 x	Check out "Good Ole Days feat Mayback" by Noble Ruffin for Awkward Productions - http://t.co/DNPDO8xv8D
1716167822_378971060256768000 x	Check out "Final Cut - Instrumental" by @deoproductionz - http://t.co/t5klL1O8Hy
1716167822_378970380670484480 x	Check out "Hood Anthem - Instrumental" by @deoproductionz - http://t.co/UVpcBHd7AS
1716167822_378969677914841089 x	Check out "Late Night - Instrumental" by @deoproductionz - http://t.co/prwQFDFGNA
1716167822_378968459830235136 x	Check out "Military War Channel - Instrumental" by @deoproductionz - http://t.co/JY7U0VXJ3F
1716167822_378967769263255552 x	Check out "Missed Calls - Instrumental" by @deoproductionz - http://t.co/hv5jXtbOpR
1716167822_378967223131312129 x	Check out "Money Machine - Instrumental" by @deoproductionz - http://t.co/qb0ctHlO3N
1716167822_378966514340089857 x	Check out "Never Heard B 4 - Instrumental" by @deoproductionz - http://t.co/hiNyt7LNok
1716167822_378966486507069440 x	RT @TeamRocMarci: @nobleruffin Good Ole Days is a dope song!
1716167822_378966462607941632 x	@TeamRocMarci thank u son!!!
1716167822_378965679514210304 x	Check out "Next Selection  - Instrumental" by @deoproductionz - http://t.co/G7xG5cQ4II
1716167822_378965252634705920 x	Check out "One Take Only - Instrumental" by @deoproductionz - http://t.co/PkeTIq4b44
1716167822_378964903584747520 x	Check out "Real Music - Instrumental" by @deoproductionz - http://t.co/vrcfvlFXxx
1716167822_378964579360858112 x	Check out "Scareface Rise 2 Power - Instrumental" by @deoproductionz - http://t.co/bUrl7U7k4x
1716167822_378963605187604480 x	We're number 16 on the ReverbNation Hip Hop charts for Hartford, CT. http://t.co/I0PvTl7jgG
1716167822_378963529060978688 x	We're number 3001 on the ReverbNation Hip Hop charts for US. http://t.co/I0PvTl7jgG
1716167822_378963395342389248 x	We're number 4202 on the ReverbNation Hip Hop charts. http://t.co/I0PvTl7jgG
1716167822_378963301176049664 x	We're number 25312 on the ReverbNation charts. http://t.co/I0PvTl7jgG
1716167822_378563481558999040 x	https://t.co/Nedkzajbei
1716167822_378562625455419393 x	https://t.co/303Q0YdcZd
1716167822_378558159884783617 x	Check out "2012 Intro" by ARCH BISHOP - http://t.co/scAHjA9kO2
1716167822_378555602324029440 x	Check out "Line 4 Line feat Sleep Po" by ARCH BISHOP - http://t.co/FXZbuPpwbq
1716167822_378553800711077889 x	Check out "Da King" by ARCH BISHOP - http://t.co/vppfyd2Ci4
1716167822_378552547083964416 x	Check out "8Bar Skit2" by ARCH BISHOP - http://t.co/R9EGtvOBLX
1716167822_378551402982682624 x	Check out "Next Move feat Noble Ruffin,Sleep Po" by ARCH BISHOP - http://t.co/L0F1YVrshQ
1716167822_378549919998427138 x	https://t.co/HT3u7t4cWl
1716167822_378549333974458368 x	Check out "Da Course feat Noble Ruffin" by ARCH BISHOP - http://t.co/N7Xty8tyg2
1716167822_378548070608166912 x	Check out "Not A Test" by ARCH BISHOP - http://t.co/xV2Elg9nNo
1716167822_378546713310400513 x	Check out "Whirlwind Tunnel feat NobleRuffin" by ARCH BISHOP - http://t.co/CLFVd1OG2b
1716167822_378545228245766144 x	Check out "8Bar Skit 3" by ARCH BISHOP - http://t.co/xddyvAuRvc
1716167822_378544243721003010 x	Check out "2012 skit3" by ARCH BISHOP - http://t.co/1rH0XrW3vB
1716167822_378543191776972801 x	Check out "Lil Ladies feat Noble Ruffin" by ARCH BISHOP - http://t.co/IHR8Blrvni
1716167822_378542252307382272 x	Check out "2012 skit4" by ARCH BISHOP - http://t.co/kRdU9vP9JG
1716167822_378541504974688257 x	Check out "2012 Skit5" by ARCH BISHOP - http://t.co/xSn0AaGrL3
1716167822_378540609448849408 x	Check out "Correction feat Noble Ruffin" by ARCH BISHOP - http://t.co/EqdXk38XWL
1716167822_378539694356570113 x	Check out "No Sunshine feat Noble Ruffin" by ARCH BISHOP - http://t.co/86VrbQlY6U
1716167822_378538865302056962 x	Check out "Cant Miss feat Noble Ruffin" by ARCH BISHOP - http://t.co/qXalQNIqXm
1716167822_378538111174598657 x	Check out "O.J.feat Noble Ruffin" by ARCH BISHOP - http://t.co/8FFEN9o23E
1716167822_378537426433478656 x	Check out "2012 Skit6" by ARCH BISHOP - http://t.co/YWLTATkAPo
1716167822_378536698440720385 x	Check out "Shadow Dancer feat Broken SwordSword,Noble Ruffin" by ARCH BISHOP - http://t.co/h6UP8M5Wqc
1716167822_378535960322924544 x	Check out "Wasteland feat Noble Ruffin" by ARCH BISHOP - http://t.co/IHA4o7SphT
1716167822_378534836144586752 x	Check out "Fritstyle Free" by ARCH BISHOP - http://t.co/SPRx3CvztW
1716167822_378534029680603136 x	Check out "Gifted" by ARCH BISHOP - http://t.co/PX1bSLEHMw
1716167822_378533174340370432 x	We're number 17 on the ReverbNation Hip Hop charts for Hartford, CT. http://t.co/I0PvTl7jgG
1716167822_378533092589191168 x	We're number 3069 on the ReverbNation Hip Hop charts for US. http://t.co/I0PvTl7jgG
1716167822_378532959445209088 x	We're number 4312 on the ReverbNation Hip Hop charts. http://t.co/I0PvTl7jgG
1716167822_378532860174426112 x	We're number 25838 on the ReverbNation charts. http://t.co/I0PvTl7jgG
1716167822_377997632389804032 x	RT @funkmasterflex: NBA: Miami Heat Sign Michael Beasley - http://t.co/EWmVQ6ls3j #IFWT
1716167822_377960291440799744 x	If ur doin music n ur hearts not in it it will show...
1716167822_377959943934316544 x	We need real music soul music n real hip hop for a real fix of real music #eastcoastStyle chekout #NobleRuffin on reverbnation!!Hartbeat Ct
1716167822_377890640681381888 x	Check out "Streetz Dont Love Me feat Noble Ruffin" by Noble Ruffin for Awkward Productions - http://t.co/4LeGMFpM2N
1716167822_377886571082420224 x	Check out "Good Ole Days feat Mayback" by Noble Ruffin for Awkward Productions - http://t.co/DNPDO8xv8D
1716167822_377879355193446400 x	Check out "True Life - Instrumental" by @deoproductionz - http://t.co/dkLxsx3xCK
1716167822_377878038634971136 x	Check out "When I Cry - Instrumental" by @deoproductionz - http://t.co/QohoXoAUfs
1716167822_377876647304650752 x	Check out "Usually I'm drug free- Instrumental" by @deoproductionz - http://t.co/iGn7en3KOq
1716167822_377875287754567680 x	Check out "Bounce Of The Sity- Instrumental" by @deoproductionz - http://t.co/htmSntZA5m
