17899839_390154282210557952 x	The band @INFINITYBOYS4  http://t.co/HaAPAho3P7
17899839_396410219552440323 x	Paul Anthony Ciancia Identified As LAX Shooting Suspect http://t.co/ylKSHkxYT5 via @HuffPostCrime
17899839_396351707828871168 x	http://t.co/3wGGvMHKrw  John Mulhern ROCKS!
17899839_396049349739683840 x	Happy Halloween!!!!!!!!!
17899839_395619010047266816 x	Guy Fieri's Violent Fight With Hairdresser Caught On Tape http://t.co/ifH9H3MxrC via @HuffPostCeleb
17899839_395617092726046720 x	@BobCooney76 A.I. pound for pound the greatest NBA player  EVER! No Brag  Just fact!
17899839_395616887138025473 x	RT @MBarkannCSN: Most important I wanna thank my kids. In this profession you have no idea how hard it is to try to be a perfect man when y?
17899839_395615106823778304 x	RT @latimes: RT @Jimmyorr Fargo, N.D., woman says she will hand out letters to overweight children on Halloween instead of candy http://t.c?
17899839_395614993774686208 x	Make sure u follow @theSEENonline as well as one of my favorite new groups @INFINITYBOYS4 Supporting amazing new talent on my new website!
17899839_395614802757701632 x	@CindyMargolis  http://t.co/WbqV3PtZH0
17899839_395614714652160000 x	RT @UMG: NEW behind the scenes edit of @PaulMcCartney?s session with @bangolufsen out now! #whatsnew #bangolufsenlivingroom http://t.co/9nn?
17899839_395614325093580800 x	http://t.co/1aRggd1HHq
17899839_395598800531640320 x	@GMA @ABC  here we go again  sick bastards out there!  :(
17899839_395598715458555904 x	RT @GMA: Boy reports finding razor blade in #Halloween candy: http://t.co/0pk7RQGk94 (via @ABC)
17899839_395589388404408320 x	RT @TiffanyAlvord: I will love you UNCONDITIONALLY <3 http://t.co/48cIMgqfZ6 http://t.co/gfppDXwnCS
17899839_395588929883099136 x	@c_herren @paulsohard22 keep up the great work Chris  JFT!
17899839_395586896199303168 x	RT @BrentSpiner: RT @Rdsknsfan3: @BrentSpiner  I see a point behind you pointing out all the shootings, or am I wrong?--yeah, just like to ?
17899839_394970149339402240 x	RT @SonyPictures: Only 3 days left until the spookiest day of the year! http://t.co/Z2s510DJfU
17899839_394624264889851904 x	RT @TrentHindman: ...Jonathon Ziegelman at Racelite Protection, Jim Altemus of Altemus Prime Communications, and my great coach Jonatan Jor?
17899839_394624216445628417 x	@us_carinsurance Jonathon Ziegelman rocks!
17899839_394624140969115648 x	RT @us_carinsurance: Check out our latest blog post: Q&a With Formula Race Car Driver Jonathon Ziegelman http://t.co/kHrlTnI
17899839_394229935184699392 x	Don't promote just your business or product, promote YOURSELF!  People don?t connect with logos, products, brands, they connect with YOU!
17899839_394229204998291456 x	RT @JennaMorasca: Oh that's awesome. How fun was the energy in the crowd? @SunshineCLF: @JennaMorasca I was there.  It was fabulous!?
17899839_394193086936395776 x	RT @TheXFactor: WOW! Is @SamBaileyREAL Britain's @celinedion? #XFactor http://t.co/8IuQmRkkG6
17899839_393886016076931072 x	@FashionSnag JR  thanx for the Follow  :)
17899839_393885788691103744 x	@FRANCESCA_N_x @JasonB_ny Francesca thanx for the Follorw :)
17899839_393822777175584768 x	http://t.co/HAobYSlAsh  look who signed up for http://t.co/4DRqzFOzQg
17899839_393822432164732928 x	RT @kathyattheseen: First she brought you @INFINITYBOYS4 Stay tuned for what's coming next. @MyStudioVideos http://t.co/cWkFZNOmFB
17899839_393822324694073344 x	RT @theSEENonline: BeSEEN BeHEARD BeDISCOVERED @INFINITYBOYS4 posted a free online profile and are on way to record deal @theSEENonline htt?
17899839_393822185518678016 x	Cindy Margolis to host "Beautiful Minds" @CindyMargolis
17899839_393821818642911232 x	RT @POPSUGAR: Yep, Ben Affleck has still got it: http://t.co/cy3ALU18mx
17899839_393821676179161088 x	@BriskoATrueTale
17899839_393821552141029376 x	RT @TheSlitheryD: It's not too late to enter the Win-A-Handwritten-Copy-of-The-Wild-Mind-of-the-Winkle CONTEST! Simply press... http://t.co?
17899839_393821464412966913 x	http://t.co/SxeUdLhmjG
17899839_393821231062867968 x	RT @Vassybaby: ?@WomanCrushPix: Is Jennifer Aniston even ageing http://t.co/gXtxm24Cg6? @edshrew  oh my
17899839_393797670248005632 x	RU a Musician? A Model? Let me help you! Get a free online profile at http://t.co/7S7NtqYqtY  http://t.co/XBlRMGbNQn
17899839_393797577079918592 x	https://t.co/aWOQlAmxfA
17899839_393797450206416896 x	RT @CindyMargolis: RU a Musician? A Model? Let me help you! Get a free online profile at http://t.co/x6rywwbpqu http://t.co/Ni5zffFgYY
17899839_393797056818454528 x	RT @Dyliciousg: http://t.co/QrMijOUZpi
17899839_393794979111256064 x	RT @c_herren: Great to be in gym with @RockEmApparel in Fall River today.. #projectpurplesocks http://t.co/WlZAISDbbC
17899839_393794543369195520 x	RT @EnStars: 'The Young and the Restless' Spoilers: Nick Gets Serious About Billy While Sharon Makes Amends With Adam http://t.co/aHxC2031Jl
17899839_393794532585664512 x	@EnStars Fen ROCKS!!
17899839_393793409816608768 x	@Infinityboys4 picked their 6 songs for their debut EP..starting to record @MyStudioVideos next week
17899839_393793613139693569 x	@INFINITYBOYS4 @MyStudioVideos  @ariblitz will be producing!
17899839_393792962716389377 x	RT @Deadline: Fusion Unveils Plans For Nightly Sports Talk Show http://t.co/wU47MbHSrg
17899839_393410966802534401 x	RT @thezoereport: Still too warm for heavy layers :( RT @akstylemyway Coming to LA next week. Too early to wear fur on the West coast?
17899839_393044236074876929 x	@MeekMill did your pr for AC SummerFest a few years ago with Rick Ross  You stole the show!
17899839_393044072484442112 x	RT @MeekMill: #monstercupvlog #trailer #pullup #pullup http://t.co/YAeX9FLHcK
17899839_392795831218102272 x	RT @GiulianaRancic: Taking small actions can make a big impact. Bringing someone a hot meal or some magazines is such a nice gesture #SaveL?
17899839_392793279609065473 x	RT @Cyber_FM: Lawson - @LawsonOfficial - Standing in the Dark - #NowPlaying on CyberFM http://t.co/DusyL7yeGF
17899839_392793156535599104 x	RT @Buster_ESPN: In 2012-13, Lincecum had a 4.76 ERA, and his fastball velo dropped from 92.2 to 90.2. He gets 2/$35m; good guy, but that's?
17899839_392792004418994176 x	@oliver_bogner    http://t.co/vADQVAj2ni   609 513 1689
17899839_392788976332845056 x	Jenna Jameson -- WHACKED OUT ... Live TV Segment Cut Short Over Bizarre Behavior http://t.co/iufCvlhDDq via @TMZ
17899839_392686813350862848 x	@CSNPhilly @dom9brown @DanLevyThinks @rheahughes  I'm sorry the Chipinator is 3-4.
