18082481_356628805558870018 x	@indieamy awesome shot!
18082481_352968426735677441 x	Happy 4th everyone!
18082481_395670262382751745 x	@Skillsy75 thanks for the beverage dude! shoulda had ya over for it!! next time!! all the best..
18082481_390595345303891968 x	@markpiening Sounds good.. I'll let you know if I get one lined up..
18082481_390554547459874816 x	@markpiening @mccurtin Hey Mark, No gig tonight but I'd be down to meet up if you find yourself in Old City. Matt I'll be in town next week!
18082481_390169800091377664 x	@Tresdavis3 @kbknight01 @MorganBarnhill go Morgan!!!!
18082481_388329548200153088 x	My cover of @radiohead's High & Dry. Released nearly a year ago.. What do you guys think of it? http://t.co/6bzrMJSOLn
18082481_387285340056064000 x	Debut of a new song, Redwood. Hope you enjoy it. http://t.co/EKuU9FPfAe
18082481_387388630236270592 x	@modfox Thanks so much man.. Appreciate it.
18082481_384106679316795392 x	@wendyrollins ouch! Hope you're ok!
18082481_379764091386359808 x	@desireonfire hey! Not soon enough!
18082481_376497647453892609 x	@danny_malone aren't we?
18082481_376081054760960001 x	"Quick, Change, Anything" 74"x42" new #kngfsh #art #painting #philadelphia http://t.co/ux4AdV34t5
18082481_372553476150403072 x	@HowardStern always gets it. Great job @camibradley #AGT
18082481_371326468178980864 x	RT @samikhanfilm: Vote for KHOYA! Hope and Change... Rupees that is! http://t.co/spxZYwxOt7 via @indiewire
18082481_370746151315599360 x	@wendyrollins oooooh good one! I was late on that one too
18082481_370717182176792576 x	#honored http://t.co/jSwJz0Zs18
18082481_368790896617074688 x	@blinkinlincoln hey man. Been floating around here and there. How have you been??
18082481_284689815440617472 x	@ErichUberSonic love it
18082481_367703901199278080 x	Lunatic has been picked as a finalist in the @UnsignedOnly music competition. I am honored to have been chosen & 2 be in such great company.
18082481_366926797650145280 x	RT @samikhanfilm: Thank you @SpikeLee for your contribution. Just amazing.
18082481_364796479749095425 x	I just backed KHOYA - A feature film in post-production on @Kickstarter http://t.co/rlwN0KrVku
18082481_360596378684096512 x	@stephengillett @GarySinise oh man. One of my absolute favorites.
