1854011953_391584493623988224 x	One more day! #PHIvsDAL
1854011953_396434035414536192 x	@terilyns68 LMAO
1854011953_396432531869818882 x	What pisses me off most about Halloween was that I resembled Joan Jett.
1854011953_396411372331745280 x	@me0wmixalot One of my all time favorite bands! That whole album is amazing.
1854011953_396414976732049408 x	@me0wmixalot Hear Young Modern yet? Drastic change but I think it's legendary. Those Thieving Birds >>>
1854011953_396412410925314048 x	I'm not starstruck often, but meeting Brian Dawkins and getting my legit authentic jersey signed is EASILY in my top 5 all-lifetime moments.
1854011953_396411903758458880 x	RT @BrianDawkins: Eagles fans!  I will be signing autographs @carlscards on Nov 6 from 6-8pm courtesy of Strategic Sports Marketing.  See y?
1854011953_396411241318449152 x	Get ready for it, Raiders are going to win.
1854011953_396368709201051648 x	@caplannfl I've been holding my breath for Huff to Philly since he was released. Need some medical advice.
1854011953_396367842905317376 x	Would love to see Eagles sign either Michael Huff or Chris Carr, with Carr being the more likely to actually happen
1854011953_395937569910693888 x	Here's to hoping Foles dresses up as an NFL starter on Sunday. Would be nice to check the biggest long term need off before the Draft
1854011953_395277014178865152 x	What an absolutely pointless trade
1854011953_394926998063046656 x	I would definitely buy a Tebow Eagles jersey. I'm what's wrong with the world.
1854011953_394679723067863042 x	I love mock drafts.
1854011953_394548364303294464 x	MORONIC THROW
1854011953_394541363129094144 x	RT @BleedingGreen: Big whiff from Kendricks on third down leads a Giants 1st
1854011953_394540867127492608 x	Seriously, the Eagles starting ILB can't outmuscle a WR? GTFO
1854011953_394539829624446976 x	RT @MBarkannCSN: That was a stone cold disgrace, @DeseanJackson10.  If you're going to mail it in like that, #sitwithvick
1854011953_394539189837889536 x	Today's a complete fail.
1854011953_394538736093908992 x	Honest question, when was the last Eagles pick six?
1854011953_394537272701247488 x	Damnit, just thought I saw Nate Allen do something good. Don't make me like you after three years, man.
1854011953_394536952944267264 x	RT @36westbrook: I'm taking a nap!!
1854011953_394536563696074753 x	Dawkplex was better.
1854011953_391713469583478784 x	@PhillyTheKid215 @misseaglette #jaccpot
1854011953_394530520308011008 x	RT @PHSportsGoddess: Why are we criticizing Chip? If Barkley doesn't fumble and puts it in the endzone, we're crediting Chip for a great pl?
1854011953_394528978758672384 x	Sweet.
1854011953_394527500925009922 x	Seeing a lot of "who is the problem" tweets?.It's not one person. Howie, Chip, the coaching staff, Lurie, the players and Andy all share it.
1854011953_394526438734327809 x	WHO ELSE IS READY FOR THE BARKLEY-VICK PRESSER NEXT WEEK
1854011953_394526089730478081 x	I'm just glad that above all else, the Eagles fan base can handle the slow and painful process of rebuilding with reason.
1854011953_394525620094263297 x	Put it this way, what do the Eagles have to lose with Barkley? Both have same amount of NFL playoff wins since 2004.
1854011953_394525477458571264 x	@RoobCSN Chip has a smoothie for that.
1854011953_394525050079952896 x	@Eaglefan12 Not about fixing it. It's already clearly broken, it's about fielding a player who isn't about to explode.
1854011953_394524779429888000 x	RT @JimmyKempski: Barkley now taking snaps from Jason Kelce. Looks like Vick is done.
1854011953_394524103693987840 x	RT @RoobCSN: 20 consecutive drives without a touchdown for the Eagles. #EaglesTalk
1854011953_394523225448648704 x	Let's make this exciting. DID YOU SEE HOW ELEGANTLY DESEAN GALLOPED FOR THOSE FOUR YARDS
1854011953_394522724795572224 x	I'm not even sure this Eagles team could win the PAC 12.
1854011953_394520951259271168 x	Poyer, you're in?.Too soon? ?@EaglesInsider: Cary Williams down in back of end zone on third down incomplete pass?
1854011953_394520374269841408 x	Which streak will be broken first, the Eagles home losses or the Undertaker?
1854011953_394516189809876992 x	Surprised? ?@NickFierro: Disaster for #Eagles unfolding here at Linc. No first downs yet and already a interception and fumble by Vick.?
1854011953_394312823162953729 x	Can't recall Schiano being a complete tool at RU. Admired him, but man did he kill that reputation he spent so much time to build.
1854011953_394312145346654208 x	RT @HisStankness: Carrot cake > Red Velvet cake
1854011953_394311827389038592 x	I venture to say that Halloween did not become a joke until Rob Zombie desecrated it.
1854011953_394311518021382144 x	Ah, Saw. Joining Nightmare on Elm Street and Friday the 13th as legwndary first movies that sequels turned into complete jokes.
1854011953_393770824559116288 x	Ugh. Jarrad Page? Really?
1854011953_393784555267567616 x	@terilyns68 Saw someone RT Bowen that Eagles signed him. I'm not a fan. Very much a reminder of Q Demps. Didn't check to see if real. :P
1854011953_393789098499915777 x	@mstry001 @terilyns68 Ah, well nevermind.
1854011953_393770938493186049 x	@mstry001 TATErs want everyone.
1854011953_393054401897586689 x	RT @KhandymanSports: According to @PFF, Michael Vick (46.7%) has the lowest completion percentage when under pressure of any QB in the NFL.
1854011953_392863276171665408 x	@RoobCSN Can't seem a team so thin at a position willingly give up their depth at said position...Maybe TB and QBs..
1854011953_392700049634775041 x	Anyone who is mad at Dom Brown should recall that Brian Dawkins grew up a pretty big Cowboys fan.
1854011953_392406558618836992 x	Fuck the Browns, but fuck the Eagles for cutting a 7th round rookie CB who had a 3rd round grade and expecting him to clear waivers.
1854011953_392024376398196736 x	RT @Philatticus: lol @ people making fun of a rookie QB who gets barely any snaps
1854011953_392023445636005888 x	RT @PhillyTheKid215: RT @EaglesNationTX: Vick is 1-9 in his last 19 starts. He ain't the answer either. We fucked
1854011953_392013093712064512 x	Holy shit people. Foles is bad today, no doubt, but how many times has Vick produced the exact same flat performances? #nowinsituation
1854011953_392011427520606208 x	Is there any play that doesn't equal Jason Avant in tears? Love the passion man, but COME ON.
1854011953_392010285650677760 x	Shame it took the best weapon on the team going down to possibly have this team look at acquiring another WR. Shit.
1854011953_392001826813276160 x	RT @TheMightyEROCK: Dez Bryant http://t.co/uPdsM0pTQD
1854011953_391994685192798208 x	@RoobCSN When was the last time a Chip Kelly-coached team went into halftime scoreless? Ever?
1854011953_391985776809889793 x	RT @CrossingBroad: Riley Cooper will fight every would-be tackler in here
1854011953_391977258719514625 x	How great would it be to get a home win?
1854011953_391975389628616705 x	@MissEaglette but?but?Washington 2010...
1854011953_391975912909991936 x	@MissEaglette That was the point :P
1854011953_391974756708126720 x	Andy Reid returns. #timeout
1854011953_391974645538095104 x	Was Connor Barwin doing a headstand?
1854011953_391974033308131328 x	Pretty much nailed it, @PHSportsGoddess.. http://t.co/g6fl03xHsS
1854011953_391786707558739968 x	Oh beer, I love you so.
1854011953_391782300154748928 x	Apparently when I'm extremely pissed, I clean the whole apartment...so that's nice, at least.
1854011953_391285530362540034 x	RT @EaglesInsider: Congrats to #Eagles QB @NFoles8 who has been named by you, the fans, the FedEx Air Player of the Week
1854011953_390919388045402112 x	RT @NJFIREFLY: Vick and Foles have a bromance and Eagles fans spend hours a day fighting over them on twitter lol
1854011953_390899811765202944 x	RT @GeoffMosherCSN: Mike Vick said he's not playing this week.
1854011953_390899732375425024 x	RT @JordanRaanan: Looking at the weekly #Eagles stat book. Nick Foles has 6 TD passes in 61 pass attempts, Michael Vick has 5 TD passes in ?
1854011953_390862724282212352 x	@SportsRadioWIP @MikeandIke94WIP Someone lurks the EMB..,
1854011953_390872444828798977 x	@terilyns68 @SportsRadioWIP @MikeandIke94WIP Same exact thread popped up a few days ago. Westbrook or McCoy?
1854011953_390878372307685376 x	@terilyns68 I love it when there's news, but six days a week it's a chore.
1854011953_390899434412056577 x	@terilyns68 BTW you can unfollow my RedZone account if you wanna clear your feed of gaming stuff. This ones all Eagles.
1854011953_390630583241805824 x	@terilyns68 HIII
1854011953_390632363903815680 x	@terilyns68 I'm so lame now. Blood thinned out.... 55 and shivering. Finally a Texan. :/ How was your day?
1854011953_390633060993368064 x	@terilyns68 I've lived there since February :p Same here, just sitting here with a coffee reading anti-Cowboys articles.
1854011953_390633523822202881 x	@terilyns68 No worries, I'm 3 hours from Dallas. Can't take away my roots.
1854011953_390575123394478081 x	Dawkins was great. Sheppard was above average, but was nicknamed Litoast for a reason.
1854011953_390573714552926208 x	WIP referring to Lito Sheppard as great shows me how loosely one can use the word great. He had great moments, but I wouldn't say he was.
