1855261886_395620817712578560 x	http://t.co/Mqo6Po0XoP
1855261886_395620756047921152 x	http://t.co/xqVa6V6kP5
1855261886_395620701350006784 x	http://t.co/nQkss5BneM
1855261886_395563171471036418 x	http://t.co/6OXBETyxWe
1855261886_395563103934361600 x	http://t.co/EALhf4xa0v
1855261886_395346641433001984 x	http://t.co/VFEei4c1NJ
1855261886_395346577822212096 x	http://t.co/pWcibSWyQi
1855261886_395294761160298496 x	@IntentionalTalk #AskKevin name three guys from mlb network that you would and would not want to live with
1855261886_395281018153754624 x	http://t.co/Asx3X7aAwA
1855261886_395280950507995136 x	http://t.co/EypN7OHAtA
1855261886_395280694487703552 x	http://t.co/CKnaAZYwzd
1855261886_395280632298754048 x	http://t.co/TW6kOFukKJ
1855261886_395280557971501056 x	http://t.co/sYvyGrkeiU
1855261886_395261106345631744 x	http://t.co/aOhKp4GpOs
1855261886_395260841253015552 x	http://t.co/XqNW7M7DOP
1855261886_395009524954046464 x	http://t.co/w4ACH5IO1i
1855261886_394966345131233281 x	Funny http://t.co/Axz53VMoSQ
1855261886_393810969048383488 x	@IntentionalTalk #AskKevin name three guys from mlb network who you would and would not want to live with
1855261886_386084565582086144 x	@IntentionalTalk #AskKevin name three guys from MLB  network who you would and would not want to live with
1855261886_385482323233607681 x	@ChrisRose I agree with you, I also believe the A'S will win it all
1855261886_383336517852073984 x	@IntentionalTalk #askdan name three guys from MLB network that you would and would not want to live with
1855261886_382501068485427200 x	@Kmillar15 can you get jimmy Rollins on the show
1855261886_380442589268176896 x	@IntentionalTalk huge fan can you get Rollins or Utley
1855261886_379723758841249792 x	@KMillar15 big fan of show, can you get Rollins on?
1855261886_378612764081528832 x	@KMillar15 can you get Rollins on the show, best show on TV
1855261886_378600014693429248 x	@IntentionalTalk cant wait for Kawasaki to be on the show
1855261886_378328789693890560 x	@levermatt321 tomorrow is #Friday
1855261886_378263195015581696 x	@IntentionalTalk best show on TV by a long shot
1855261886_378247950742212609 x	@ChrisRose best show on TV do you think you can get Rollins or Utley on the show.
1855261886_377917395240624128 x	@KMillar15 huge fan of the show, can you get Rollins or Utley on the show
1855261886_377913199367962624 x	@intentionaltalk huge Phillies fan, can you get Utley or Rollins on the show
1855261886_377882744987992064 x	@levermatt321 hello brother
