1858999526_378649532994977792 x	I love sisters http://t.co/tYPXWwGSgI
1858999526_395689037136412672 x	This class <<<???
1858999526_395683873285500929 x	?@factsonfemales: How do I lose 30 pounds in 1 minute?? @toryvidumsky
1858999526_395683729638952960 x	RT @chanelpuke: copy and paste yourself into my bed.
1858999526_395682665103646720 x	RT @FemaIeThings: Those text messages that make you sit there smiling at your phone forever.
1858999526_395588303724249088 x	RT @StevStiffler: Pride isn't really an issue for me. If you actually make an effort to talk to me, I'll talk to you.
1858999526_395363579953967104 x	Please...just stop already
1858999526_394974682224795648 x	RT @chanelpuke: LEGGINGS ARE PANTS rt if u agree
1858999526_394282941645615104 x	?@Cutesy: I miss you but fuck you.?@toryvidumsky
1858999526_394282822976159744 x	RT @TeensProbIems: Shaved legs and fresh bed sheets are the best combination ever, no boy will fully understand such luxuries.
1858999526_394282623172091904 x	RT @FlyersNation: #Flyers win and #Penguins lose. All is right in the world again.
1858999526_394241962326654976 x	Hell yeah!! #LetsGoFlyers
1858999526_394170512706125824 x	@sweeeeet_n_LO I havnt gotten it either!
1858999526_393850135685660672 x	@toryvidumsky @Tay_DeLong veggie tails flashback!
1858999526_393584372148101120 x	Check this out at http://t.co/6bEsMPhpOQ: http://t.co/sdbIWA1qsa sick picture #Flyers
1858999526_393212297990377472 x	?@chanelpuke: I LOVE NOT WEARING MAKEUP BC I CAN JUST RUB MY EYES AND NOTHING HAPPENS? @eirenicole92
1858999526_393127429558259714 x	RT @StevStiffler: Selena: "Who says you're not perfect?"    Miley: "Nobody's Perfect!"    P!nk: "You're F**king Perfect"  I'm confused... a?
1858999526_392825705790464000 x	I like my tubs really deep... @Tay_DeLong
1858999526_392256473679798272 x	RT @FlirtyWords: I care about you more than you think..
1858999526_392255975320993792 x	RT @FlirtyWords: Retweet if you miss someone.
1858999526_391038557672206336 x	RT @BestTextMsgs: You might feel worthless to one person, but you are priceless to another.
1858999526_390682162355511298 x	@backwoodshine hey I'm a girl
1858999526_390996495031611392 x	@backwoodshine ?
1858999526_390684586055065601 x	RT @Thegooglefactz: Eating mangos before smoking marijuana can heighten it's effects!
1858999526_390682336796639233 x	?@factsonfemales: Always creepin.  Never sleepin.? @eirenicole92
1858999526_390681991039176705 x	?@Lmao: Raise you're hand if you're tired of school ??????????
1858999526_390681496908230656 x	RT @factsonfemales: I need grilled cheese, pizza, cookie dough, and blueberry pancakes delivered to me IMMEDIATELY.
1858999526_390680948788178945 x	RT @WeAreGirICodes: I'd rather hear a guy say, "I made plans for us" instead of the usual... "I don't know, it's whatever you wanna do"
