1861959500_393433221406670848 x	http://t.co/pckbfwCqWI
1861959500_393431755426103296 x	http://t.co/6SnYyJzDZe
1861959500_393431577986072576 x	http://t.co/BL5k4DcPGz
1861959500_393431347206688768 x	http://t.co/4xFb5WdomR
1861959500_393431153103101953 x	http://t.co/eETGt9ukbD
1861959500_392809144421347328 x	Cyndi lauper concert
1861959500_393433929283563520 x	http://t.co/Dg2p1uEje7
1861959500_392606732028899328 x	https://t.co/qaoLU7skhO
1861959500_393328911939272704 x	http://t.co/fyeSMMpyjX
1861959500_393433860362752000 x	http://t.co/xT6DeILFQJ
1861959500_393433287454363648 x	http://t.co/R5OuGSZrFp
1861959500_393328436544278528 x	http://t.co/fa8SZnJ8hq
1861959500_393328369112068096 x	http://t.co/4EYc8m5aBD
1861959500_393328260098306048 x	http://t.co/V3mAP0Mpbv
1861959500_393328184709873664 x	http://t.co/RXPAkDn7wS
1861959500_395237923282780160 x	http://t.co/jRXNuwcJ37
1861959500_395186575161978880 x	Do you love candles come visit me today at https://t.co/X9yw8YAit4
1861959500_395164497771372544 x	https://t.co/qaoLU7skhO http://t.co/j7mPEUvlHu
1861959500_395164093503389697 x	DO YOU LOVE CANDLES COME VISIT MY SITE https://t.co/qaoLU7skhO
1861959500_395140538443513856 x	https://t.co/X9yw8YAit4
1861959500_394838691308634112 x	Do you love Jewelry? Do you love candles? Check out my website "Come visit my store... http://t.co/yUy8rp7hCo
1861959500_394749953295519744 x	http://t.co/7XIUPEdYPC
1861959500_394746622040887296 x	http://t.co/WFOpSJtwuQ
1861959500_394742899499216896 x	I just joined LinkedIn and created my professional profile. Join my network. http://t.co/nIiKcO4HsN #in
1861959500_394701415622664192 x	https://t.co/X9yw8YAit4
1861959500_394696939683344384 x	Do you love Jewelry? Do you love candles? Check out my website "Come visit my store... http://t.co/zg9STNNgZA
1861959500_394537111761989632 x	Do you love Jewelry? Do you love candles? Check out my website "Come visit my store... http://t.co/mlEr5CvDm2
1861959500_394488499732115456 x	https://t.co/qaoLU7skhO
1861959500_394479627697401856 x	https://t.co/X9yw8YAit4
1861959500_394476886824599552 x	Do you love Jewelry? Do you love candles? Check out my website "Come visit my store... http://t.co/93OnYwwj0D
1861959500_394413595976810497 x	Do you love Jewelry? Do you love candles? Check out my website "Come visit my store... http://t.co/RTC7k5RA7Q
1861959500_394413080966594561 x	http://t.co/lu4AsCRhY8
1861959500_394134503612231680 x	http://t.co/IeeqXFJKuu
1861959500_394133061837017089 x	http://t.co/5EUDvBkcrd
1861959500_394073401692016641 x	https://t.co/X9yw8YAit4 http://t.co/cKQhNpTrkC
1861959500_394052335770796032 x	Do you love Jewelry? Do you love candles? Check out my website "Come visit my store... http://t.co/aDxQc0P3au
1861959500_394030486307102720 x	Do you love Jewelry? Do you love candles? Check out my website "Come visit my store... http://t.co/aAz7Wn5Hds
1861959500_393829838613909504 x	http://t.co/BjOdWMrVpA
1861959500_393819221789908992 x	Do you love Jewelry? Do you love candles? Check out my website "Come visit my store... http://t.co/MIVMww81EB
1861959500_393783261677113344 x	http://t.co/yQWsuDdM9V
1861959500_393782860445790208 x	http://t.co/CEznIiy1bH
1861959500_393782812073287680 x	http://t.co/l5p0SwWmh1
1861959500_393778406371753984 x	http://t.co/fIGacglQOc
1861959500_393766555257171968 x	http://t.co/VAf1LZIOqw
1861959500_393763678056484864 x	http://t.co/GVG7ViEu9i
1861959500_393711990721744896 x	Do you love Jewelry? Do you love candles? Check out my website "Come visit my store... http://t.co/foHzke6SQo
1861959500_393518076471549952 x	http://t.co/HOLQJB2aXq
1861959500_393457812036395008 x	Do you love Jewelry? Do you love candles? Check out my website "Come visit my store... http://t.co/jQqw8rceqa
1861959500_393440598717632512 x	http://t.co/pahLzJGD1W
1861959500_393436912910106624 x	http://t.co/o35IGh28zA
1861959500_393434738842533889 x	http://t.co/5syhzN4132
1861959500_393420336676765696 x	Do you love Jewelry? Do you love candles? Check out my website "Come visit my store... http://t.co/t6LjuKZ00w
1861959500_393339545283878912 x	http://t.co/L5rzjqHOWP
1861959500_393338572293820416 x	Come visit my store https://t.co/X9yw8YAit4 http://t.co/0JBe50aZaB
1861959500_393332555317268480 x	Come visit my store https://t.co/X9yw8YAit4 http://t.co/Qjpf2ULbo6
1861959500_393330942527700992 x	http://t.co/EyzOQQazyT
1861959500_393330872793202688 x	http://t.co/zVewTsuVCF
1861959500_393329194530516992 x	http://t.co/traDqOhjtK
1861959500_393114329404678144 x	Come visit my store https://t.co/X9yw8YAit4 http://t.co/Dh5wK28E6M
1861959500_393093913256660992 x	http://t.co/rtXiRjrr9k
1861959500_393092101048913920 x	http://t.co/2gPM9bsJKn
1861959500_393087956220907520 x	Come visit my store https://t.co/X9yw8YAit4 http://t.co/QzEcBbNZlC
1861959500_393087215120957441 x	http://t.co/LYysL6sDWe
1861959500_393086373508685824 x	http://t.co/MqPyBp0blR
1861959500_393019860361682946 x	Thanks mel love it and had great time http://t.co/pQptY8ovnP
1861959500_392363908109201408 x	SHOP AT MY STORE ONLINE ALSO WE ARE HIRING!! JOIN MY TEAM NOW FOR FREE!!! No membership fees, parties, or... http://t.co/MT1vqAsY0n
1861959500_392253296440016896 x	Come visit my store https://t.co/X9yw8YAit4 http://t.co/uLpglPh7Fg
1861959500_392252989399789568 x	http://t.co/0RvIEJFVcn
1861959500_392252648935915520 x	http://t.co/BImdyb9qOP
1861959500_392252527510831104 x	http://t.co/Ts8tKyNKIW
1861959500_392252464256528384 x	http://t.co/TGBY1Cj1uO
1861959500_392252264741888000 x	lol http://t.co/1MlD7QDsEp
1861959500_392018846942367744 x	I posted a new photo to Facebook http://t.co/sTlDWegyku
1861959500_392018845998649344 x	I posted a new photo to Facebook http://t.co/HH9CfAju4B
1861959500_392018845260869632 x	Me and mel just baking lol mmmmmmmmm
1861959500_392018844921102336 x	I posted a new photo to Facebook http://t.co/dlKXiqXEM8
1861959500_392018844535250944 x	I posted a new photo to Facebook http://t.co/Y1SmWDlhz1
1861959500_391843260538564608 x	http://t.co/gubXLBUIHg
1861959500_391841959775850496 x	Come visit my store https://t.co/X9yw8YAit4 http://t.co/wFuly0meVR
1861959500_391839722475356160 x	http://t.co/F8K2SwvcGf
1861959500_391839517910765568 x	? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?? ? ? ? ?... http://t.co/cGxzaiL3Go
1861959500_391839054041718784 x	http://t.co/6CHidrqU4D
1861959500_391838720951083008 x	http://t.co/ZGw4yWlzxK
1861959500_391838408722907136 x	http://t.co/6q1018DraL
1861959500_391836875977011200 x	http://t.co/RXa9AIECRq
1861959500_391836186266062848 x	http://t.co/sRS4A2dE0x
1861959500_391835899069468672 x	http://t.co/vx86QxVW2i
1861959500_391834999261257728 x	http://t.co/yYLGc8JJDh
1861959500_391687184191086592 x	http://t.co/lRmx0LTJf5
1861959500_391646997192900608 x	http://t.co/ro7lG25tKl
1861959500_391609525692026881 x	http://t.co/oR7OwXx8Qk
1861959500_391580199147814912 x	http://t.co/J8YTfUZ42o
1861959500_391559720936296448 x	sorry i am not perfect
1861959500_391559454887796736 x	http://t.co/XA7vHQlQWN
1861959500_391317726779539456 x	http://t.co/PwgFC73o3W
1861959500_391317612334166016 x	http://t.co/QkduASNQMn
