1862227032_395670517707202560 x	@EaglesNews1 I believe so.
1862227032_395672395283181568 x	@EaglesNews1 Pelicans are gonna be decent this year...and if it is top 5 they get to keep it.
1862227032_395673122063806465 x	@EaglesNews1 Yeah but chances are they get #6 or so...but I think the Pelicans will be decent this year.
1862227032_394503872464826368 x	Wasn't Nick Foles recruited to play college basketball also?
1862227032_393129249525100544 x	@PHISportsPhans when did they change the logo?
1862227032_395654071773712384 x	#WinlessForWiggins
1862227032_396756909946322944 x	RIP Walt Bellamy
1862227032_396736547674157056 x	RT @Eagles: 24 Hours. #FlyEaglesFly
1862227032_396689965490647040 x	@EliotShorrParks Alex Henery hits a 68 yard field goal to win the game.
1862227032_396686153556164608 x	RT @SportsCenter: Robin van Persie and Wayne Rooney both score as Manchester United beats Fulham, 3-1.
1862227032_396680548082778112 x	@PhillySteve15 has the guy been run out of the stadium yet?
1862227032_396665274587701248 x	RT @cnmenta: 20 minutes to kickoff between Temple and Rutgers http://t.co/se24oDjXr7
1862227032_396637897157541888 x	RT @philscollector: Eric Bruntlett signing autographs at Granite Run Mall http://t.co/cb8o3Aisxk
1862227032_396636149726580736 x	@Dchristmas22 congrats on the win last night Dionte.
1862227032_396635012046790656 x	RT @NBARUMORS: Evan Turner has scored 26 and 23 points in the first two games of the season. The former #2 pick. Solid pedigree.
1862227032_396618685689126913 x	RT @SportsCenter: ICYMI: Ken Jeong co-anchored SportsCenter Friday... and he really likes Shane Battier ? http://t.co/oH9JZMB7bH
1862227032_396468526191747073 x	Really looking forward to the #SixersBulls game tomorrow night.
1862227032_396467491343728640 x	@Highway_30 I'd love a follow Royce.  Best of luck catching on somewhere, wish you were still with the #Sixers #BeWell
1862227032_396460335571677184 x	Delaware 87ers had a pretty good draft.  Looking forward to Aquille Carr suit up for them.
1862227032_396457268612706304 x	RT @nicekicks: .@therealredman reminds us how big @SHAQ's shoes are in the new #CelebritySneakerStalker http://t.co/P8bMPmaQ0P http://t.co/?
1862227032_396456443844767744 x	RT @YaBoyMeetsWorld: Sixers win???????
1862227032_396455995096195072 x	@CForClarity pelicans pick is top 5 protected, I believe.  They can lose enough to get #6.
1862227032_396454927385776128 x	@Winless4Wiggins How about #UndefeatedForDawkins ?
1862227032_396451370234302464 x	RT @DidThe6ersWin: yes
