1862268864_396520362831527936 x	Childhood in one GIF - http://t.co/KHL0xkUP5e
1862268864_396248434937958400 x	Superhero logic - http://t.co/rWDe1eOuoU
1862268864_386253946911985664 x	dmoney11_'s video http://t.co/ztEqjgdYkx
1862268864_383760240870973441 x	king_keraun's video http://t.co/xg15z8se6Z
1862268864_381425806486306816 x	RT @espn: Last year, the @RedSox won 69 games.   This year, they?re going to the postseason.
1862268864_381425717915189248 x	RT @wizkhalifa: Woke up sleazy. Always hurts throwin the doobie out the window before pullin up to the airport.
1862268864_381403719256248321 x	@nikestore
1862268864_381403657713229824 x	RT @nikestore: The @nikebasketball Kobe 8 ?Taipan? launches tomorrow at 8am EDT http://t.co/TTZqUemn07
1862268864_381403631461093376 x	RT @nikestore: The @nikesportswear Air Max 95 Premium Tape is now available http://t.co/Xi1RRjqa9Z http://t.co/wHaFpNtn4r
1862268864_381403571629359104 x	RT @nikestore: The @nikebasketball KD VI ?Bamboo? is now available http://t.co/0g7dgXuCAI http://t.co/F63DS2v1fu
1862268864_381403543443615744 x	RT @nikestore: The @nikebasketball Air Max Hyperposite ?Raspberry? is now available http://t.co/2ROTpKSRYk http://t.co/OPdbj51VNY
1862268864_381403506651197441 x	RT @nikestore: Don?t miss the West Coast?s newest Nike destination. The new @NikeSF has arrived http://t.co/eCNaaXVS43
1862268864_381403480948494336 x	RT @nikestore: The Air Jordan 3Lab5 is now available http://t.co/YXJgr7ZLHt http://t.co/eJTb49rrOt
1862268864_381402302713966592 x	RT @KDTrey5: SWAGGG!! RT @ayoolightskinn: ? RT @Jus1Nyt: Yo @ayoolightskinn.. What's up with Westbrook? http://t.co/LywjOdEKVu
1862268864_381402275966902272 x	RT @KDTrey5: My team's looking good at shoot around. We ready. #summerisserious" http://t.co/oJuDXu7oYP
1862268864_381402264252198912 x	RT @KDTrey5: Hmmmm RT @dwilkins3000: New paint alert!!!!!!! Shut the @jeep game down http://t.co/7dPs93Hyqa http://t.co/olhkFtl8io
1862268864_381402247894429696 x	RT @KDTrey5: In Paris for Nike tour, amazing city http://t.co/KBGYq214WJ
1862268864_381401327181783040 x	RT @wizkhalifa: There just aren't enough smoke shops. I'd be cool to just find one and hit that bitch up everythime
1862268864_381401288527065088 x	RT @BigSean: You still staying w/ yo old folks...
1862268864_381400921294786560 x	RT @DeseanJackson10: West side right on time ' http://t.co/nwpYbxbajw
1862268864_381400861127483392 x	RT @SportsCenter: The Bengals have decided to remove Katy Perry's "Roar" as one of Cincinnati's anthems following social media backlash fro?
1862268864_381400802646315008 x	RT @HBarnes: Finally made it out to Vancover B.C. , come meet me 2morrow btwn 11am-5pm @MetropolisatMet for the @NBA BigTour! Hope to see y?
1862268864_378997230277238784 x	Finish rideing dirty . ?
1862268864_378923260941193216 x	Just got my 2nd black ops of the year .
1862268864_378743616317190144 x	kingbach's video http://t.co/miAOdmWjvx
1862268864_378697107458502656 x	Who broke my black ops 2 !! ??? http://t.co/pfODXwTVlN
1862268864_378697022083452928 x	http://t.co/vHB9CrY17V
1862268864_378696638078128128 x	RT @NBA: _______________ is the most feared defender in the NBA! http://t.co/S8JJk5cC0i
1862268864_378696301896286208 x	RT @Drake: Tune into Jimmy Fallon tonight. Me, Sampha, and my new ting Scar Jo. Debuting "Too Much" off the album.
1862268864_378695510242373632 x	You know I be getting numbers !
1862268864_378695973494857728 x	@DMONEY11_ what up
1862268864_378695870671515648 x	http://t.co/qcqBn1631a
1862268864_378695443401945088 x	Just came out six flags
