1875287666_386290248113586177 x	https://t.co/8oyVMdfDTy
1875287666_397787937024536577 x	ShoeBox Recycle is my Fundraiser right now! I did well last year raising over $600 from this Fundraiser! Hoping this year to do better!
1875287666_395543127689146369 x	I now have 16 Angels... It is such a Great feeling that my Angel Family keeps growing! http://t.co/4QLBMew1R6
1875287666_392310661935812608 x	RT @EverydayHealth: Complications of Multiple Sclerosis http://t.co/ZCJy7ruvsM
1875287666_392310539013341184 x	RT @MSWesternPA: Results Published: Hydration Levels Affect CCSVI Assessments in Small Study: In a study of 16 people either wi... http://t?
1875287666_391713516652351488 x	@shemarmoore Please Follow Me also you can check out http://t.co/2oyNDJEYBA and http://t.co/5gnUtgunxK.
1875287666_391712513009926144 x	@shemarmoore Please Follow Me! I would like to talk to you about MS and what I am doing to Spread awareness...
1875287666_390223064731901952 x	RT @CJobe: @angelsofhopems I appreciate what you are doing. I was diagnosed with MS in 2010 and am doing all I can to stay healthy.
1875287666_390176524416348160 x	I want to spread awareness around the globe! I want to find more Angels! I want to Create A World FREE Of MS! Follow Me!
1875287666_390173410292428800 x	@LiveAccess @billybush @KitHoover I really would like to meet @JackOsbourne and make him one of my Angels! I have an amazing team for MS!
1875287666_389740224773120000 x	One week left to order and support! https://t.co/5bkTXpRmJW
1875287666_384751837242728448 x	@BmathesBruce Please Follow me. I started aTeam- Angels of Hope and would love to expand outside the US. I need more Men Angels too.
1875287666_384686435703734272 x	Like my Facebook page http://t.co/yP3rkizexV
1875287666_384468675367292928 x	1st fundraiser for Walk 2014 starting this week YANKEE CANDLES!! Let me know if you want to help support I will send you an email! Thank you
1875287666_384468338744635393 x	One of my Angels Justin Yuhaze @MonstrosApparel http://t.co/xp2HZDKkuW
1875287666_383283633663909889 x	I want to welcome a new Angel to the Family! Ronald Nuriddin R.I.P...unfortunately he is an Angel above! http://t.co/VJjXHFnc6f
1875287666_383280852249358338 x	@MonstrosApparel Hey Justin Follow me!
1875287666_382906490883145728 x	RT @tonylukejr: Please follow @angelsofhopems and retweet he doing a great thing he needs our support
1875287666_382896920420966400 x	Hey @tonylukejr could you please follow me and get others to follow me. Trying to spread awareness everywhere! Thanks! -Austin
1875287666_382873149454700544 x	@CherylBurke Please tell @JackOsbourne  I wish him the best with #DWTS and also I would like him to be one of my Angels..Please Follow  Me
1875287666_382512394993692674 x	@ChrisGaida Hey Chris! Please Follow Me! And please get people to follow me! We have a big Mission this year! So glad you are on board!
1875287666_382511651586854912 x	@meredithvieira Please Follow me! I am 18 and my mission is to Create A World FREE Of MS! I would love to meet you and Richard!
1875287666_382329092986916864 x	@mymswarrior It was great talking with you! I am so glad I asked you to be one of my Angels!
1875287666_382328481348349952 x	RT @mymswarrior: I spoke with a wonderful young man today who advocates for those of us that have MS named Austin Decker - follow him at @a?
1875287666_382301857248731137 x	@meredithvieira Please Follow Me! I have been walking for MS for 8 years and my new Team is called Angels of Hope!
1875287666_382298489847570432 x	@JackOsbourne Please follow me! I have been walking for MS for 8 years! My new team is Angels of Hope and I want you to be one of my Angels!
1875287666_382277348969562112 x	@mymswarrior  Welcome to my Angels of Hope! Jalon is my Newest Angel! See what happens when I spread awareness! http://t.co/hkAucjBNoK
1875287666_381955956005154816 x	@MichelleObama I found out your mom has MS and I would like to make her one of my Angels! I am 18 and have been walking for MS for 8 years.
1875287666_381429494898511872 x	Trying to think of a great fundraising idea for October! Maybe a haunted hayride...any suggestions!
1875287666_381023616789671936 x	Like this page http://t.co/yP3rkizexV
1875287666_381021547105771520 x	Like my Facebook page http://t.co/ikXwlv8KF9 http://t.co/LJcKTyg6qD
1875287666_380326515101024256 x	Sponsor Me..Help Me Reach my Mission..Join my Team! HelpCreate A World FREE Of MS! http://t.co/6PFW1wpttm
1875287666_379943376940179456 x	Check out my new website http://t.co/5gnUtgunxK #Help Create A World FREE Of MS!
