1924422961_394950675899359232 x	FUCK FUCK
1924422961_395347236496113664 x	and that's the only line I hear after all that fuckin nonsense just happened.
1924422961_396505208110743553 x	RT @LifeAsStoner: I got a real soft spot for chill bitches
1924422961_396494372902293504 x	RT @ClaytonESPN: My night with slayer. Rock on
1924422961_396472806428667905 x	that brawl was great, but the #Flyers fuckin suck at playing hockey right now.
1924422961_396472445605253120 x	RT @FlyersNation: Noogie http://t.co/C0LFZ8mCas
1924422961_396471326258769920 x	RT @FightinForPHI: I'll be a Flyers fan Til I die, But right now They make me cry. They barely even Seem to try. They really sink, But thei?
1924422961_396469245602971648 x	RT @YA_BOY_MAXWELL: Just saw that same Pennsylvania Lottery Christmas commercial they've been playing like every year since I was born.
1924422961_396442444293615616 x	RT @Timmy_Doe: IF TALBOT WERE HERE WE WOULD BE WINNING
1924422961_396441267011190784 x	RT @FlyersNation: http://t.co/wLN5OXVKHe
1924422961_396440944662155264 x	RT @FlyersNation: http://t.co/h6tskk8STH
1924422961_396389987497033728 x	RT @ProfessorPyrex: IT'S FRIDAY WHERE ARE THE BEERS AND DUTCHES AND SLUTS
1924422961_396348984257970176 x	RT @JESSS_playinn: & we were smoking funny things , making love out by the lake to our favorite song
1924422961_396346432233668608 x	RT @Ken_Rosenthal: Sources: #Phillies targeting #Braves? McDowell to be pitching coach. @mlbbowman first raised possibility.
1924422961_396334749775826944 x	we would be in full rebuilding mode, and wouldn't contend for a playoff spot for like 8 years.
1924422961_396334385592823808 x	according to @BleacherReport the Phillies aren't going to sign any top 50 free agents, God I hope they are wrong.
1924422961_396314858343645184 x	RT @jachobe: Just got a pic with a best player in baseball!!unreal!! http://t.co/PsjPj0QfTt
1924422961_396154758110928896 x	RT @MySportsLegion: Chris Paul to Craig Sager: "I like your costume..." Sager: "Costume? This is from my wardrobe."
1924422961_396154724170616832 x	RT @SportsCenter: Chris Paul and Steph Curry put on a SHOW tonight in Clippers win. ? Paul: 42 Pts, 15 Ast, 6 Stl ? Curry: 38 Pts (9-14 3-p?
1924422961_396126474887258112 x	the #Bengals lost the game, and geno atkins for the rest of the year. that's huge loss for the defense.
1924422961_396126192883232768 x	RT @nfl: Wake-off Safety.   MUST-SEE: http://t.co/BvXVf9I8te #CINvsMIA #TNF
1924422961_396123282283724801 x	#Dolphins win on a safety. wow
1924422961_396117499340914688 x	#Bengals #Dolphins going to overtime!
1924422961_396116553198223360 x	great drive by tannehill, all up to the rookie kicker. #ThursdayNightFootball
1924422961_396106613859581952 x	RT @TDFollowMeBitch: HOLY SHIT WHAT A TOUCHDOWN
1924422961_396106606163017728 x	RT @TheRealDGunnCSN: What a run by the bengals Giovanni Bernard for a touchdown.. Are you kidding me .... Wow
1924422961_396106484888911872 x	bernard is a beast!
1924422961_396099415200784384 x	RT @ESPNNFL: Killer PENALTY! Gresham holding negates a long Bengals touchdown
1924422961_396098593695993856 x	fuck you Gresham, that would of been 11 fantasy points on 1 play.
1924422961_396081541631447042 x	RT @FlyersNation: Is it bad I laughed. http://t.co/zfqfGWF0kt
1924422961_396074072599453696 x	RT @TDFollowMeBitch: The @jaguars shoulda played tonight, now that woulda been scary lol #ThursdayNightFootball
1924422961_396071712363524097 x	#ThursdayNightFootball #Bengals #Dolphins
1924422961_396051575854362624 x	this beefaroni is the best thing I ate in like 2 months
1924422961_396013106666934272 x	RT @JonHeymanCBS: philliee targeting a big-time OF, will look at cruz, choo, ellsbury, maybe granderson. http://t.co/pLvc9WfJd6
1924422961_396006891547283459 x	RT @FlyersNation: Semyon Varlamov's GF said he kicked her, knocked her down, dragged her by her hair, and said: "If this were Russia, I wou?
1924422961_395998280313995264 x	if you take Halloween serious as in go out with a costume on, and knock on peoples doors for candy past 6th grade, you're a fuckin weirdo.
1924422961_396000050834571264 x	@Cxnway_ if people gave out cooked meals, fuckin right I would dress up and go out.
1924422961_395973291791630336 x	@NHLFlyers @S9Downie go back to Colorado! we want @Max25talbot back!!!
1924422961_395971191229665280 x	Steve Downie is worse than Talbot, with a bigger cap hit. Really dumb move.
1924422961_395969387267899392 x	@Max25talbot you're going to be missed in Philly. Good luck with the Av's.
1924422961_395967806719934464 x	RT @Timmy_Doe: WHY THE FUCK DID WE GET RID OF ONE OF THE BEST PENALTY KILLERS IN THE LEAGUE
1924422961_395967413776560129 x	steve downie was a bum here, so we get him back. Real smart holmgren.
1924422961_395966610793857024 x	RT @tenderasss: why would the flyers trade talbot. ?
1924422961_395966515121782784 x	we traded my boy max fuck you holmgren.
1924422961_395350094511607808 x	life fuckin blows right now, but  hopefully it will get better soon. I'm more than determined, and motivated.
