1952867545_396384578031845376 x	@CobianMG
1952867545_398294604707287040 x	@KBarrettFox29 I am here for support! I too lost a child (still-born) and am a military member. I understand the hardship that comes with it
1952867545_399730196565467136 x	RT @nickjardine1: Don't forget #RemembranceDay. Some have sacrificed allot for their day... http://t.co/onFXzPVDjN
1952867545_399722182269353984 x	Major throwback: @Simonilla, @SingEricaMendez, and myself! http://t.co/vBk6D74fvh
1952867545_399532356341870593 x	Download @Instamour today! Create your video profile, and the best video profile will win tickets to #Q102JingleBall http://t.co/Uunv8ihciR
1952867545_399531481997275137 x	I find more challenges in worrying than I do when I seek righteousness. #optimist
1952867545_399307287598075904 x	Big Ups for Philly Native @KevinHart4real New Movie coming in January called #RideAlong http://t.co/UjykeVIYGg #WSHH
1952867545_399297045158453248 x	@HeySamantha Have a safe weekend!
1952867545_399248255584059392 x	I maintain high peak levels of auto-suggestion... #thinkandgrowrich http://t.co/n2jnmeCvNv
1952867545_399216909629276161 x	RT @StartupReport: Twitter: Invest In The Next Great Venture Capital Company [Google Inc ... - Seeking Alpha http://t.co/NdacGo6SAG
1952867545_399019703110496256 x	Hey everyone! Check out the hottest new video dating app that lets you chat, video call and meet people faster than ever! #Instamour
1952867545_399014532418666497 x	http://t.co/5hGA6jiOWN - http://t.co/5oEpNFcE31
1952867545_398933381104545793 x	RT @Forbes: From Walmart to Bitcoin: Meet the CEO behind the Chinese exchange sending BTC to new highs http://t.co/nR2MDKLURJ
1952867545_398932423712735232 x	@AdamBalkinNY1 We have a new app that'll spark your interest. At your earliest convenience please reach out! Thank you! #PSU #Instamour
1952867545_398883268906733568 x	@ashsignorelli Thank you for connecting. Try out our new app @Instamour - Let us know what you think!
1952867545_398883045845266433 x	@MachipongoMusic Thank you for connecting. Try out our new app @Instamour - Let us know what you think!
1952867545_398878211301330944 x	@RachelStrella Thank you for connecting. Try out our new app @Instamour - Let us know what you think!
1952867545_398863607620198401 x	Another read to my collection. #CampusCEO http://t.co/6Hlz8A57Wc
1952867545_398861001908441089 x	RT @M_RagingBabe: This dude in Philly sold 1000 copies of his mix tape for $100. Do the math...that is $100,000 in one day! MARKETING PEOPL?
1952867545_398860858170019840 x	@IamTatiB I concur to this!
1952867545_398860519505149952 x	@M_RagingBabe I would love to know what gimmick did he incorporate to make that possible!
1952867545_398604854110990336 x	Heading to @Instamour  #SingleLoveThursday meet in Northern Liberties Philadelphia. Come out! Check out the Instamour #MeetUp page!
1952867545_398604416481513472 x	RT @TechCrunch: A New $1 Million Prize Competition Aims To Fight Gun Violence With Tech http://t.co/iq0ScmhNTJ by @ferenstein
1952867545_398583896696455169 x	RT @shermanbiz: my friend tells me today, "btw, I want to make it clear, i'm really f**king proud of you man" - hilarious....heartfelt, but?
