19847175_385945834741047296 x	I love getting chippy
19847175_393467664544595968 x	@nouveaudel_air hahahah nicely done!
19847175_393536382205173760 x	Like father like daughter #Twerk
19847175_396457995905032192 x	Real & True.
19847175_396425353532833793 x	@Mmayock25 hi ? http://t.co/TlWlN76EgC
19847175_396416282566082560 x	?@JoyceMeyer: Ask yourself this: "How can I be a blessing to someone today?"?
19847175_396325027110723585 x	@MarissaFonts hahahahahahah HI call you in a few.. Can't explain either of those things tho! ??
19847175_396317655629848576 x	@PLO1021 I'm not aware of that happening
19847175_396249293859737600 x	Welp.. I just fell in love.. Now playing @ForteBowie - Dru Hill Forever http://t.co/cWO9cUJshz
19847175_396241824559693824 x	@finnafin #SmugAF #sodelco ?
19847175_396087577230721024 x	Sorry guys. I was totally hacked... By wine. Carry on.
19847175_396070979350573056 x	#TNF ????
19847175_396021378945912832 x	@LyndsaySignor hahahhaha OMG this made my day #UARE theeeee cutest hahahaha
19847175_395996724264988672 x	My "hunches" are ALWAYS on point.. Whether I want them to be or not. #sigh
19847175_396001345964355584 x	@John89James #ndfb
19847175_395997715521613824 x	@bjgunts preeeeeaaach
19847175_395997549561405440 x	@LyndsaySignor UMMMM I was too distracted by your Louboutin pumps miss thaaaang #Werkkkkk
19847175_395912104827707392 x	Being a brunette has opened up a lot of new Halloween costume doors for me. It's a shame I have work and live in Connecticut. #BuzzKill
19847175_395738950545195009 x	@RizzWrites hahahahaha TRICK OR TREAT ...u just got my imaginary future husband... Not my father
19847175_395684673206374400 x	Locked out of my apartment ... Surprised this doesn't happen more often.
19847175_395737556744404992 x	@RizzWrites hahahaha I like the city, I like that idea, and I like you.
19847175_395582961606983680 x	@ChrisMannixSI hahahaha truly unbelievable .... #unbelievs
19847175_395528526251970560 x	I blame my lack of makeup skills on my father... Mr. Mom taught me passing trees instead of eyeshadow technique #Rude #DatingSabotage
19847175_395536654431047680 x	@kaitlinurka hahahah YES!!! and that really trumps all anyway :)
19847175_395532505773649920 x	@jaylust1000 duhhhh!
19847175_395308411992416256 x	I need new #Beats headphones.. But are there better 1s out there than Beats these days? Help a lady out!
19847175_395309655922315264 x	@beekaleak am I THAT out of the loop right now!?
19847175_395302019231002624 x	http://t.co/OpRY0Em43F
19847175_395299966228631552 x	@bjgunts hahahahaha #icant #soyou
19847175_395245952229203968 x	@jeannathomas @askmetostay323 hahahahaha Julie Taylor and the tornado was absolutely his best moment... I died a little
19847175_395244984267722752 x	@askmetostay323 only everything.
19847175_395190135035547648 x	@jenkerhin I like that hashtag #Meeeoooroaaaarr
19847175_395177457688805376 x	?@ViewHipHopBlog: Ciara & Future Got Engaged! | Details Here: http://t.co/HPavDlYAWL? #HomieLoverType ?
19847175_395180195495563264 x	@askmetostay323 hahahaha why!!!!!
19847175_395182326964961280 x	@askmetostay323  fair enough!
19847175_395169258260291584 x	Fine Biebs.. I dig one of your songs.. But I account that to my love of R&B not necessarily you..  http://t.co/UTQHtb96is
19847175_395173854710358016 x	@ryan_a_jones hahahaha I'm about to get THE swaggiest snaps
19847175_394984404063629312 x	RT @bereolaesque: Let her see you sweat to make it work ... Effort is far more respected than not trying.  #Pleasantries.
19847175_394899089382711296 x	Sorry just found out they were engaged ... I got a little excited. Two of my faves.
19847175_394819710845345792 x	@tinkermellie hahahaha I MISS YOU SO HARD
19847175_394817291000356864 x	@AlexTallitsch hahahah figured we could all use one on this lovely monday morning
19847175_394816819963248640 x	It's hard being so trill
19847175_394649095601934336 x	Snapchat: LMayock #LetTheGamesBegin ??
19847175_394652457403686912 x	@ThisYaBoyDLove awww yayyyy look DLove is back!
