20034040_395758697571700736 x	RT @birbigs: We stuck the landing. http://t.co/Z8DgjS2Joq #WorldSeries #ChalkItUp
20034040_395758338694057984 x	@thelesliejordan just made my night with an #AmericanHorrorStory appearance. It's impossible NOT to smile when he's on screen!
20034040_395757842692468736 x	@thelesliejordan You were fabulous! What a fantastic surprise! Had to be a hoot with all those divas! Happy Halloween Leslie! Godbless  ;)
20034040_393896444630818816 x	Best Sushi in Augusta :) (@ Hokkaido Japanese Restaurant) on #Yelp http://t.co/vbXMWTWh1C
20034040_393454198672875520 x	I posted a new photo to Facebook http://t.co/W6B8ehLdnW
20034040_393451886722179072 x	I posted a new photo to Facebook http://t.co/gh74XcXVFZ
20034040_393213787295449088 x	I posted a new photo to Facebook http://t.co/V6SKJNy1ek
20034040_393013076133683200 x	Love LOVE loving this song. It reminds me of Roxette in the later years. It does NOT sound like anything out there ? http://t.co/FX17dF1knM
20034040_392443268509601792 x	I posted a new photo to Facebook http://t.co/qpvJuYft6l
20034040_390228048206778368 x	RT @BreakingBad_AMC: We're giving away 10 #BreakingBad Monopoly T-Shirt -- RT for a chance to win! http://t.co/JZj7uJ6sJS. #BBgiveaway http?
20034040_389566558923538434 x	The Movie Monsters Size Comparison Chart You've Always Wanted http://t.co/Qp08Q8wyww via @aenon1mus
20034040_389565481864007680 x	Top 8 Sources For Downloading And Printing Masks http://t.co/y5H1YPSsWO via @makeuseof
20034040_389300898960523264 x	#AkridgeSpookFestWeekend #netherworld #atlantazombieapocalypse #EPIC #marriedlife @ Atlanta, GA http://t.co/FvMAxTMapu
20034040_389206888245518338 x	I've been shooting and running from zombies for almost 2 hours now!! (@ Atlanta Zombie Apocalypse) on #Yelp http://t.co/lI6QyMj0v5
20034040_389137267811307521 x	Gravity baby!! FINALLY (@ Studio Movie Grill) on #Yelp http://t.co/Y9n35oXrOo
20034040_387685701052952576 x	I cannot believe I just heard a "Roundhouse" reference in #sawbones. Gobsmacked. I feel so..so..relevant! Thank you @sawbones. You rock.
20034040_386562323264974850 x	I got Gabrielle Union. This quiz says, "You are always up for a challenge and know how to bring it, just like... http://t.co/4LjdxKxLgN
20034040_386561621125906432 x	I got Henry Fonda. This quiz says, "You are sincere and well-liked, just like famed actor and Nebraskan Henry... http://t.co/a976oLcAt7
20034040_385500085741551617 x	How to Lose Weight Without Working Out http://t.co/LHJaHMXNC6
20034040_385409738282119168 x	Forever a favorite of mine. ::tear:: ? Entertaining Angels ? Newsboys http://t.co/wljiM58amh #NowPlaying
20034040_384777536904785920 x	RT @juliussharpe: "Breaking Bad" gets its most viewers ever. Because when better to start watching a show than the finale?
20034040_384777482693398528 x	RT @pattonoswalt: You can shut down the government, but you can't shut down my Twitter fe
20034040_384775847187472384 x	RT @simonpegg: Dear @BryanCranston @aaronpaul_8 @deanjnorris @betsy_brandt @RjMitte @mrbobodenkirk #AnnaGunn @BreakingBad_AMC. Missing you ?
20034040_358758861001330688 x	@iambatman106 oooh! Where did you go??
20034040_384774215074734080 x	RT @deanjnorris: In Rome@FictionFest  haven't seen Breaking Bad finale.Hope some jerk doesn't spoil it fr me on twitter.Pretty sure it was ?
20034040_384772275355926528 x	RT @BryanCranston: The opening lyrics to Bad Finger's song at the show's end is Walt's prophecy, "I guess I got what I deserve...my baby bl?
20034040_384544105269035008 x	RT @peteholmes: Best part of my day. https://t.co/c8Z1Vqcgzu
20034040_384526890536828928 x	RT @slack2thefuture: Also: Vince Gilligan is known across the industry as a very nice guy. Remember that next time people say bad behavior ?
20034040_384526784769056768 x	RT @ThatKevinSmith: On a plane back to Los Angeles, currently over Albuquerque. I'm the fat guy waving g'bye to Walter & Jesse from up here?
20034040_384513980871761920 x	@betsy_brandt steal anything fun from the set? Let it out!!!
20034040_384513126282305536 x	@betsy_brandt can steal ANY utensil she wants out of my kitchen anytime. #missyoumarie #breakingbadfinale
20034040_384509809703526400 x	@pattonoswalt Goodbye baby blue...
20034040_348235817879224321 x	RT @MattMira: Remember that time vine was gonna kill Instagram and then that update happened?
20034040_384509644766724097 x	RT @BreakingBad_AMC: The only one who could deal with Walter White and Heisenberg. #GoodbyeBreakingBad http://t.co/9FpKzcxxkR
20034040_384492684842647552 x	See! I always said sugar substitute was dangerous! #GoodbyeBreakingBad
20034040_384475640533381120 x	@aaronpaul_8 enjoy one hell of a night you talented bitch :)
20034040_384475288887107584 x	@aaronpaul_8 thank you for everything you've given us Aaron. Jesse will be missed.
