2156147933_394966125785907201 x	@NFoles8 stay down bro. #Tanyahardinghaditright #dontgetbarkedbro
2156147933_395741820623548416 x	Flight to Philly is booked, coming in to watch my bro dominate this Sunday. Flying in early to bro out hard at Mad River Saturday bros #MB2
2156147933_395371986589073409 x	Coming to Philly this weekend to see my bro set records, anybody know what bar makes the best J?gerbombs? #MB2
2156147933_394926885140185088 x	.@MarcusTebow oh no you didn't bro... Your bro can't even get a job in Canada #yougotbarkedbro #MB2
2156147933_396102240605597697 x	.@FakeWIPCaller seriously bro, he's already got a franchise QB. My bro is gonna be the face of the league. #MB2 #elite #thefuture
2156147933_396077365774016512 x	@phillyceltic nah bro it's not that big a deal, took me a while to learn how to spell Barkley too #MB2
2156147933_396077110483505152 x	RT @phillyceltic: @MarcusBarkleyQB they sell # 2 Eagles jerseys with Akers on the back instead. That's respect bro
2156147933_396075301710864384 x	@MattBarkley hey bro, saw some clown dressed as that Foles dude. Stole his candy, got so many kit-kats #MB2 #hegotbarkedbro #elite
2156147933_396072370542505984 x	"@Winless4Wiggins: Just an FYI: I won't be able to watch the game tomorrow night" Don't worry, BarkNation has your back. #MB2
2156147933_396064242857558016 x	@NK975 bro, @MattBarkley and MCW are the future of Philadelphia.  #yougotbarkedbro #elite
2156147933_396043799589179392 x	Tell ya what...not enough bros dressing like @MattBarkley for Halloween. #MB2 #KEEPLIVINGINTHEPASTPHILLY
2156147933_396032648683876352 x	This constant doorbell ringing is more annoying than animal rights activists...@MVFive Am I right or am I right?
2156147933_395034008658403328 x	@TTrain_doe aww that little girl has a cute Halloween costume!
2156147933_395873066669981696 x	"@MVFive: That ship not taking off, got to control your own destiny!" Heard that, bro.
2156147933_395754450520141824 x	RT @colhotfarts: @MarcusBarkleyQB @MattBarkley BroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBroBr?
2156147933_395746766613913600 x	@Jt856 no bro seriously the eagles play in Philly. Kinda embarrassing for you bro #yougotbarkedbro
2156147933_395742494711099392 x	@PhillyFanMan eagles play in Philly bro. This dude serious? #yougotbarkedbro
2156147933_395724926365073410 x	@MattBarkley  your leadership is so contagious bro. So contagious.
2156147933_395722878139637760 x	RT @therealtomjudd: @MarcusBarkleyQB if the Cards survive and force game 7 in the #worldseries they should have your bro start game 7 #cann?
2156147933_395709774232551424 x	"@TonyBrunoShow: I want to thank Dwayne Wade for conveniently getting his period tonight. #SixersStrong" only if Foles would do the same...
2156147933_395694183656067073 x	When you have this type of shooting accuracy, no need for the read option. #MB2 #Togetherwebuild
2156147933_395691047713398784 x	The 76ers got dat Barkley swag right now bro @_Philly_Talk @Winless4Wiggins
2156147933_395673097443233793 x	RT @Winless4Wiggins: Sixers fans:   Keep tweeting #WinlessForWiggins and keep your eye on the trending topics!   #WinlessForWiggins
