2159579735_397075559651753985 x	@Lamestorybitch http://t.co/LEOYtCtBy5
2159579735_397077778337906688 x	@Lamestorybitch http://t.co/BuR5oAdFQn
2159579735_397080310300807168 x	@Lamestorybitch http://t.co/KbdXuzkJxe
2159579735_397090344850186240 x	@Lamestorybitch http://t.co/Pjrlm5E1nZ
2159579735_397095327251329024 x	@Lamestorybitch http://t.co/VSrGJ7VAsY
2159579735_397096265420648448 x	@Lamestorybitch http://t.co/E6DzCPZop7
2159579735_397096649576968192 x	@Lamestorybitch http://t.co/0tzhwqtzPC
2159579735_397097301954818048 x	@Lamestorybitch http://t.co/Fdow6l3fe2
2159579735_397097690506731520 x	@Lamestorybitch http://t.co/R34I8O6ZaM
2159579735_397098364330070016 x	@Lamestorybitch http://t.co/9bUwcYLkm2
2159579735_397126686791450624 x	@Lamestorybitch http://t.co/l3YqKoNABU
2159579735_397135603571359744 x	@Lamestorybitch http://t.co/z7HC7rMtyp
2159579735_397136906053767169 x	@Lamestorybitch http://t.co/QIHnW4GhIA
2159579735_397139980709273600 x	@Lamestorybitch http://t.co/Qq0uCVZTQS
2159579735_397141587551338496 x	@Lamestorybitch http://t.co/sWyetrkVfr
2159579735_397156119237623808 x	@Lamestorybitch get over yourself
2159579735_397158101746737152 x	@Lamestorybitch when you are.
2159579735_397160379438366720 x	@Lamestorybitch alright.
2159579735_397169589781823488 x	@Lamestorybitch your writing why?
2159579735_397175861721702400 x	@Lamestorybitch but your commentary doesn't matter.
2159579735_397176237443276800 x	@Lamestorybitch that isn't something you would need to check.
2159579735_397176637193990144 x	@Lamestorybitch sounds personal ?
2159579735_397176988802510848 x	@Lamestorybitch you should speak with yourself about that.
2159579735_397182655135232000 x	@Lamestorybitch I don't give a flying fuck.
2159579735_397184302947262464 x	@Lamestorybitch repetitive. Try again.
2159579735_397318062380437504 x	@Lamestorybitch corny do better.
2159579735_397329780712165376 x	@Lamestorybitch http://t.co/8pX7qbfpXX
2159579735_397339551293014016 x	@Lamestorybitch http://t.co/mmpZUZO8pe
2159579735_397465352508305408 x	@Lamestorybitch stfu hoe.
2159579735_397466859840479232 x	@Lamestorybitch http://t.co/mepTzRqnAv
2159579735_397467768880365568 x	@Lamestorybitch http://t.co/BWg1uPugiw
2159579735_397468975690711040 x	@Lamestorybitch http://t.co/LsItUAKAmI
2159579735_397475335153147904 x	@Lamestorybitch http://t.co/TSsC1RxHev
2159579735_397070814774050816 x	@Lamestorybitch shush.
