2169781712_396844892569092096 x	@ZTF_Official
2169781712_396844871421423616 x	@AvrilsusChrist
2169781712_396841430330519552 x	RT @ZTF_Official: Assalammualaikum,selamat morning semua..dh bgn ke?? Jgn lupa vote #ShoutAwards XD
2169781712_396798846568644608 x	RT @AvrilBrasil: J? viram quem apareceu no "Hot This Week" do @VEVO ontem? <3 http://t.co/HSEpF8z7zf
2169781712_396798806211055616 x	@AvrilBrasil @VEVO  hello
2169781712_396644017439375360 x	RT @slothingwitjai: Jai brooks - the most perfect human in the world http://t.co/tovDbBRct9
2169781712_396643998627930113 x	RT @MuhdAizatAmdan: My brother Amar open up Boost for all who is in Avenue k at level 2. Laye palo CEO @kgegar ni. Grab? http://t.co/covLQv?
2169781712_396643958459084800 x	RT @slothingwitjai: Babies? http://t.co/Mu6hzPAQ1l
2169781712_396643902192492545 x	RT @aznilnawawiHM: Haha budak tom2bak RT @Who_Gusta: Tengok video @aznilnawawiHM :D Haha pak nil suruh saya menari tadi. Tak pandailah haha
2169781712_396643851466575873 x	RT @calumhoranjpg: ?@frapputomlinson: OMG SIMON GIRLS DO NOT OPEN THIS http://t.co/s3LEcvFvBZ? i
2169781712_396618462035841024 x	RT @LMFAO: RT @SkysNuts: Check out my new interview wit @billboard!!!! http://t.co/aAFxCHon55 #REBELMUSIC
2169781712_396586556929998848 x	RT @NjwaLatif: Yeayy. Minggu depan ni jodoh itu milik kita mesti best. Diorang dah nak baik! Yeay yeayy! :D
2169781712_396584419881807872 x	RT @YouTube: .@Mixmag have gone deep into the world of live DJ sets and have found some pearls. http://t.co/uGytI5uJWK #YTMA
2169781712_396583759681552385 x	RT @GemmaAnneStyles: I think it's safe to say that the Macarena has not made it to Japan. http://t.co/UquIrVDVvv
2169781712_396579702418063360 x	RT @apit_awayy: @taukerajalawak ! Bro , lawak lu memang menjadi ..
2169781712_396579272858419200 x	RT @Shaheizy_Sam: Me and my partner at the ASK 2013 PC. Hehek ;) #NescafeOnSam http://t.co/TizX5vf5Vw
2169781712_396579240981708800 x	RT @Nor4Danish: Waiting for our new cats http://t.co/gAZu23ZL3l
2169781712_396546293767479296 x	RT @lovatonanight: hey I'm demi lovato from the x-factor and you're watching tv
2169781712_396546268480024576 x	RT @DLovatoNews: Demi Lovato on The Katie Couric Show Photos & Captures (10/24) http://t.co/5ahhNT1S4Y
2169781712_396545865558413312 x	RT @zizanrajalawak: best la kitkat ade acc twitter baru,korang semua jngan lupa rilek brsama kitkat n follow @KitKatMsia #breakwithkitkat h?
