222112122_224631233500561408 x	@Jvr1221 you guys staying tonight?
222112122_326069985464164353 x	The @Lakers would def be winning this game if @kobebryant was playing #fact @KD_Krunch
222112122_338174900189687808 x	Second chances are given at maynards @evanPAPAgiorgio @jvr1221
222112122_390976748227424256 x	This place is loud as hell tonight. Battle of Pennsylvania. Lets go @NHLFlyers
222112122_390848139491811328 x	Gameday. Been waiting for this game all season. Lets go @NHLFlyers
222112122_383788120220925952 x	An enemy of my enemy is my friend
222112122_378223690028421120 x	@MatthewBerryTMR as an eagles fan, i own antonio gates but dont want to root for him this week. Is kellen winslow a smart fill in tonight?!
222112122_377891135215394817 x	@MagicJohnson @FloydMayweather @kobebryant @TigerWoods @serenawilliams @JeffGordonWeb what about @KingJames ?! And any MLB players?!
222112122_376078836880142337 x	Friday relaxing...stogies side by side in the sun...say that 5 times fast!! @EvanPapagiorgio
222112122_374005266611982336 x	@deadmau5 sliced or diced? Theres your answer
222112122_373610491622719488 x	?@SHAQ: DJ DIESEL COMIN SOON http://t.co/pISFN6MOy7? @ba505050 the shactusssssss on the turn tables!!
222112122_371730214457712640 x	I dislike when people share things on twitter that, quite frankly, no one really cares about!! No need to seek attention!! #c'monman!!
222112122_370758600895238144 x	@DickieV going off right now! I love it! Take away the nl mvp or give it to kemp who didnt CHEAT!
222112122_369350225883701248 x	Does hq have a no shirt policy? @EvanPapagiorgio @Marione_11
222112122_365667220690452480 x	@MikeMiss975 good call with the big bad bucs hahaha #spanked
222112122_351022513293246464 x	Soo right on! http://t.co/xaK88D13t1
222112122_349731121606569984 x	@evanPAPAgiorgio my boy since birth and my boy till death. Love you brotha #greatvibes
222112122_347927758237741058 x	"Im Lebron James...i aint got no worries" - G.O.A.T.
222112122_347925133412937730 x	G.O.A.T.
222112122_347886834182926336 x	Great news earlier, now a few rolling rocks, pizza and game 7...LETS GO HEAT!!
222112122_347503615130349570 x	RIP JAMES GANDOLFINI
222112122_344797459505102849 x	RT @BestProAdvice: Your shoes are much more important than you think. People draw many conclusions about a person based on what shoes they'?
222112122_344623956147445761 x	So you wanna keep missing Bosh? Anytime now, thanks
222112122_343914193793204224 x	17 pts, 7 ast and 8 rebs so far. 5 mins left, lets close it out
222112122_343912698850988032 x	CAN YOU SAY POSTERIZED!!
222112122_343905133433851905 x	AWFUL CALL
222112122_343890717606817793 x	Birdman is the man of all birds!
222112122_342807962718441472 x	Chills baby- lets go
222112122_342673743669239808 x	How does Philly sound, George Karl?
222112122_341723224331124736 x	Birdman Birdman its the Birdman!
222112122_341718627969560576 x	GET OFF ME!!!...says @KingJames
222112122_340145088736940032 x	2 weeks ago i heard you on FT talking up Canelo. Now that its official how do you feel about the badddd mannnn Money May? @stephenasmith
222112122_339053445677973505 x	RT @MiguelUnlimited: Im proud of my heritage but honestly, black people are the most judgmental people in the world. Shits sad man.
222112122_337748511498043393 x	RT @Hartsy19: Don?t be so sensitive bruins fans?it?s funny!!!! Maybe a little nervous being up 3-0?
222112122_337616484882862080 x	Curry not selected to an All-NBA team, but Griffin made 2nd team @RealSkipBayless must be annoyed this morning!!
222112122_337415696592011267 x	The KING does it again!!
222112122_336306723956592640 x	That dj booth guetta is playing in at the billboards is ridiculously awesome
222112122_336235459892092929 x	Tracy McGrady sighting?
222112122_334999012618948608 x	@RealSkipBayless @stephenasmith is durant experiencing what lebron went through in Clev? NO SUPPORTING CAST! Hard to win it all by yourself
222112122_334846286362734593 x	Eastern Conference Finals. LETS FUCKING GO!
222112122_334830828611846147 x	Will Smith reppin' the Philly Sixers. Yup. Yup.
222112122_334823328227397632 x	HA! Craig Sager's suit. HA!
222112122_332324319453655041 x	Wow are the Warriors serious? Or are the Spurs serious? #klaythompson
222112122_332276933985452032 x	What a way to close out the quarter. Thats how you take advantage of your skill-set and drive the god damn paint!
222112122_332274912259612672 x	RT @NBALegion: Mario Chalmers has officially made the most 3-pointers in Heat post-season history.
222112122_332274112292601856 x	Love the momentum LETS GO HEAT!
222112122_332152866057904128 x	How the hell does PJ Carlesimo finish 10th in COY voting with a first and a second place vote and get canned?
222112122_331589749485744129 x	Not Worried
222112122_330871122834886657 x	This Nets team is nothing without d-will. And i mean nothing. Nada
222112122_328885113553293312 x	RT @JeffDarlington: I hope Tebow gets a chance. I hope he succeeds. I hope he continues to create the memories he gave the @NFL in 2011. Ho?
222112122_328572192172408833 x	Wow! @celtics closing out the half hard as hell!
222112122_327918985297395716 x	RT @NFL_ATL: Eagles select Stanford tight end Zach Ertz at No. 35. Nice combo at TE with Brent Celek. #nfldraft
222112122_327918512540618752 x	RT @mortreport: #PHIPick Stanford TE Zach Ertz. Led all FBS tight ends in receptions (69) and yards (898). Eagles had signed H-Back ? http:?
222112122_326865984835158018 x	For anybody watching the #heat game right now...the answer is YES, DWAYNE WADE IS HEALTHY
222112122_326865061819846658 x	RT @SportsCenter: LeBron James has 15 points in 1st half on 5-6 FG. In the playoffs, he is shooting a remarkable 82.3% (14-17) from the fie?
222112122_326123877002530817 x	@Ccapuan0 stop hating and #witness greatness
222112122_326062881630216193 x	@evanPAPAgiorgio @jvr1221 @marione_11 can you say 5 dollar pitchers at nards and AC?
222112122_324507200452186114 x	What would ryan lochte do?...wonders no one ever
222112122_322895849577390081 x	ARE YOU KIDDING ME CHASE UTLEY!!!
222112122_322832161742934017 x	RT @NBALegion: Kevin Durant fined 25 thousand for "cutting your throat" gesture.
222112122_322765470656778240 x	@MikeTyson me and my brother recently watched ur highlights #legend are you going to be in philadelphia or around phl anytime soon?!
222112122_322709289716285440 x	Im hoppin on @BrunoMars bandwagon hard as hell!!
222112122_322174160346419202 x	RT @ESPNNBA: Nik Vucevic now has more 30 point, 20 rebound games this season than Dwight Howard.
222112122_320213905781686272 x	@Hartsy19 @fathead http://t.co/ssj7NhT51b @Jvr1221
222112122_319464977494855680 x	RT @GovChristie: It was the right & necessary action to take in light of the conduct displayed on the videotape.
222112122_319464812021153792 x	RT @GovChristie: ?but will make everyone proud of the example he sets every day for the young men in his charge.
222112122_319464796057632768 x	RT @GovChristie: As we move on from this, I?m very optimistic that @RutgersU will select a new head coach who not only puts a winning te ...
222112122_319457721533468672 x	RT @Yahoo: Rutgers fires basketball coach Mike Rice after he's seen shoving, throwing balls at players, and using gay slurs: http://t.co ...
222112122_319457653074055170 x	Thoroughly disappointed in Rutgers. Being a huge sports fanatic n spectator of ALOT of basketball (college n nba); RU will suffer from this.
222112122_318883876946710528 x	RT @KD_Krunch: Last night out of jersey
222112122_315612304966287360 x	@Jvr1221 @evanPAPAgiorgio @Marione_11 backyard view aint bad eh? "I wouldve got em 10" http://t.co/Q18guj5xY1
222112122_312662270398324736 x	@Eagles PICK UP ELVIS NOW!
222112122_312253226550427648 x	@SixersCEOAdam #SixersThroughThickAndThin
222112122_311863125290921984 x	@ESPN_FirstTake did Morris Chestnut just say "eastern conference championship" when in reality its "nfc championship" ??!!
222112122_311855259150594051 x	Damn, Dolphins are making moves. Signing Ellerbe, Clemens and Wallace, while still pursuing Keller and Welker, and keeping Hartline !!
222112122_311154344286380033 x	I've seen "John Q" so many times that i know better than to put it on with 30 mins left in the movie. Not gonna lie #tearjerker
222112122_310442533127856129 x	The Eagles better pick up harrison, just sayin
222112122_308656017904918528 x	?@AlanHungover: If I text you after "k" your ass better feel special.? @jMalamed89 hahah wow this pretty much explains you via texting
222112122_308287697712185344 x	@Ccapuan0 where were you last night? I went to the game yesterday and hit xfinity after
222112122_307697013464637440 x	@RealSkipBayless talk the talk skip! @KingJames big 3 to go up 4 with under 25 secs. Looked clutch and game ending to me...
222112122_307302193378230272 x	RT @SLAMonline: http://t.co/Xgr5T836iQ: Miami Heat do the Harlem Shake (VIDEO) http://t.co/Hoa0wOqpaX #SLAMtv #NBA
222112122_306978472193036288 x	@VINNYGUADAGNINO you can have your king of the garden, but il take king of the league = @KingJames #nobueno4knicks
222112122_303547209746612224 x	@Ccapuan0 @kellymcdon http://t.co/iL0gaf5s
222112122_303547035808825345 x	@Ccapuan0 @kellymcdon finally got to see her! Only a matter of time until "uncle b" leaves her mouth! #beautifulbabygirl
222112122_301883408278224896 x	@Richie_the_kid1 in the words of @DwyaneWade "hes playing out of this galaxy"...good to hear from you brotha, hope all is well!
222112122_301695419229028353 x	Just heard Legler describe @KingJames as karl malone body type - same weight/height, but plays like stockton...bout to be MVP 4 out of 5 yrs
222112122_301527567180132355 x	@Ccapuan0 @ba505050 @TheWOJ_09 really wish we were @ ripka so u could hear me say LEBRON IS PLAYING OUT OF HIS MIND RIGHT NOW #bestofalltime
222112122_301333559396950017 x	Listening to mike and mike in the am and damn @MikeVick is humble and focused now more than ever..lets get it this season #birdgang
222112122_300746036643782656 x	RT @SportsCenter: Kobe Bryant had 28 pts, 9 assists in 107-97 loss to Miami.  LeBron James has now won 13 of 19 career matchups between  ...
222112122_300742866047737857 x	RT @TorreySmithWR: Lebron just isn't fair
