22712873_388081656591966208 x	Has it been too long since we've done a giveaway?
22712873_361965745594327040 x	ACME Giveaway: Follow & RT for your chance to win a "@starwars  #1" Giclee print by Alex Ross. @SalAbbinanti http://t.co/L2k87AEqgx
22712873_361947977176203266 x	Who's up for a @starwars giveaway?
22712873_358224579182866436 x	While we have sold out of the @Montygog #Futurama variant at #SDCC, non attendees may have a chance at snatching some up. More details soon.
22712873_358013509956677632 x	If you're planning on picking up the variant of "Futurama" by @Montygog...I have some bad news for you. #sdcc http://t.co/ZVX1XFDKIb
22712873_355903691976482818 x	New @20thcenturyfox art for @comic_con from @GrisGrimly,@Montygog,@jvcarroll4,@stevethomasart & @atomicbattery  http://t.co/VvQ3ssTfeR #SDCC
22712873_347413619547447297 x	ACME 24 Hour Giveaway: Follow & RT for your chance to win an original #Futurama production drawing. @gotfuturama http://t.co/kG8z1fvpK2
22712873_344591650120671233 x	ACME Giveaway #20: Follow & RT for your chance to win a Samurai Jack giclee print signed by @phillamarr!!! http://t.co/wzBevQKKv8
22712873_340499840725299200 x	Prepping @Montygog  ROTJ release so we're done accepting number request...please note that requesting a number doesn't guarantee a print. TY
22712873_340231527164174337 x	Set your alarm for Friday's @Montygog ROTJ release...if you're hanging out on DarkInk, it's a trap. See you tomorrow http://t.co/p5YZyAAZH0
22712873_337636062472065024 x	Update:We don't have any Dave Perillo (@montygog) news for you today...@GermainLussier and @slashfilm will have it for you all tomorrow...=)
22712873_337624386599268353 x	Some @Montygog news coming later today. Stay tuned!
22712873_336981402165846016 x	Giveaway #19: Follow & RT for your chance to win a #starwars "Millennium Falcon" Techplate. http://t.co/f5Z5QpVl87 http://t.co/YAaddD6wCI
22712873_336905456943521792 x	ACME Giveaway #19 will be announced around 2pm pdt. Stay tuned.
