228835299_375609168386088960 x	@Scrappy_WR yep
228835299_165392518152847360 x	Wing Bowl w/ @JulieDorenbos..  @SportsRadioWIP #WingBowl20
228835299_397963644816080896 x	@therealanus I'm honored.
228835299_400247854977265664 x	@atornetta thanks.  You too
228835299_400247775423901696 x	@jadelupe @CutonDime25 good move
228835299_399917834186526721 x	?@WillCutlip: Anyone want to give up veterans day eagles sweat shirt? sold out! @JonDorenbos @MikeVick @CutonDime25 " ? I want 1 too!
228835299_399917108978782208 x	So ... where's Waldo? #LockerNeedsFallCleaning http://t.co/kRQjeSkmYQ
228835299_399673823945306112 x	Here's something you don't see everyday. http://t.co/mpP36Kl988
228835299_399738667964833792 x	?@MattBarkley: @JonDorenbos nice picture from your flip phone camera there #pixeledout? ??? haha
228835299_379399198195843073 x	Like ole' times.  Kickin with my boy @lebronjames http://t.co/ePvOi0NyfJ
228835299_399670874531721216 x	Keep tradition.  Winning makes flights way better. Returning from Lambeau @rileycooper_14 brentcelek http://t.co/ZnkSIaSSYk
228835299_399738005076070401 x	@bluehand4 agreed
228835299_399674879491846144 x	@TheFoodChemist @RileyCooper_14 haha @brandongraham55 is rockin the beanie
228835299_399670460407095297 x	Keep tradition.  Winning makes flights way better. Returning from Lambeau. #welovephilly? http://t.co/R7vH3hdLvB
228835299_399665579755585536 x	From the frozen tundra of Lambeau Field ... They return.  #Kelly1-0atLambeau #WeLovePhilly http://t.co/NaVAzCyhEL
228835299_399563689897914368 x	@kray54 on out way.  Be there In a few
228835299_399563477536505857 x	RT @kray54: can't wait to see my #UTEP boy @JonDorenbos in action at lambeau tomorrow! My sign is pretty sick!! #46 #magicman #dorenbos
228835299_399563408204636160 x	RT @kray54: had my sis @momtu2 make this sign for me and @R1Jester to watch @JonDorenbos front row in lambeau http://t.co/rBahspSiu0
228835299_399294557856493568 x	RT @TheHankBaskett: It was an honor golfing w/ @bronsoniraq at the #WarriorsNightOut golf tourney yesterday. Honored 2 have signed this htt?
228835299_399246070062276608 x	Nice coat @grmgr42 -- dressin like Eskin these days. With Donnie "long ball" Jones and mykey_k http://t.co/N1VuVdi4fo
228835299_398968316678905856 x	RT @derek_boyko: Coaches from @USARugby hanging with @JonDorenbos today before their game at PPL Park on Saturday http://t.co/CCoNqoMSAG
228835299_398919876787462144 x	@Eagleskleinberg @Eagles thanks.  You da' man!!
228835299_398094002236698624 x	It's official. Thought I'd show @MiguelCabrera how to swing the "Big Stick."  Great meeting you. #ClassAct http://t.co/qu7zKsXVJg
228835299_398273171423784961 x	@PhillyEaglesJR not sure. Good question. Who isn't?
228835299_398078107590336512 x	Just thought I'd let miguelcabrera how to swing the "big Stick."  Great meeting you. #ClassAct http://t.co/36Q5F6OwCq
228835299_398077444395372544 x	@SwaggyMitch @meechone @SpikeEskin ... Yep.
228835299_397500815088570368 x	Traditional winning flight home pic with @rileycooper_14 and @jkelce #BleenGreen http://t.co/aLrwA5lJ9u
228835299_397963336069152768 x	@Owls_BlueDevils negative - no questions. Haha
228835299_397502313159741442 x	Why fight it... Just give the fans what they want to see.  Headed back from Oakland cutondime25.? http://t.co/OMpio9YUC7
228835299_397426920826363904 x	@T_Critt yep #SRSYNHTGR haha
228835299_397283447703863296 x	@T_Critt like a cheetah after a nap.   SRSYNHTGR --- aka --- aStay ready so you never have to get ready
228835299_397283152252895232 x	@T_Critt haha
