22927935_396679536467001344 x	Hack stresses me out lol. He's so adorbs though #HackCityBitch
22927935_390288132387909632 x	Well that was heartbreaking. #Flyers
22927935_396690678589435904 x	RT @IntelligentCFB: Sideline reporter guy: "Coach, what upset you most about that [roughing the passer] call?" Bill O'Brien: "NOTHING."
22927935_396688996933574656 x	@stephanjenkins invite me to the show tonight! Puh-puh-please
22927935_396680619868291072 x	@3eb how about you put me on the guest list tonight at @TowerTheater ?
22927935_396677016944377858 x	@Flyers we are so freaking stupid!!!! #FireHolmgren
22927935_396676931078619136 x	RT @Flyers: Lecavalier (facial injuries) will miss a couple weeks (NBC Sports): Downie remained in the hospital this morning. http://t.co/r?
22927935_396670895173144577 x	Let's Go State!
22927935_396454897715269632 x	RT @FlyersNation: Who are we supposed to blame without Matt Carle, Bryz, and @fakelavy?
22927935_396453970396581888 x	#bastilleamerica come back soon. I miss you and no one cares!!! @BASTILLEdan
22927935_396448102884061184 x	I WISH I WAS BRITISH
22927935_396436721602412545 x	WE ARE SO BAD #Flyers
22927935_396401000984354816 x	Toy Story 3 is so good!!!
22927935_396373678146846720 x	It won't ever get old, not in my soul, not in my spirit, keep it alive
22927935_396363045909172224 x	@Max25talbot @NHLFlyers we'll miss you!
22927935_396362995946618881 x	RT @Max25talbot: Thanks to the @NHLFlyers organization for my time in Phily. Thanks also to the fans and a great bunch of guys. #greatteamm?
22927935_396239528748273664 x	RT @sdre21: TGIF
22927935_396239418971148288 x	@TheSchoolPhilly represent!
22927935_396239358375632896 x	RT @TheSchoolPhilly: Doylestown, New Hope among America's top 22 favorite towns | http://t.co/LhxdB3Bwqx
22927935_396204775265820672 x	RT @TheHungerGames: PHILADELPHIA! TOMORROW: Visit http://t.co/esin0vf9wd to win tickets to a screening!  #CatchingFirePhilly http://t.co/26?
22927935_396038344213553153 x	@TheMikeBray lol I'm sorry! They're adorable!
22927935_396031888399560704 x	RT @VEVO_UK: Looking awkward as ever. Hello from @Bastilledan! #VEVOHalloween #TwitterMirror http://t.co/omQ4SESpir
22927935_396031084699602946 x	RT @pitchforkmedia: .@HAIMtheband to play "SNL" http://t.co/8gC0MbeSsF
22927935_395859509048270848 x	@jonforeman you sound exactly like Stephan Jenkins in "Who We Are." It's mind blowing lol
22927935_395858588943785984 x	H-a-double L-o-W-double E-n spells Halloween!! ?? Happy Halloween!!!
22927935_395729083495354368 x	RT @SportsCenter: Michael Carter-Williams EXPLODES onto NBA scene in an upset over Heat. 9 steals are most EVER for rookie in a debut. http?
22927935_395726277577310208 x	Woah @Sixers! #AllenIverson #MCW #Heat
22927935_395710182308974593 x	@BetrayalABC I love the shirt Sarah was wearing when she yelled at that photographer! Where from?! Please!
22927935_395595655970033665 x	RT @Woodythedrum: People of the USA.  We've been very good boys, so to reward our good behaviour iTunes gave us our own Radio Station http:?
22927935_395364079076147200 x	The @NHLFlyers piss me off beyond words. Grrrrrr
22927935_395358565214724097 x	? You won't forget the one who's making you shake
22927935_395318870162284544 x	RT @Radio1045: Video of @BASTILLEdan touring America so far (Philly is featured): http://t.co/EjikGsK6Pd
22927935_395229810215378945 x	RT @iTunesMusic: Guest DJ @BASTILLEdan gush over Sly and the Family Stone, Bon Iver, and more on #iTunesRadio. (US only) http://t.co/F2bK5V?
22927935_394805434114408448 x	@Radio1045 @Youngthegiant contest online is notttt working. I finally get the letter right and the form times out. Help?
22927935_394647058558484480 x	@buckeyeroberts @PSU_FACTS oh wow..
22927935_394644433184231424 x	@TheMikeBray hey relax. It had been like 24 hours+ since the last one
