232736812_363452602601979904 x	I just earned the 'Beer Gathering' badge on @untappd! http://t.co/phWhm8OJAE
232736812_363452592279805952 x	I just earned the 'Beer Party' badge on @untappd! http://t.co/YTY7uTTCP9
232736812_394629905633513472 x	I just earned the 'I Believe in IPA! (Level 4)' badge on @untappd! http://t.co/gVpdknjSNF #ibelieveinIPA
232736812_393167410272145409 x	I just earned the 'Untappd 3rd Anniversary' badge on @untappd! http://t.co/LZBGuR8485 #ut3rd
232736812_379403018841890816 x	I just earned the 'I Believe in IPA! (Level 3)' badge on @untappd! http://t.co/hRf2GCH0k1 #ibelieveinIPA
232736812_377605382434463744 x	@RealGlenMacnow and yet he still has a job with the Phillies. Really, there has to be someone else in the minors to take his place
232736812_375380233123557376 x	I just earned the 'Pale as the Moon' badge on @untappd! http://t.co/AWsSyABfnv
232736812_375380226878238720 x	I just earned the 'Apprentice' badge on @untappd! http://t.co/VBXWS3Ad9z
232736812_374268635994677248 x	I just earned the 'I Believe in IPA! (Level 2)' badge on @untappd! http://t.co/3FZCj9aX1T #ibelieveinIPA
232736812_373228380369739776 x	I just earned the 'New Brew Thursday' badge on @untappd! http://t.co/Feq6bPDXS3 #NewBrewThursday
232736812_366371367903440896 x	RT @magelb: This is as bad as it gets, folks. Only 46 games left!
232736812_366326372169293824 x	Drinking a Raging Bitch Belgian IPA by @flyingdog ? http://t.co/DRqs2Fw9Gm
232736812_365975587698905089 x	Drinking a Stone IPA by @StoneBrewingCo ? http://t.co/s1lKYvbY0j
232736812_365943694626521088 x	@jasonmyrt jack Bauer is on 24. Jack Sheppard is on lost.
232736812_365942429603475456 x	@975TheFanatic Michael Bluth is from arrested development. Michael Scott is on the office
232736812_363505964533948416 x	I just earned the 'Drinking Your Paycheck' badge on @untappd! http://t.co/812OQ4FGXm
232736812_363505958506336256 x	Drinking a Royal Weisse by @slyfoxbeer at @phillies ? http://t.co/5zXgQpQwWF
232736812_363505958443819008 x	I just earned the 'Taste Crazy' badge on @untappd! http://t.co/UQM8mYuwgv
232736812_363469669241724928 x	Drinking a Summer Love by @VictoryBeer at @phillies ? http://t.co/36JXTN8uHA
232736812_363452583069122560 x	Drinking an IPA by @LongTrailBeer at @phillies ? http://t.co/NA9jkXiju0
232736812_363096212192239616 x	I just earned the 'Night Out' badge on @untappd! http://t.co/geBBRVgQxV
232736812_350751331516026880 x	I just earned the 'Untappd Groupie' badge on @untappd! http://t.co/ydB4ez6Trz
232736812_350751328127037442 x	I just earned the 'Playing the Field' badge on @untappd! http://t.co/jlXRHar9pS
232736812_343585067282620416 x	I just earned the 'I Believe in IPA!' badge on @untappd! http://t.co/kkizX6PsVx #ibelieveinIPA
232736812_343210643308048386 x	I just earned the 'Newbie' badge on @untappd! http://t.co/OI1lDwVc18
232736812_337766641926549504 x	RT @NBCPhiladelphia: RT @AP: BREAKING: Wash. State Patrol: I-5 bridge collapses into Skagit River; sends vehicles, people into water.
232736812_322165802973417473 x	@MikeMiss975 apparently Valdespin claps and bumps his chest on any play
232736812_321426575381905408 x	RT @ryanlawrence21: RT @kevincooney: Durbin now 7 for 7 in inherited runners scored
232736812_321421598475317248 x	He looks cooked @ryanlawrence21: There's an uncomfortable, mild, polite applause for Halladay from the crowd here at CBP.
232736812_320295221315391488 x	RT @NK975: good ole middle relief ... #Phillies
232736812_319618812414676992 x	RT @ducoachflint: Congrats to Denise and @DrexelDragonsWB on the big win!! #DragonPride #NITChampionship
232736812_319614309632192512 x	@MikeMiss975 Evan Gattis flipping the bat like he's Manny Ramirez in his prime
232736812_319613731938115584 x	@TheIdleRich Halladay... Only a handful of folks would watch the slop that is the 76ers. At least people still have some hope with the phils
232736812_319610646733934592 x	RT @MikeMiss975: Halladay NOT happy about being yanked?? Thats 95 pitches, hoss
232736812_319609755033284608 x	@ryanlawrence21 i see a pattern forming here, runners left on base ala 2012
232736812_319594052469280769 x	33 pitches, 2 outs, and down 2?0 in the 1st...ouch
232736812_301665813914591233 x	@975TheFanatic Yao Ming not Shaq
232736812_301667867496169472 x	@975TheFanatic ah right 2 different pics, thanks for the clarification
232736812_291539172416712704 x	RT @phillydotcom: 15th Street closed from Callowhill to Spring Garden due to structural damage, officials say http://t.co/2HRza3IV
232736812_288056155891200001 x	Over @SheilKapadia: Over-under on Earl Thomas calls on local sports-talk radio tomorrow set at 457...
232736812_287651837111320576 x	RT @TechCrunch: Why We Need To Kill "Big Data" http://t.co/FnuzlADA by @leenarao
232736812_278300787350843393 x	RT @VictoryBeer: How many of these have you tried? @ComplexMag 100 Beers to Try Before You Die: http://t.co/JbrmqpTQ ^KN
232736812_277885961680076800 x	Great throw RT @975TheFanatic: Wow.
232736812_277869715060314112 x	RT @LesBowen: Pivotal replay decision here
232736812_277866738601840641 x	Nice hold on that missed kicked.... Laces in #Eagles
232736812_277863565199806465 x	RT @LesBowen: That's very Eagles. Get  the stop, Bucs have nothing going, muff the fair catch and give ball away at your 5
