235071979_370612223074660352 x	@975TheFanatic what is going on with the app?
235071979_395976612438900736 x	@HayeZ_J this is what they do, get rid of guys and bring em back. It won't change until holmgren and Snyder are gone or dead
235071979_370610000269684736 x	RT @The_Puddha: you know, i havent heard Timmy mansmen loves men in a minute
235071979_395975874295918592 x	RT @johnclarknbc10: ?@nslotkinCSN: Good luck in politics... You'll need it. http://t.co/dRbjKuD3X0?... Wow couldnt he change his name!! Joe?
235071979_395961653906653184 x	The @JonandSeanShow need a huge @BumpBumpDeBump for always adding a Y to the end of callers names "Greggy, Toddy, Jeffy". It's sooo annoying
235071979_395922427295039488 x	RT @TimWilde1: I don't think id be going to the Red Sox parade after the boston marathon
235071979_395922409867710464 x	@TimWilde1 haha smart man
235071979_395610170526801920 x	@justinbyrd09  ?@MJohn307: @JonandSeanShow @SeanBrace975 I got em ready for tonight http://t.co/hbZ4mLydDc?
235071979_394901708377440256 x	RT @LisaLampanelli: Actually, stayed in the City of Brotherly Love an extra day to do a little sightseeing. Best time; playing Dodgebullet ?
235071979_394877752731766784 x	@JonandSeanShow your not gonna mention that chip said "we gotta do a better job" about 3 times?
235071979_394258093582061568 x	@Artieshowfans @ArtieQuitter I really hope he does. I'd be really pumped
235071979_393837292621946882 x	Projector bulb just blew ?
235071979_392368225306288128 x	@JimBreuer Yo jim! When will the video for your Bingo song be out? I can't wait to see it
235071979_391768519605379073 x	@975TheFanatic will mike miss's show from Wednesday the 16th be available via podcast?
235071979_390914672196849665 x	@RealSkipBayless last time I checked it's a team game skippy
235071979_390903450063867904 x	RT @EvilMikeTomlin: Allen Iverson will announce his retirement on Oct. 30, as soon as his shift ends at Bennigan's
235071979_390556432887975936 x	RT @BumpBumpDeBump: "I became a Cowboys fan because when I was 5, my mom bought me a Cowboys jacket that was on sale at Macy's and I was ho?
235071979_390556031497289728 x	RT @PatGallen_975: Darren Daulton is becoming an advocate for medicinal marijuana in Florida. That sentence is phenomenal.
235071979_390553670355804160 x	@MikeMiss975 he was ramone in the first season
235071979_390539094146961408 x	@975TheFanatic mikes microphone sounds terrible
235071979_390513681882427392 x	@JonandSeanShow "Hey Dallas, GO FUCK YOURSELF!"
235071979_390202861860429825 x	@SeanBrace975 how the hell did you not like gravity
235071979_390101806191505408 x	RT @GeorgeCarlinSez: She was only a prostitute, but she had the nicest face I ever came across.~ George Carlin #p2 #Quotes #jokes
235071979_389822604699533312 x	Looking for a pair for Eagles Cowgirls Sunday
235071979_389757151570563072 x	@975TheFanatic @TonyBrunoShow @HARRYMAYES975 FOLESADELPHIA
235071979_389757062106066944 x	@Jferrie23 hell yeah! Folesadelphia
235071979_389743330789449729 x	@sammii_d3 you got the good day, I got stuck behind 3 buses which made a 5 min drive into 20 min drive haha
235071979_389756981910970368 x	@sammii_d3 haha I sure hope so
235071979_389742801728335872 x	@Jferrie23 Sunday battle for first against the girls. Can't wait
235071979_387971250217570304 x	@BigDaddy_NOLT I almost wish they would start him anyway so he can hurt it worse haha.
235071979_387972137681965057 x	@BigDaddy_NOLT he's gonna beat the bucs, again, and Vick will lose to Dallas just to piss me off
235071979_387567102770814976 x	@DAVEseason big gulps huh? Well, see ya later!
235071979_387393526084145152 x	RT @sternshow: Big day tomorrow - the great @PaulMcCartney is on the show tomorrow. Don't miss it! #H100
235071979_387188249510559744 x	RT @sternshow: If you haven't already, check out @normmacdonald's interesting theory about the end of Breaking Bad: http://t.co/lzUPiZCnol
235071979_386991121152237568 x	RT @CutonDime25: Knowshon sucks RT @RealSkipBayless: Peyton is doing what Peyton always does. But Knowshon is KILLING the Cowboys.
235071979_385183416716890112 x	@MrCraigRobinson you can't handle my midriff
235071979_385151113869017089 x	@dougzgoodstein why is the Gordon levitt interview not up yet?
235071979_384648386361962496 x	@sternshow  can't polish a turd
235071979_384473898898952192 x	RT @EvilMikeTomlin: My prediction for tonight  Falcons - 27 Tom Brady - Gay
235071979_384464922635423744 x	@bobsaget SAGET!
235071979_383679858016280576 x	RT @EvilMikeTomlin: Good news Eli Manning, same sex marriage is now legal in New Jersey
235071979_383654429146488832 x	@jonhein this is the fattest tweet I've ever seen haha
235071979_383317554024177664 x	@BigDaddy_NOLT it's crazy how some look so bad but they are perfect touch passes right to their hands haha
235071979_383317195151118336 x	@BumpBumpDeBump  id go if it was any of the other 3 haha
235071979_382255913182461952 x	@dougzgoodstein will the performance part of Metallica be on the Howard TV segment? I hope so lol
235071979_382125183043371008 x	RT @Metallica: "One" is being played live on @HowardStern! #EarlyMorningJam
235071979_382104366943338496 x	@RobbRiveraNP yo Robb, there is a spot in Allentown, pa called Main Gate Night club which is a good replacement of croc rock since it closed
