239504491_202197168394735617 x	RT @BUBBA_ARMY_NY: @HowardStern now this is guy awesome!!!
239504491_83151942657912832 x	@DustyTrice @airwavz1 creepy weird ...love it!
239504491_38437452213395456 x	@HowardStern http://twitpic.com/40whpx - Way to chill bro!
239504491_388064466321285120 x	RT @KacieFOX29: Head Coach "Chief." I'd say he means business. @fox29philly http://t.co/B6jqwZc2A2
239504491_342746094033309696 x	How much is @justinbieber $pending to go to space?? I'll double it if they leave him there!! #laterBiebs!
239504491_339696732902408192 x	RT @sternshow: If you want to see Lisa G make out with Ronnie RETWEET this now! #LisaKissRonnie
239504491_323917729373503488 x	#thoughts #prayers #BOSTON
239504491_316994385436893184 x	Horrific! 15 yr old rape victim in the Maldives to get 100 lashes. Tell President Waheed to stop flogging #women: http://t.co/33fuRB8qAj
239504491_243030547759259650 x	...isn't retweeting also redundant?? JS!RT @bobsaget: Isn't a big fat pig redundant? http://t.co/UwfMBUaf
239504491_202577358929133570 x	@LAKings and @phoenixCoyotes #becauseitsthecup ...and a side of @agt because it's @HowardStern
239504491_202486952379940864 x	RT @judifranco: Never watched America's Got Talent b4 but now with Howard I do. So I guess their strategy worked.
239504491_202486392394227712 x	@judifranco I've always listened to @HowardStern as well as @judifranco  on Dennis & Judi! #nj101.5
239504491_202216153748217858 x	RT @nbcagt: And it looks like @HowardStern has a hidden sweet spot! #AGT #HugsForSergio
239504491_202210183714324480 x	RT @EvelDick: I am loving @HowardStern on America's Got Talent so far
239504491_202206352557346816 x	RT @ReVshow: @Mrjimflorentine @HowardStern WOW Jim Skiping Hockey For AGT Howard is making us all Homo's AND I  LOVE  IT !!!
239504491_202206217051971585 x	RT @BTLSRadio: @HowardStern very proud of u
239504491_202206098621612032 x	RT @Mrjimflorentine: @HowardStern making me miss Rangers-Devils game because he's killing it on AGT! #HeyNow
239504491_202205121654964225 x	RT @captainjanks: @HowardStern Great!!! You are the KING! #AGT #howardsternspenis RT
239504491_202202743853694977 x	Loving #agt and @HowardStern
239504491_202196619800743936 x	RT @cwotd: Thank U @EddieTrunk for mentioning me to @michaelhsweet on tonites show!! I cant even comprehend that one of my idols knew wh ...
239504491_202035435898286080 x	RT @MarthaQuinn: Toniiight Tonight, won't be just any niiight...Prime-Time @HowardStern on @nbcagt 8pm!
239504491_199465105145081857 x	Monday mornings are starting to feel like a combo of a funeral, a lost pet, and a bad car wreck....without the vehicle...js
239504491_199460359655014400 x	RT @TDGgirl: I favorited a @YouTube video http://t.co/k16AEIc3 Halestorm  Lzzy Hale speaks with http://t.co/h0yc692K
239504491_199454232250810368 x	RT @The_Monkster: @joerogan this exists now at the conrad in Dubai. http://t.co/Gi7k3ni6
239504491_199453925454258177 x	RT @joerogan: Crazy underwater hotel to be built in Dubai http://t.co/Sx4tIMmp
239504491_184303907575562240 x	Would it gain more viewers, if you "force" them to (accidentally) cut themselves??...just sayin
239504491_184301154283429888 x	@judifranco Love the  D & J show! Absolutely LOVE the idea for the "Acid reflux" reality show! ........oops! Sorry, I just heaved!
239504491_184234308154826755 x	So...you were scared up the mountain??? RT @ladygaga: Went cycling yesterday+when it got harder (cont) http://t.co/DdvORs1R
239504491_183381476811882497 x	RT @MikePortnoy: Hmm, I have 140,000 followers on Twitter & 620,000 on FB...if you each bought the new @AdrenalineMob & @FlyingC ...
239504491_182066322891481090 x	Cool, but who's Alli Need?RT @MFBrooklyn: Today,healing nicely! http://t.co/R9SXQ5GZ
239504491_180995224003297280 x	RT @captainjanks: ?? ???? ??????? BABA BOOEY RT ??????? ??????
239504491_179881165065437184 x	Baba-booey! Baba-booey!RT @captainjanks: Happy 60'th to @robertAbooey! RT
239504491_175219670679420930 x	If I could accomplish all my goals in one day.....I think I'd be bored as #shit for the rest of them....JS!
239504491_175217503973285889 x	#happybirthday @RealRonHoward !!
239504491_175216184902430720 x	#love to be you for 1 day!...seems amazing!!RT @RealRonHoward: Rigging a classic limo for a scene at a private airport http://t.co/7RxwKewe
239504491_175189924662870017 x	#love!!!RT @casey_weston: Some people would like to fill the world with silly love songs. Well what's wrong with that?
239504491_175189541471264768 x	RT @DougStanhope: Interview about new release BEFORE TURNING THE GUN ON HIMSELF, which is out soon. http://t.co/QTJRvteZ
239504491_175188631831580673 x	Where's the #love ??? http://t.co/ZxlukVuJ
239504491_174992998227132416 x	@CarlySmithson oh-tay!
239504491_174935009097039872 x	RT @cnnbrk: Former Monkees member Davy Jones dead, source says. http://t.co/9epZBGyq
239504491_174928299959652352 x	RT @realDonaldTrump: Gas prices are up 30 cents this month, rising 21 days in a row http://t.co/qzQI1z9p  Don't worry - @BarackObama has ...
239504491_174926937989447681 x	@airwavz1 sad :'( RT @reporterjon: RT @pawnshopfilms: RIP Monkees Singer Davy Jones Dies http://t.co/D0ao9aLz (via @ABC)
239504491_174925485669752832 x	RIP Davey Jones....sad! :'(
239504491_174820745095020545 x	@justinbieber HBD #JUSTIN BIEBER I <3 @justinbieber doesn't everybody?
239504491_172461442321227776 x	@tonyharnell @airwavz1 Anything new on the horizon my friend?? love the voice!...LONG TIME FAN!
239504491_171795943212064768 x	Beautiful voice! Wise choice! You'll win hands down! RT @mathaimusic: Life is too short to not follow your dreams. RT and love on #teammatha
239504491_171782679384170496 x	@DiaFramps congrats! Must be awesome!
239504491_171780969643245568 x	RT @FillWerrell: Twilight. Taking the 'N' out of "Vampire Fangs" since 2007
239504491_168541576191160320 x	RT @salgovernale: Before there was auto tune, 1000 back up dancers and lip syncing there was talent. That talent is gone. RIP Whitney Ho ...
239504491_168541054793031680 x	RT @simonsam: R.I.P. Whitney Cummings.  Now I'm sorry I said all those mean things about you and your crappy show.
239504491_168538726161584129 x	RT @RIPWhitneyH: R.I.P. Whitney Houston. Retweet for respect.
239504491_166340224744570880 x	RT @CLEATUSonFOX: Everybody take a moment to recognize our troops! #army #navy #marines #coastguard
239504491_137279045682466816 x	RT @PiaToscano: Laying in bed watching 30-minute meals with Rachel Ray.. Wishing that a Diners Drive ins & Dives marathon would come on. ...
