260380348_373226435692859392 x	PROTECTED
260380348_286441699130089473 x	cheap beer and newport/kool decorations #rollyuletide http://t.co/dXj0ByFh
260380348_286273224533233664 x	#rockstars http://t.co/j8FmTjEV
260380348_386522733192155136 x	The Untouchables Lunchables #addawordruinamovie
260380348_386520973643886592 x	good will wild boar hunting #addawordruinamovie or #AddaWordMakeaMovieDelicious
260380348_386519915832049664 x	batman begins therapy #addawordruinamovie
260380348_383415065279725568 x	RT @RealMikeSinger: 34-year-old Canadian woman enters half-marathon, makes wrong turn, wins marathon: http://t.co/Wa3IM8cxlX
260380348_381595380917760000 x	@GillenLeeRiggs not a capn beefheart guy? c'mon. eeeeeeeeelectricityyyyyyyy
260380348_378644395962417152 x	RT @foodsyoucaneat: That was more than enough pants for one day
260380348_377849860751630336 x	hoagie haven
260380348_377965721139286016 x	@Ak47rapidfire sammie skid row
260380348_377190065619079169 x	A giant moonbounce. All white. Hovering.  Coming up on Rob and Rob. @robdelaney @robdyrdek
260380348_377188652151234560 x	Washington RileyCoops until they change their name. Less offensive. #FlyEaglesFly #birdgang @BleedingGreen @RoobCSN @SpikeEskin @birbigs
260380348_375767562341974017 x	RT @TheOnion: Wal-Mart Announces Plan To Slash Customers? Throats http://t.co/XGkzFtlm2R
260380348_375407786420895744 x	RT @taramurtha: Roast okra, perhaps with cumin, for a fantastic slime-free okra experience.
260380348_374335332759531521 x	RT @darrenrovell: Woman named Miki Sudo ate 178 wings today in 12 mins and won the National Buffalo Wing Title http://t.co/Ao96CkFw8R
260380348_374335045915262976 x	@RoobCSN @craigsburnett im gonna say right now that he will have a fatboy fumble return for a TD that will be dubbed "the rumbling cronut"
260380348_371089484320079872 x	experiment: what would be left if i removed all the lettuce from my salad? finding: 50lbs of roast pork #science
260380348_371072515587584002 x	If you drop a cough drop, that is called a cough drop drop
260380348_371072218974785537 x	Coughed out my cough drop - now i got the lady pressin apple cider vinegar on me
260380348_371058995739385856 x	RT @ToddZolecki: Phillies having a 90s night. Handing out these placards. This is awesome. http://t.co/Tq4aVONvR1
260380348_362666625192833024 x	RT @RileyCooper_14: ?@Tara_Booher: ppl say such dumb things on twitter sheeesh?Agreed!
260380348_362666583291723776 x	RT @RileyCooper_14: Is Grown Ups 2 worth going to see??
260380348_356879459258871809 x	RT @robdelaney: Huskies often have 2 different colored eyes because they have 2 different colored "power stones" in their stomachs. #DogSci?
260380348_356590419099914240 x	RT @mattdpearce: Trayvon Martin demonstrators are marching on the FREEWAY in LA. https://t.co/GB8oJBp2sS
260380348_355951130880118784 x	#sharknado a spinoff of pulitzer winning The Orphan Master's Son? "Send down a thousand sharks, please" - N Korean fishing boat capt on p 51
260380348_342988524582223872 x	CVS passport photo lady, "no more pitchurrs no more pitchurrs... you look handsome. in 10 years you'll be sayin why can't I look like that"
260380348_337301434875916288 x	#skateboard slash car ax slash see you at #painespark http://t.co/qbZ8RnSdmC
260380348_332971431082221568 x	@dhm it's like a goddam Bosch painting
260380348_258394113412571136 x	RT @Pat_Healy: Fred Armisen was great tonight as every audience member. #Debate
260380348_329628587365892097 x	just spent 3 hours surfing the web on a screenshot of my browser. slow load times man. any ideas? @Ak47rapidfire @fresholdidea @ihatefloss
260380348_280062471493017600 x	you read the book now feed it to your dog http://t.co/s7FHL8u3
260380348_329904921824620546 x	@Ak47rapidfire @fresholdidea 1take screenshot of browser 2close browser 3surf away on screenshot #lifehack
260380348_327638264687247360 x	RT @Eagles: One more for the road: From #Eagles Digital, #EaglesDraft is ... http://t.co/aslO3eTaGf
260380348_326874890978336768 x	almost ready to put the finishing touches on the ikea/annie/luke KATTDJUR, a couch turned cat perch...? http://t.co/D7LRKHOqKN
260380348_326668415827845121 x	RT @phillydesign: "Wry tweets from the stream of consciousness interposed with a soft rain of re-tweets, arch comments and shared links." ??
260380348_324501508890710016 x	@Ak47rapidfire ha i watched one where he says the mulleted unicorn told him to skate. a budding young talent indeed!
260380348_321444243195449344 x	?@HuffingtonPost: Lost TLC video finds way online http://t.co/K3HQKga3gw? @ihatefloss
260380348_321011053486022659 x	RT @CreativeBloq: In need of some web design inspiration? Check out these 35 awesome examples of CSS: http://t.co/4NWhYB7FDu
260380348_321009182771908608 x	RT @debimazar: Terrifying story on PETA.. http://t.co/ez6WXa2NhF
260380348_320160719431663616 x	#jade #plant #silhouette http://t.co/JbBD2bm9ze
260380348_318434182399393792 x	@vanessvelocity he alway dress that way: http://t.co/EMwm1CWeAX
260380348_318434729517019136 x	@vanessvelocity Don't apologize! it IS absurd!!
260380348_312168655116972032 x	dunce cap fire hydrant http://t.co/EQxnljtZ97
260380348_311997705503264768 x	RT @visitphilly: "Philadelphia IS the most underrated city in the world." -Mark @Bittman of the @nytimes, speaking in Philadelphia
260380348_311628432503083011 x	sculptor Dana Stewart makes the best beasts i seen http://t.co/jPdrIlHHkI
260380348_311237635840561152 x	#Pliny the Younger line at Monk's (shot 2). I guess 100% of proceeds go to Alex's Lemonade = long line http://t.co/UzGgsX8aJc
260380348_311237188585127936 x	#Pliny the Younger leaves a line around the block at Monk's at noon... is it still on tap? #russianriver #beer #phily http://t.co/aPF1sYK37w
260380348_309363461064908800 x	?@JohnnyZito: Yo, South Philly, this is why we can't have nice things... like trash cans - http://t.co/pQP7VktvK9? @Ak47rapidfire
260380348_309073640299851776 x	RT @robdelaney: "With Chavez' death, perhaps we can begin to heal from Benghazi." - a Breitbart columnist typing, right now
260380348_307348237231194112 x	RT @handynastyphila: Holy jeezballs Elysian Jasmine IPA is smooth as an Asian man's chesticles. HDOC steppin up wit dem big boy bottles  ...
260380348_307347787610214400 x	RT @nytimes: Former N.B.A. star @dennisrodman and Kim Jong-un share some laughs at a basketball game in Pyongyang http://t.co/9z0oDrAhyI
260380348_307337719728705536 x	@FOX29philly view from 23rd and locust blue and red lights lit up our apt http://t.co/ypY1bknimc
260380348_307336548322516992 x	@the700level @phillyinquirer @22ndandPhilly @joelmathis view from 23rd and locust as cops swarm drive by shooter http://t.co/3uh5VrMNHV
260380348_307169790760468480 x	@prudd77 @skoutmedia word
260380348_306619527439978496 x	"dont try to #paint a mural on rough plaster" mural day 1 http://t.co/LK6Wz6sdrK
260380348_304649972320727040 x	someone tried to drive their car down the schuylkill river trail and got stuck. #toofasttoofurious http://t.co/04IxKlNA81
260380348_303259106381266945 x	actually made a tangible #collage. maybe i should stick to my day job? http://t.co/BIPfdAkC
260380348_303133173057986560 x	schuylkill banks trail extension boardwalk will connect to s street bridge. awesome people photoshopped? http://t.co/0ntqZHKK
260380348_302998999286300672 x	@JoannaLeeSimon I'm watchin at grace tavern (on mute?) so thanks!
260380348_302363237570203648 x	griffin aghast @aiww http://t.co/KJG5d4Ku
260380348_296476190334676992 x	@ihatefloss I hope you mean Borat's version of "BABARA BUSH" a great man.
260380348_296475832409550848 x	RT @nytimes: Commuting 40 miles to work. On a bike. One way: http://t.co/BnU6ieGW
260380348_296356665882705921 x	Photo: New construction beside the post office. Look for the silhouette of the construction worker balancing... http://t.co/KJIyyIdR
260380348_295711488008658944 x	got gloves and saw the world's biggest pipe organ @ Macy's http://t.co/VghGWpZE
260380348_294830783884042240 x	trolling the cosmos for signs of intelligent life. http://t.co/FF0Dg0fU
260380348_287238663597879296 x	RT @zoowithroy: I'll bet the Chiefs are using Google Docs to track the final changes to Andy's contract, which isn't signed yet, I'm hearing
260380348_286820247200215040 x	Photo: annie and i surrounded by crazed mummers http://t.co/0uwRg0nU
260380348_286779348697104385 x	@IanKarmel as in big daddy kane?
260380348_286779169780686848 x	RT @IanKarmel: Next on The Kanye West Wing - The Commander in Louis Vuitton is in hot water after he's caught using a credit card that s ...
260380348_286180044139802625 x	no cat pictures on instagram new years resolution broken @ Pussydrome http://t.co/x95pgyXI
260380348_282875036560412672 x	RT @phillydesign: LaPierre has always been crass and obnoxious. George Bush Sr.'s 1995 resignation letter to NRA: http://t.co/xp9P20Lp v ...
260380348_279668375435747328 x	@fresholdidea @mashable and an animated gif(t) back (i assume you a referencing this): http://t.co/EJezPfGk #animatedgif
260380348_279674508128956416 x	@fresholdidea thanks dude yeah trying to draw with type more a la Paula Scher: http://t.co/bQiuSQqh She has show at PMA right now it is sick
260380348_279730649806536704 x	@fresholdidea if watching ted talks is productive, then you could call me theodore
260380348_277240945756471296 x	Photo: at Bistro 19 http://t.co/erfuX1fq
