265082363_357677811382751233 x	@Anthony_Becht how about a follow for a fellow bonner football alum. #BleedGreen
265082363_396421918473322496 x	RT @iLikeGirlsDaily: Retweet for ASS Favorite for BOOBS
265082363_380309899768778752 x	@WIPMorningShow Dawkins and Jim Johnson.
265082363_371727271931150336 x	@Anthony_Becht u miss playing ball? #bonnerfootball
265082363_371730713638600704 x	@Anthony_Becht less painful. Real question is do you miss Stumpy Coyne. I know I do.
265082363_371745201389580288 x	@Anthony_Becht very similar to Hank Stram. Every game I heard "Stevie ur better than that". After a while I thought Stump maybe I'm not
265082363_371623267217711104 x	@IMagainstALS green monster
265082363_371623175886733313 x	RT @IMagainstALS: Test drive number 1... "Yeah, I can fly." -Tony Stark #ironman3 #ironmanagainstals http://t.co/7lU41rlJtR
265082363_371622867240484864 x	@IMagainstALS the loophole to posting on your Facebook page. Woohoo! #HashTag
265082363_370897932469673984 x	@WIPMorningShow when does Angelo come back? I knew I missed Angelo but after listening to Howard today I really miss him.
265082363_369291849967480833 x	@nicoleandbri Nikki is def not fat!
265082363_368923266708033536 x	@Brittany_Camac Nicole misses u!!!
265082363_362949597896777729 x	@RileyCooper_14 keep ur head up bud. U apologized like a man time to get back to football!
265082363_361348231822721024 x	@katiekox awesome pics!
265082363_360201937582436352 x	@ChrisSteuber @nfl or make a laughing stock of our city.
265082363_360158344973004801 x	?@Brittany_Camac: Worked for 8 hours today and walking out with nothing. Glad I put money in your pocket. #ass? where do u work?
265082363_359853264965091328 x	@Brittany_Camac that's a def compliment.
265082363_359853173764132865 x	RT @Brittany_Camac: Someone told me again today that I look like Kate Middleton! #yerp
265082363_353291173378527232 x	@Anthony_Becht good stuff!
265082363_352389389290184704 x	@RadioBethany ur my favorite voice on the radio.
265082363_352188854335315968 x	@darealtank78 please have the morning show to stop comparing Brian Dawkins to Chase Utley. It's not fair to B-Dawk20.
265082363_352192937511231488 x	@darealtank78 not only that Brian is an icon in this city.
265082363_350357203741450240 x	@GuyCodes forgot rod caruth
265082363_347299968702349312 x	@RadioBethany love ur profile pic!
265082363_345024705629147136 x	@ThePaigeWyatt do u think I'm semi good looking? #askpaigewyattanything
265082363_324352561786273792 x	@Anthony_Becht best Bonner Friar tight end. #wholetthefriarsout
265082363_324338789034110976 x	@drdrew who is the psychologist being interviewed in the court room today? Her answers are incredible.
265082363_316265321096953857 x	@AskBobForrest u got my follow!
265082363_304312115404079105 x	@Kate_OsmanLFL I love the article. #philadelphiapassion
265082363_293450378375229440 x	@sharkmessina23 congrats
265082363_292280379434471424 x	Follow @sharkmessina23 he is entertaining.
265082363_275473519188508673 x	@BrianDawkins it's not good. Can u come back next season?
265082363_264120821667221504 x	@jschramer   I watch unstoppable every time it's on just to see u!
265082363_260593619721932800 x	RT @chellsugarpussy: I soooo want to feast on Jana Cova's delicious, succulent, juicy labia! http://t.co/MDNNgRxt
265082363_257174878002765824 x	@TaraReid had it 2 weeks ago! Not fun!!!
265082363_257146446044860416 x	@Samantha_Steele I love Ticonderoga pencils too!!!!
265082363_257146257380880384 x	RT @Samantha_Steele: Coach Corso surprised me w/my fav pencils 2day. 1 of the best presents I've ever gotten. Judge away! http://t.co/C8 ...
265082363_256902715282710528 x	@SexycouplePics nice!
265082363_255783646898843648 x	@Anthony_Becht let me get this straight. U can't hit someone in the mouth but its perfectly legal to block someone by diving at their knees?
265082363_255778929976156160 x	@ClayMatthews52 roger Goddell is a coward, cut blocks are for cowards that can't man up n block and that's y they are still legal.
265082363_255728094185390081 x	@Kate_OsmanLFL definitely!
265082363_255499546279440385 x	RT @Anthony_Becht: Thanks@ChrisRome731: @Anthony_Becht congratulations on your election to the Monsignor Bonner HOF!?
265082363_254483608067252224 x	@mikehem @anthony_becht agreed. Bonner football rules!
265082363_254483346455932928 x	RT @mikehem: @Anthony_Becht Deion is pathetic.  You should have his job.
265082363_253532970906963968 x	@TaraReid I got food poison!
265082363_248919416899780609 x	@NickMcIlwain1 ur boys are going down Danny
265082363_248117023643693057 x	@ChrisSteuber Steve Sabol dead at 69. Great voice of the NFL!
265082363_246685420077854720 x	@Kate_OsmanLFL very nice!
265082363_245727308567179264 x	@Kate_OsmanLFL have fun! #sweet dreams.
265082363_245491884800237568 x	RT @Sep11_2001_: Can we get 43,862 RETWEETS to remember ALL of the 43,862 soldiers, firefighters, and civilians who died of 9/11-related ...
265082363_244494173602979841 x	@Jacky_Billotte wow! Speechless.
265082363_243716368313237506 x	@Kate_OsmanLFL not good. #sick.
265082363_243536262982668289 x	@Kate_OsmanLFL yes! I agree
265082363_243511227530227712 x	@Kate_OsmanLFL yes!!!!
