291427357_286313402475888640 x	(Part 2) Number 2: Oh, good idea, Boss! Number 3: It was like that when I got here. :-P
291427357_286313394473148416 x	(Part 1) I want to share something with everyone. The three little sentences that will get you through life. Number 1: Cover for me.
291427357_286237906727739392 x	One of my New Year's Resolution's have to be... Hmmm. To eat Healthy and get back in shape. (I'm already in good shape I mean better shape)
291427357_286237890667769856 x	Beginning of the New Year and I have a few Resolution's but I know I'm going to break them. How can I keep them? Hmmm.
291427357_286231195874914304 x	This had to be the BEST Christmas and New Year's in a long time. I can't wait until next year. I'm already counting the days. :-P
291427357_286230373938126848 x	Happy New Year's everyone! I hope everyone is having a great day to start off the new year. Happy 2013 everyone! :-)
291427357_282342209406267392 x	I feel like an idiot. Today was the one week anniversary of what happen in Newtown, CT. They are still in my prayers. (Today was a long day)
291427357_282297676794585088 x	It maybe NOT the end of the world but now we have to worry about this whole Fiscal Cliff thing.... What ever it is. {:-[
291427357_282293154365968384 x	It's not the end of the world, but can it PLEASE be the end of people freaking out about it being the end of the world?
291427357_282292632925896704 x	NASA has confirmed that on the 21st of December, late evening, the sky is going to turn very dark. This is a phenomenon called "Night"
291427357_282291886750842882 x	Good evening everyone. It's Friday the 21's. For the end of the world, it was pretty nice out today. First day of snow for the season. :-)
291427357_281998741295202304 x	NASA has confirmed that on the 21st of December, late evening, the sky is going to turn very dark. This is a phenomenon called "Night" LOL.
291427357_281994931902480385 x	Looks like the Mayan calendar cycle is ending and another one beings. (I Think) (I don't know much about the Mayans but I know little)
291427357_281991163894984704 x	IT'S GOING TO BE A GREAT DAY FOR AMERICA EVERYBODY AND THE WORLD!!! :-)
291427357_281991147939848192 x	Well, it's past midnight over here in Louisville, KY and everything looks normal. So you know what that means we'll going to survive this.
291427357_280677011264004096 x	Mmm... Donuts! Is there anything they can't do? :-P
291427357_280673741590110210 x	Good morning Kentuckiana. (I don't believe I slept will last night... I'm in a pretty good mood this morning) :-)
291427357_280177964325416961 x	I just bought Charlie Brown Christmas (Expanded Edition) on iTunes and now listening to it. This album is a classic and it's the BEES KNEES.
291427357_280035786089451521 x	"Precious in the sight of the Lord is the death of His saints!" - Psalm 116:15 ?
291427357_280035773963702272 x	I couldn't sleep that will last night. Anyone else had trouble sleeping last night? Couldn't get the images out of my head from Newtown, CT.
291427357_279798233771945985 x	(Part 3) his uprightness" ?
291427357_279797980779921409 x	(Part 2) the righteous is taken away from the evil to come. He shall enter into peace: they shall rest in their beds, each one walking in-
291427357_279797972491964416 x	(Part 1) Isaiah 57:1 (KJV) "The righteous perisheth, and no man layeth it to heart: and merciful men are taken away, none considering that-
