30364057_45825364433448960 x	On my way to see my pal @howardstern. Dear sweet Jesus please don't let me piss anyone off
30364057_341876941357477888 x	I just woke up w a toothbrush in my mouth
30364057_386035903732674560 x	You don't have to do what's expected of you
30364057_395704985927028736 x	Yo yo @Pontifex can I get a follow
30364057_395679443093831680 x	Standing behind Jesus, just outside the spotlight, is Mary.   http://t.co/wZ89syXt4j by @PattyGMusic
30364057_395652850564755456 x	ALL OF THESE LINES ACROSS MY FACE TELL YOU THE STORY OF WHO I AM http://t.co/Vp4Hyiixf8
30364057_395632844451872768 x	I wear the same costume every year for Halloween.  Scott Bakula from Men of a Certain Age.
30364057_394587898978508800 x	Just a perfect day you made me forget myself I thought I was someone else, someone good #RIP LOU REED
30364057_394207826165637120 x	The uber rich shouldn't be able to buy political policy, but they are. Straight up
30364057_393882828079108096 x	Do you like babies but hate to see the life behind their eyes? #LittlePeanut http://t.co/uYbGU6uquO
30364057_393875445823053824 x	PUSSY PUSSY PUSSY PUSSY PUSSY  PUSSY PUSSY PUSSY PUSSY PUSSY  PUSSY PUSSY PUSSY PUSSY PUSSY  PUSSY.
30364057_393754725377925120 x	Hilarious & astounding RT @aasif here is my piece about why voting makes you gay, from @TheDailyShow  http://t.co/kYGzQ8EhoT
30364057_393429915267129344 x	A brilliant thinker in congress? Yes please!  http://t.co/wSOzg873O4
30364057_393182651848589312 x	RT @Natashaleggero RT @Splitsider: .@SarahKSilverman visits @NatashaLeggero's hot tub http://t.co/AxM9F00aPJ
30364057_392790179217698816 x	Whee RT @Slate Fun, fun, fun: Watch the @SarahKSilverman pilot that NBC passed on last year: http://t.co/A0BD6p6Hny
30364057_392681863183364096 x	LADIES & GERMS, I GIVE YOU FAILED NBC SIT-DRAM "SUSAN 313" http://t.co/sal7Edhk5F
30364057_392546357485264897 x	I can't believe I have to wait until 4/14 for ORPHAN BLACK to come back. This must be what the holocaust was like
30364057_392090934894411776 x	Bitterness is good for your skin
30364057_392025427566673920 x	Emperors with new clothes:  now more than ever!
30364057_391663225089323008 x	Holy crap here's the promo for my special: http://t.co/fj6C4aUzkn
30364057_391654734597476352 x	RT @UberFacts Boobytrap spelled backwards is "Partyboob"
30364057_391646850153185280 x	Hey LA- Elephants are pure goodness & they're being hurt. Help w a vote:  http://t.co/N6YCFJkDuR
30364057_391390481999220736 x	Pirate skulls & bones Sticks & stones & weed & bombs #MIA
30364057_390995518052384768 x	If Tina Fey had big heavy Jewish boobs she would be this porn star: http://t.co/oq5XGMmCk0
30364057_390942267638546432 x	"Right now our govt is doing things we think only other countries do" -@jeremyscahill? NOPE!   - @vanhalen #DirtyWars
30364057_390930226672599040 x	Life is sacred.  (Everyone's is.  Not just yours. Not just the people that agree w you)   It's not complicated its simple ding dong
30364057_390878381547732992 x	Oh snap! THIS SAT is @festivalsupreme on the SANTA MONICA PIER!  http://t.co/ukhu7ie7uk See y'all there! http://t.co/76FeX0WNob
30364057_390615803898650624 x	The sun is down & I'm walking w purpose for no purpose w some sweet M.I.A in my ears real loud-like
30364057_390356543696556032 x	Just a quick reminder: other people exist
30364057_390346005503565824 x	Upcoming Jashery http://t.co/TFsDx376wE
30364057_389616115401646080 x	Pretty much the only words in my head today were Wrecking Ball lyrics
30364057_389530948200837120 x	I find men w Peter Pan syndrome almost as sexually attractive as Sandy Duncan
30364057_389178553742680064 x	I can always tell the guys that masturbate  on-stomach hands-free
30364057_388796085432770560 x	NYC, LA, London, & Sydney: Tix are now avail for COMEDY GIVES BACK benefiting MALARIA NO MORE:  http://t.co/AkDoKEqC9T
30364057_388695600935747584 x	please call me only after you have fully completed your jolly rancher
30364057_388129397502644224 x	In case of emergency, freak out/go bananas
30364057_388100446650253312 x	RT @psychicmusic: "we do not belong" starring Sarah Silverman-OUTTAKES VIDEO!!! http://t.co/xY64rr9iwv
30364057_388086178060460033 x	Thanks to Eric &the other 2 guys that picked me up hitching today!  I love making myself other people's problem!
30364057_387644349213065217 x	God made scientists.  #ISentABoatISentARaft...
30364057_387346620075245568 x	RT @TheDailyEdge  Repubs con't to blame Obama 4 the #shutdown b/c he won 2 elections & passed a law they don't like while also being black
30364057_386159141607460865 x	Did I dream this or does silk come from worm vaginas
30364057_386016445836300288 x	#WalkingDead http://t.co/UEUKRpQ41C
30364057_385963717567184896 x	Keep it short.
30364057_385560518066700288 x	Any tips on how to stop the piercing high-pitched ringing in my ear holes will be much appreciated
30364057_385479327477145600 x	#GetCovered , Ding-a-ling! http://t.co/ETpV757Dap
30364057_385305798093844480 x	I need my feet rubbed its an emergency
30364057_385204763954249728 x	HAHAHAHA  RT @RawStory Rick Perry backtracking after spouse calls abortion ?a woman?s right? http://t.co/cse4Qgw9Vq
30364057_385071647755362304 x	*Don't forget to be lovely
30364057_384930184774037504 x	I said, "From the inside?"  RT @SarahKSilverman: With gloved finger inside me my gynecologist told me I have "nice abs"
30364057_384825383109267456 x	With gloved finger inside me my gynecologist told me I have "nice abs"
30364057_383862269236764672 x	Butterflies are corporate  And vague. But you...  You're terrific!  #FakeDeeps #IGaveUpAtTheEnd #OrDidI
30364057_383861268891054080 x	You smell like electric moonshine  and government #FakeDeeps
30364057_383860242888790016 x	Jungle glass Made of sun -  and sand!  (made of blood) #FakeDeeps
30364057_383858966889250816 x	What rhymes with ground zero
30364057_383858661300645888 x	I'll see it again  I'll see with my eyes   you, afloat. Drifting. #FakeDeeps
30364057_383789961121890305 x	I don't know any Chads.
30364057_383783631166382080 x	I miss my first mate.
30364057_383439329940742144 x	Look, @Kanyewest is brilliant & @JimmyKimmel is hilarious. I'm certainly NOT 1000 x funnier.  I'd say 5 x funnier AT BEST
