321177436_391994338064236545 x	RT @autocorrects: If you think I hate you I probably do.
321177436_391994592293552128 x	RT @HilariousTed: Music becomes my best friend when nobody else understands me.
321177436_399683226555670528 x	My favorite movie is on Grease ??
321177436_399631610674704384 x	Lmfao I just have to fuck with him. I keep telling him to go to bed lol #funny #sleep #sunday #nfl? http://t.co/Ck5P65O2yw
321177436_399605164266774529 x	Hahahahahahahahahahahahahahahaha and his out!!!!! ????? #sunday #football #remote #funny #sleeping? http://t.co/FijfcLWpnI
321177436_399603216239046658 x	So he just did a 12hr shift and just got home I told him to go to bed but he wants to watch football? http://t.co/uqLmo3iX43
321177436_399452785781256192 x	RT @ohteenquotes: Don't say you love me, show me.
321177436_399418659355254785 x	RT @GirlfriendNotes: I WILL WAIT FOR YOU BECAUSE HONESTLY I DON'T WANT ANYONE ELSE
321177436_399418462357180416 x	RT @GirlfriendNotes: When I look at you, all I see is perfection and someone I want to love for the rest of my life.
321177436_399418220094185472 x	RT @GirlfriendNotes: You can lie to me,  but I wasn't lying about those three words.
321177436_399418122576613376 x	RT @GirlfriendNotes: I miss having someone that cares about what I did yesterday, what I'm doing right now, and what I'm going to do tomorr?
321177436_399417584682303488 x	RT @GirlfriendNotes: I wanna write "I miss you" on a rock and throw it at your face so you know how much it hurts to miss you.
321177436_399417547055194112 x	RT @GirlfriendNotes: "Never judge someone. Everyone has a story."
321177436_399417428008247297 x	RT @GirlfriendNotes: Telling someone how you feel is honestly the hardest thing ever.
321177436_399417101234216960 x	RT @GirlfriendNotes: "Running away from your problems only causes more problems."
321177436_399416984099897344 x	Ugh I just don't even know anymore! Over it ? #wtf
321177436_399415648293769216 x	RT @notesforgirlz: Story of my life http://t.co/X1L8mioEsU
321177436_399415595529416704 x	RT @notesforgirlz: YES ? http://t.co/765jZlD5jP
321177436_399415364461010945 x	RT @notesforgirlz: Saying "I'm tired" when you're actually just sad.
321177436_399003824448606208 x	Kids playing air hokey lol bebo won #movies #kid #cute #cousin #love #airhokey #like #comment #follow http://t.co/vOpjbYn8o5
321177436_398689861684973568 x	Yea buddy took this from work I was so excited lol #UFC #theultimatefighter #girlvsboys #TUFontap? http://t.co/MezImodVBb
321177436_397249120324583425 x	@kaepernick7 My MC omg his just so dam sexy ?? I'm definitely in love ?? ugh it would definitely make? http://t.co/qBlwMsqK8Y
321177436_397135927879151616 x	RT @autocorrects: We're not friends anymore. We're just strangers with memories.
321177436_396910144577347584 x	Bridesmaids #wedding #makeup #spraymakeup #hair #cute #like #comment #follow http://t.co/7pexVN7zu1
321177436_396909730528231424 x	Mother of the Bride & Made of Honor #makeup #spraymakeup #hair #cute #natural #wedding #like #comment? http://t.co/W1XUknxLiW
321177436_396909057615089664 x	Bride ? #wedding #makeup #spraymakeup #updo #hair #cute #naturaleye #like #comment #follow http://t.co/myBccAK417
321177436_396015935683051520 x	Police Dog try not to walk in my house #house #police #dog #crazy #blacklab #safe #omg #playing #lol? http://t.co/6ls5DDEIjt
321177436_395533354185281536 x	Before & After this girl had rely tight curls #before #after #hair #curls #hairdresser #like #comment? http://t.co/CNmtdJHIFg
321177436_395216547704479744 x	Before & After #hair #before #after #crazy #omg #start #end #like #comment #follow http://t.co/6RRANa4tYC
321177436_394839359876530176 x	Feeling discouraged and on such a funk #justkeepswimming
321177436_394831057180430336 x	How I start my morning this is definitely music #50's #music #morning #ig #monday #newday #newchapter? http://t.co/slweatna5H
321177436_394669747704717312 x	ryanxedge my #mc #sexy #tattoos #omg #follow #like #comment #wow http://t.co/JaF1Dst71Q
321177436_392853015079944193 x	Did @brittanyzobler Spray Makeup she looked Beautiful. Natural smokey eye color with a pink lip? http://t.co/yBjUKXUjRZ
321177436_392540741639360512 x	RT @kendrick__Iamar: If you want me in your life, put me there. I shouldn?t be fighting for a spot.
321177436_392540486755680256 x	RT @kendrick__Iamar: People come and go in your life, and the right ones will always stay.
321177436_392540390894878720 x	RT @kendrick__Iamar: The most horrific thing about getting close to someone is the thought that at any point, they could lose complete inte?
321177436_392540112456011776 x	RT @kendrick__Iamar: Stick with friends who saw you, when nobody else did, and who were true from the very start.
