335927089_379826787192434688 x	@melissastark you at the Linc on Thursday?
335927089_311837243369213952 x	@LesBowen not happy seeing my last name on an eagles jersey...
335927089_357317874555158529 x	@DanielleMaslany those ladies are true pioneers
335927089_399807175289495553 x	@robphillips3 no imagination on offense.. bad game plan to keep up with Saints offense.. tried to win 21-17..not happening with that defense
335927089_399670532926611456 x	@JeffSkversky and a whole three points vs Dallas
335927089_399573894832848896 x	@MichelleDBeadle where is his hand?
335927089_399573420205412352 x	@derek_boyko @AlbertBreer isn't it nice how opposing teams fans welcome eagles fans on the road, but that does not happen at the Linc..
335927089_399571853557391360 x	@mlseigfried you go to a Predators game yet ?
335927089_399572717084897280 x	@mlseigfried how was the atmosphere compared to here?..
335927089_399572408988094464 x	@TonyDungy Cecil Shorts or Kendell Wright ?
335927089_399535507014950913 x	@DrewPearsonShow I pretty much agree with the top 10.. but I put Drew Pearson ahead of Demarcus Ware .. on clutch plays .. not close
335927089_399042712487600128 x	@LisaHillaryTV you would much rather be living in Anaheim.. tell them to stop cutting you out during the between period interviews
335927089_399043599377371136 x	@LisaHillaryTV they have you in picture when you ask the question then zoom in on the player ..to me, takes away from the interview..
335927089_399009376511741952 x	@TonyDungy @JacobDick92 any chance we can get you to coach the Cowboys.. Jerry will write a big check..
335927089_398998342765912064 x	@ReluctantSE @achs_fred altar wine
335927089_398993323123548160 x	@DrewPearsonShow @hollywoodhend Drew Pearson will always be the Cowboys' greatest 88...I would not wear an 88 jersey without D Pearson on it
335927089_398986652657680384 x	@sbaickerCSN what is wrong with these idiots that retweet fake accounts?.. you lose credibility trying to be first..
335927089_398978002857766913 x	@tpanotchCSN even better..remember his interview while with the Ducks..  "Who would want to live in Edmonton?.. 8 months a year of snow"
335927089_398976212678504448 x	@mirtle until the coach gives the lineup sheet to the off-ice official, goalie starter is always just a guess...
335927089_398970524472442880 x	@jillianbmele Bryzgalov just signed with Edmonton
335927089_398969467579142144 x	@dshoalts @dchesnokov @aaronward_nhl check out his interview when he was in Anaheim defending Pronger, lol.. "Who wants to live in Edmonton?
335927089_398968121362767872 x	@dshoalts @JasonGregor Feb 93 saw a double shutout at the Spectrum .. Racicot and Soderstrom...
335927089_398840138127929344 x	@TonyDungy @Gustbra Cowboys vs Chiefs... eagles fans will be depressed
335927089_398562029499609088 x	@AliGorman6abc @6abc 51 years too late.. on borrowed time by now..
335927089_397875531007291393 x	@caitlin_kummeth game night is reserved for home games .. lol
