349740515_396086528994459648 x	I can't wait for the rookie and sophomores game this year
349740515_395717876956807169 x	RT @Tai_GetBUCKETS: RT if you see your favorite NBA player! http://t.co/TRbu4rdXgZ
349740515_395717394196598784 x	RT @Things4Athletes: I wish all I had to do was sports
349740515_395717358817648640 x	RT @BaIIplayer: Retweet if your watching Game 6 right now!!!!
349740515_395715666361479168 x	RT @__Athletes: Retweet if you're excited for the NBA Season!! ?
349740515_395715629548060672 x	RT @MLBMeme: Game 6 is going to be a classic, but  RT if you really want to see this go to 7!!!!
349740515_395715452586188800 x	RT @EnjoyY0self: Rose is wondering why they?re taking so long. http://t.co/w2XYYDrt2H
349740515_395714992378753024 x	RT @TeamAthIete: My jersey number is not just another number...It means a lot to me.
349740515_395713500422864897 x	RT @ESPNNFL: RESULTS!  The NFL's 2nd #BestReceiver is AJ Green.  1 AJ Green 42% 2 D. Bryant 30% 3 J.Nelson 17% 4 V. Cruz 11% http://t.co/GH?
349740515_395354121500622848 x	Ben Revere made number 2 web gem for the year
349740515_395353429474045952 x	Web gems top 10 from all season!!!!!!!!
349740515_395350933292728321 x	RT @AmazingSprtsPic: Derrick Rose returns to the court for the first time in 526 days on October 5th, 2013.? http://t.co/mgDtpMbIju
349740515_395348972169994240 x	@krismiller1022 First round James,KD,Love,Harden,Paul,Melo,Curry,Irving and D Rose was 11 overall and D Wade went 25 overall Kobe was 33
349740515_395331294353440768 x	RT @MikeWazNot_: Halloween- the only time of year where it is encouraged to accept candy from a stranger
349740515_395331265974788096 x	RT @ChampAthIete: Having texts waiting for you after a game >
349740515_395313252353445890 x	RT @Phillies: Five years ago today. Where were you? #2008WSchamps http://t.co/SdQ3Og6yAt http://t.co/bBRYDtFMMR
349740515_395308775307231232 x	@krismiller1022 Did you hear about the Cards having plane problems so they still didn't get in Boston yet I think they are afraid to lose
349740515_395274964955561984 x	This is Kody Ream in Broadcast Journalism here you go jschaeffer99 http://t.co/LzbIKzTIWJ
349740515_395014251137744896 x	Double tap this photo if you want the Boston Red Sox to win the World Series this year http://t.co/W8UNQAiula
349740515_394979986635247616 x	RT @NBAPICTURES1: #Retweet if you see your favorite player. http://t.co/AmCfdF2ZTW
