36457300_388889433749323776 x	https://t.co/0oe8o1yfs4
36457300_389078792821805056 x	Give it up for this kid https://t.co/5n7whkYlLZ
36457300_396449209756696577 x	Im in great shape duh. Tis come the season of eating #thanksgiving #christmas https://t.co/88Pqtfkm64
36457300_396408196732321792 x	#hardwell- Spaceman #nostrilbeat https://t.co/GsQuo5WTKY
36457300_396047607770152960 x	I like to take the easier road on #halloween https://t.co/NShuM8W9dt
36457300_395752454350192640 x	Little pit bull jaws are ridiculous https://t.co/qsplAjiD5N
36457300_395151930454192128 x	Drank to much and took hardapplewell to my nuts #bff #jimbean #nuts #sore #HardwellEzoo https://t.co/XZIqnD5Bvc
36457300_395093333884010496 x	White peoples badass story of running from the cops. #secretcam https://t.co/KAqTv6Ok9d
36457300_395090295479873536 x	Waldo got stuck in the rave. #halloween #hardwell #edm https://t.co/u3jwV1aQuw
36457300_394979640227680257 x	my favorite vine ever. https://t.co/oRYBqhEP7t
36457300_394689570102853632 x	@POKERPRINCE007 thanks buddy greatly appreciated
36457300_394652886732644352 x	My girlfriend thinks he can fit into his puppy clothes still..obviously not https://t.co/0mUtXKimQq
36457300_394572057645965312 x	My dogs favorite toy is a rock?? I love this idiot https://t.co/lz662sO25w
36457300_394463546459062272 x	Tired much? http://t.co/cAaUXy3kLX
36457300_394295111074742273 x	Thats a tired #puppy . So cute. https://t.co/nJZ8EB6Yu4
36457300_394246513708507136 x	So vicious yet so cute #puppy https://t.co/9nMJbeWFU0
36457300_393998589808349184 x	The truth WILL hurt https://t.co/pJq0GkA1Fh
36457300_393997452514459648 x	https://t.co/RjsGT9hAFM
36457300_393975019015266304 x	No joke shes under 5 foot..love this girl https://t.co/a41XMeJpox
36457300_393970879375609856 x	Apparently sons of anarchy decided to show up before they deal with this baby bullshit https://t.co/D5oUQk6DT1
36457300_393969817302339584 x	Me and the girlfriend pretending to be dogs and owner in the middle of the dance floor https://t.co/12s7ZWbU2E
36457300_393952781515915264 x	She notices I'm recording her at the last second https://t.co/BRJrr6l0K1
36457300_393817305182121984 x	O dats a keeper. https://t.co/gZbWElZSF4
36457300_393595470490370048 x	I gave Jax his first piece of turkey and gravy and now he's locked on. https://t.co/JkEYnnsGif
36457300_393592341237608449 x	? https://t.co/8JX1W6eOgV
36457300_393582601602351104 x	One of the best moments of my life. This is why dogs truly are mans best friend. #jax?? https://t.co/3N0LrvyCRU
36457300_393483743048245248 x	Droppin that nostril beat part 2 https://t.co/fX9eIdfLtw
36457300_393168277914259456 x	All these beautiful voices and I'm just like.... https://t.co/5Vr5bTuGhm
36457300_392809878391382016 x	https://t.co/LOgOpR8oBn
36457300_392794119418150912 x	That panic mode you get when you and your bestfriend are about to be caught looking at something "dirty" https://t.co/5D9sWRnWnF
36457300_392464661263958016 x	Clumbsy #puppy https://t.co/hFYdiW15yZ
36457300_392421344262238208 x	The Waldo Freestyle https://t.co/FNCl1CCfL9
36457300_392064752014614528 x	Road rage gingerbread man https://t.co/v1l3RizX17
36457300_391929626383380480 x	This is what I wake up to? Jessie Searle slob https://t.co/rmRMd1m2GI
36457300_391765556912984064 x	@chlochlo111 @Chettopher hahahaha mother fucker!!! I knew someone would snap a pic
36457300_391697577475067904 x	How i brush my teeth every morning https://t.co/VLHzSIgTuZ
36457300_391410255617605632 x	O sure you can sleep there https://t.co/wmKR8jhUVW
36457300_391385310376255488 x	#turkthepuppy https://t.co/quPPDqzSRm
36457300_391382731000909824 x	I love puppies https://t.co/Cltvp19QIO
36457300_391035216040828928 x	I got that leg beat. #edm #encoded https://t.co/nzYKoJx4PS
36457300_389991137131626496 x	@MeechieO gotta be a virus
36457300_389380806504087552 x	https://t.co/k9oulishOK
36457300_389118131110948864 x	Listen closely...sniped him. Terio https://t.co/NJCXQKdxJ4
36457300_388863516624838656 x	Rememebr this song? https://t.co/F0EAVY8ex1
36457300_388858067234078720 x	@Rosamarie_xo 100% not true
36457300_388860243813613568 x	@Rosamarie_xo haha dont worry his dog will be my dog very soon
36457300_388858411691298816 x	@kimbof i'll be posting info on vine soon..keep in touch
36457300_388819861620920320 x	He's so scared of razors! https://t.co/myOYgVAFOI
36457300_388441608150331392 x	I love droppin that nostril beat. https://t.co/2Hb7WVjghk
36457300_388428262911016961 x	God blessed me with a HUUUUUUGE........umbilical cord.?I hear this story at least twice a year. https://t.co/wAaKbf1RyN
36457300_388180022441562112 x	@melalala89 hahah thank youu!!
36457300_388161879887331328 x	#turkthepuppy what a cutie. #bluepit #pup https://t.co/2v8XKkRAFu
36457300_387766027796639745 x	#filter ..but in reality this is what it felt it looked like. http://t.co/WBCyLP9MCT
36457300_387710553579610112 x	Its so purty #nofilter http://t.co/fE7iXB8sYv
36457300_387332583396499456 x	@Rosamarie_xo what this kid looks like
36457300_387332533811441666 x	@Rosamarie_xo heyy yeah i am..im waiting to hear from someone about something we might have found out..if it checks out then i know exactly
36457300_387305424384704512 x	@AllisonClausen did grey post this?
36457300_386931543002058752 x	He only chases shadows. https://t.co/jgqKDlxGeu
36457300_386503537301397505 x	Hiccup. https://t.co/6OQEzQjezC
36457300_386502266486022145 x	Adorable. Enough said. https://t.co/8FD6RRySXv
36457300_386322554509873153 x	#Jax and #turkthepuppy playing. https://t.co/2oqCaPDwn6
36457300_386310217941913600 x	Can you name that movie?? #dontbedumbturnthefuckinvolumeup #turkthepuppy https://t.co/m23K87hXoJ
36457300_386137129535176704 x	@VineItForward hahaha thank youuu!! Im truly honored :)
36457300_386139694746333184 x	@VineItForward exactly..it'll catch on
36457300_386137300243337216 x	RT @VineItForward: @stevie_tay We have big plans for Twitter in the future.  "Awards", follower pics and video uploads, contests, a logo de?
36457300_385832967127711744 x	Its a pain in the ass when your one #dogs deaf. https://t.co/Cq5lqSzNfs
36457300_385647705349181441 x	What else could #Jax be  #dreaming about? https://t.co/VajOi2SoNM
36457300_385526658218094592 x	"As many customers as possible" everyone should #payitforward at one point or another. Could go a long way.... https://t.co/KHrI568nP6
36457300_385164506714095616 x	Fastball from 2 1/2 feet. #boss #Jax #dogtricks https://t.co/IzSUObvkMI
36457300_384829699853393920 x	Ok #girls honestly. How many of these selfies can you say you've done. Comment your number. https://t.co/ufqdnoO9XG
36457300_384404291131559937 x	Haha he loves those belly rubs. https://t.co/8M3jxSfttI
36457300_384350057333817345 x	#jax LOVES the new truck..dont worry i still have the jeep. https://t.co/d4S3yrqgaO
36457300_383432281433858048 x	I caught these two bitches making out https://t.co/zgG9F6Dyhp
36457300_383203495043956736 x	@FostersQuotes2 thanks for the support! -@ThatSteveKid
36457300_382968655983951872 x	@honeyhoney17 yeah vine is investigating it so hoepfully we'll know who this real person is soon..but yeah ill say something
36457300_382670848710438912 x	@Eggby2013 yes i did :/ just waiting to hear back from vine as to when i can ge back on lol
36457300_382707181986279424 x	@hero_aquaman @Eggby2013 as arnold once said...ILL BE BACK
36457300_382670707001683968 x	RT @Eggby2013: @stevie_tay u get banned? :( I did http://t.co/6LDEEZdMcq
36457300_382667090307846144 x	@BriannaKrusen thank you for the support -@thatstevekid
36457300_382664918337880064 x	@itsgoodtobeLD thanks so much for helping
36457300_382664356812820480 x	@ActionJ842 hey bud where does tyler live?
36457300_382663701654175744 x	Thats me!! @Bartsnotfunny
36457300_382663109120643072 x	@smpfilms @ActionJ842 hey guys my vine was suspended cause the video was flagged too much..ill be posting it as soon as im back up!!
36457300_382510696438960128 x	@wintersymmonds thank you so much!!
36457300_382390722370220032 x	@jacifaith your right..just deleted
36457300_382394069512912896 x	@jacifaith ?
36457300_382390799813844992 x	@jacifaith not the abuse video, the one with his name in it ll
36457300_382387905626636288 x	@jacifaith if i could have everyone stop i would..never once told anyone to accuse him..ive been deleting any comment with his name in it fo
36457300_382388328924200960 x	@jacifaith yeah i feel ya
36457300_382388032567255040 x	@jacifaith r the past two hours
36457300_382386125996036096 x	@jacifaith i cant make this out so much lol
36457300_382373680942440448 x	@HAILme_ why thank you miss lady you too!!??
36457300_382373266822012928 x	@SarahJane2233 thank you thank any help is big help
36457300_382335506337767424 x	@bbrennakeeley t answer so now im flipping on them haha
36457300_382349759354503168 x	@bbrennakeeley @oArctic already did it ?
36457300_382350152834752512 x	@bbrennakeeley @oArctic im talking to someone now that might be able to track down the ip address
36457300_382347237134970880 x	@oArctic @BBKDRAGOON @bsangel @woooshness @stampylongnose @HaloFix @SinCitySpartan im looking into it now
36457300_382337195237179392 x	@stalbian @UberFacts @jilliankirlin YES!! Best fact ever......for guys
36457300_382335420576858112 x	@bbrennakeeley heyy brenna not yet..ive been talking to news stations and vines got back to me but theyre just giving theyre typical bullshi
36457300_382323511588814848 x	DO NOT REPORT!! REVINE, TAG A FRIEND!! SOMEONE KNOWS THIS GUYS VOICE AND DOG #helpfindgrey I WILL PERSONALL... https://t.co/bBhcYZDmEk
36457300_382254323658670080 x	You of course dont have to but you can record and post it to your own vine. One extra set of eyes on this v... https://t.co/asw8wRVEbr
36457300_382241768814964736 x	PLEASE TAG A NEWS STATION TO HELP FIND #grey AND HIS BAD OWNER. If your one who reports this then your only... https://t.co/BpQeyeq3RF
36457300_382170133051232256 x	@funnystudents13 perfect thank you no i havent
36457300_381936932521267200 x	@Nick_Holmes11 hahah what upppp brudda
36457300_381927110484721664 x	PLEASE REVINE! TAG A FRIEND AND VINE CELEBRITY AND CHECK OUT MY RECENT POST.. You can flag this but im gonn... https://t.co/eA0amAFTsh
36457300_381886458430509056 x	@AcaAnnaCamp thanks so much..where in philly are you?!?
36457300_381890309455896578 x	@AcaAnnaCamp niiiice im in delaware countyy..we'll hangout sometime!!
36457300_381892375058350080 x	@AcaAnnaCamp hahah no no im in delaware county (only 20 minutes from west chester) ill get in touch with ya when im up that way
36457300_381890068388278272 x	@bigheadgonzalez hahaha this is awesome bro thank youuu
36457300_381889994811801600 x	RT @bigheadgonzalez: @stevie_tay your awesome man http://t.co/nafTRBeNZh
36457300_381886222584803328 x	@Rosamarie_xo she reallllllllllyyy hellped..the people that are reporting it are just assholes
36457300_381885779133595648 x	@Rosamarie_xo flagged down ill repost it
36457300_381827978218708992 x	PLEASE REVINE AND TAG A FRIEND!! and let this be shown. I wont stop until someone might know who he is. Che... https://t.co/hteyHxsGTa
36457300_381880628037554176 x	@mjkinneyjr thank you buddy much appreciated
36457300_381876691754549248 x	@mixedswag6 RG0-3
36457300_381830084161994752 x	PLEASE READ EVERYTHING..the more people that know about this the better chance we have of someone recognizi... https://t.co/8MSIzBmg43
36457300_381698299239333888 x	@HallieStrausser im sorry it upset you i was just as upset when i saw this too..its hard to watch but needs to be seen
36457300_381206779969175553 x	PLEASE REVINE!!Someone needs to do something. Meet @grey (coward blocked me) these are the vines he's been ... https://t.co/RB3aJIXgD4
36457300_381348238500331520 x	@CASE_2my_face i know right? Its disgusting
36457300_381213990711734272 x	@barBEC_q @grey its disgusting..im gonna find this kid.
36457300_381133617252294656 x	Nice hair #mom https://t.co/4O3glaO4WM
36457300_380553333196742656 x	He recently deleted the videos in the last ten minutes but julianna migliore is an animal..check out the th... https://t.co/8TTUBztWQW
36457300_380511570666983424 x	#Jax #turkthepuppy https://t.co/lLAXiXhBPh
36457300_380506087688257536 x	This is #turkthepuppy . Jessie Searle new pup abd #Jax new bestfriend. #dogs #bluepit #adorable #cute https://t.co/JecbNNf7qB
36457300_380489075167621120 x	#puppies  first tennis ball. #puppy #cute #adorable #bluepit #dogs https://t.co/q0pfVdpv0C
36457300_380198104274075648 x	Sorry if your a #molly hater but I #love her. Like if you agree. #EDM #edm #hardwell #tiesto #rave #edc #ed... https://t.co/FslADfUGZ8
36457300_380194809295933440 x	Things you would here Jenelles mom say if you called the house #teenmom #mom #funny #impression #howto #loop https://t.co/LyPQe0jBbs
36457300_380192956818673664 x	Can you guess what emojicon i look like? #emoji #funny #face https://t.co/dTtsrO4wZ5
36457300_380162391029608448 x	Part 2 https://t.co/5eLgDjYxI2
36457300_380116485689319424 x	Hahahahahaha yess. I was just trying to say hellp. #mom #scared #prank #funny #loop #howto #family https://t.co/8xJUFD0fDS
36457300_379771672016195584 x	I can't #scare him anymore. #prank #funny #scared https://t.co/UTjOnZarbK
